,PublishDate,Scrip,Title,today,tomorrow,day_after_tomorrow,normalized_headline
0,2019-04-24,KTL,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
1,2019-01-21,KTL,Q2 Financials (Revised Information),0,0,0,q2 financials revised information
2,2019-01-21,KTL,Q2 Financials,0,0,0,q2 financials
3,2019-01-16,KTL,Prohibition on providing loan facilities to purchase securities,0,0,0,prohibition on providing loan facilities to purchase securities
4,2019-01-16,KTL,Category Change,0,0,0,category change
5,2019-01-16,KTL,Dividend Disbursement,0,0,0,dividend disbursement
6,2019-01-15,KTL,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
7,2018-12-11,KTL,Correction News regarding venue for AGM & EGM,1,0,0,correction news regarding venue for agm  egm
8,2018-11-15,KTL,Resumption after Record Date,0,0,0,resumption after record date
9,2018-11-15,KTL,Q1 Financials,0,0,0,q1 financials
10,2018-11-14,KTL,Suspension for Record Date,1,0,0,suspension for record date
11,2018-11-12,KTL,Spot News for EGM & AGM,0,0,1,spot news for egm  agm
12,2018-11-12,KTL,Board Meeting schedule under LR 16(1),0,0,1,board meeting schedule under lr 161
13,2018-11-12,KTL,Price Limit Open,0,0,1,price limit open
16,2018-11-12,KTL,Dividend Declaration and Increase of Authorized Capital,0,0,1,dividend declaration and increase of authorized capital
18,2018-11-12,KTL,"Annual Audited Financials for the year ended on June 30, 2018",0,0,1,"annual audited financials for the year ended on june 30, 2018"
19,2018-11-12,KTL,Prohibition on providing loan facilities to purchase securities,0,0,1,prohibition on providing loan facilities to purchase securities
20,2018-11-12,KTL,Trading of New Security,0,0,1,trading of new security
