,PublishDate,Scrip,Title,today,tomorrow,day_after_tomorrow,normalized_headline
0,2019-04-30,LANKABAFIN,Dividend Disbursement,0,0,0,dividend disbursement
1,2019-04-25,LANKABAFIN,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
2,2019-03-07,LANKABAFIN,Resumption after record date,0,0,0,resumption after record date
3,2019-03-06,LANKABAFIN,Suspension for Record date,0,0,0,suspension for record date
4,2019-03-04,LANKABAFIN,Spot News,0,0,0,spot news
6,2019-02-13,LANKABAFIN,Additional Information (Reason for Deviation in NPAT),1,0,0,additional information reason for deviation in npat
7,2019-02-13,LANKABAFIN,Update of Information,1,0,0,update of information
8,2019-02-13,LANKABAFIN,Price Limit Open,1,0,0,price limit open
10,2019-02-13,LANKABAFIN,Dividend Declaration of LankBangla Finance Ltd. & Its  Subsidiary,1,0,0,dividend declaration of lankbangla finance ltd.  its  subsidiary
11,2019-01-30,LANKABAFIN,Board Meeting schedule under LR 19(1),0,0,0,board meeting schedule under lr 191
12,2018-11-28,LANKABAFIN,Approval by BSEC for issuance of Non-Convertible Subordinated Bond,0,0,0,approval by bsec for issuance of non-convertible subordinated bond
13,2018-10-25,LANKABAFIN,Q3 Financials,0,0,0,q3 financials
14,2018-10-14,LANKABAFIN,Board Meeting schedule under LR 16(1),1,0,0,board meeting schedule under lr 161
15,2018-07-30,LANKABAFIN,Q2 Financials,0,1,1,q2 financials
16,2018-07-17,LANKABAFIN,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
17,2018-07-02,LANKABAFIN,Credit Rating Result,0,0,0,credit rating result
18,2018-05-15,LANKABAFIN,Q1 Financials,0,0,0,q1 financials
19,2018-05-15,LANKABAFIN,Approval for issuance of Subordinated Bond,0,0,0,approval for issuance of subordinated bond
20,2018-05-07,LANKABAFIN,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
21,2018-04-16,LANKABAFIN,Dividend Disbursement,1,0,0,dividend disbursement
22,2018-03-08,LANKABAFIN,Resumption after record date,0,0,0,resumption after record date
23,2018-03-07,LANKABAFIN,Suspension for Record Date,0,0,0,suspension for record date
24,2018-03-05,LANKABAFIN,Spot News,0,0,0,spot news
25,2018-02-14,LANKABAFIN,Price Limit Open,0,0,0,price limit open
27,2018-02-14,LANKABAFIN,Dividend Declaration,0,0,0,dividend declaration
28,2018-02-05,LANKABAFIN,Board Meeting schedule under LR 19(1),1,1,0,board meeting schedule under lr 191
29,2018-02-01,LANKABAFIN,Rights share Credited on BO Accounts,0,0,0,rights share credited on bo accounts
30,2017-11-26,LANKABAFIN,Resumption after record date,0,0,0,resumption after record date
31,2017-11-23,LANKABAFIN,Suspension on Record Date for Rights entitlement,1,0,0,suspension on record date for rights entitlement
32,2017-11-21,LANKABAFIN,Record date for Rights entitlement,0,0,1,record date for rights entitlement
33,2017-11-02,LANKABAFIN,Subscription period and Record date for Rights Issuance,0,0,0,subscription period and record date for rights issuance
35,2017-11-01,LANKABAFIN,Approval from BSEC to issue Rights Share,0,0,0,approval from bsec to issue rights share
36,2017-10-31,LANKABAFIN,BSEC accorded approval for issuance of Right Shares,1,0,0,bsec accorded approval for issuance of right shares
37,2017-10-24,LANKABAFIN,Issuance of 2nd Zero Coupon Bond by the Subsidiary Company,0,0,0,issuance of 2nd zero coupon bond by the subsidiary company
38,2017-10-24,LANKABAFIN,Q3 Financials,0,0,0,q3 financials
39,2017-10-11,LANKABAFIN,Board Meeting schedule under LR 16(1),0,1,0,board meeting schedule under lr 161
40,2017-08-27,LANKABAFIN,Submitting the review petition to BSEC for Rights Share Offer,0,0,0,submitting the review petition to bsec for rights share offer
41,2017-08-13,LANKABAFIN,BSEC approval for issuance of  Zero Coupon Bond,0,0,0,bsec approval for issuance of  zero coupon bond
42,2017-08-02,LANKABAFIN,Non-approval of the application for issuance of Rights share,0,1,0,non-approval of the application for issuance of rights share
43,2017-07-27,LANKABAFIN,Q2 Financials,0,0,0,q2 financials
44,2017-07-17,LANKABAFIN,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
45,2017-07-13,LANKABAFIN,Credit Rating Result,1,0,0,credit rating result
46,2017-05-24,LANKABAFIN,Appointment of Managing Director,0,0,0,appointment of managing director
47,2017-05-23,LANKABAFIN,Resumption after Record Date,0,0,0,resumption after record date
48,2017-05-22,LANKABAFIN,Suspension for Record Date,0,0,0,suspension for record date
49,2017-05-18,LANKABAFIN,Spot News for EGM,0,0,0,spot news for egm
50,2017-05-15,LANKABAFIN,Q1 Financials,0,0,0,q1 financials
51,2017-05-02,LANKABAFIN,Board Meeting schedule under LR 16(1),0,1,0,board meeting schedule under lr 161
53,2017-04-26,LANKABAFIN,Revision of the existing size of the rights offering,1,0,0,revision of the existing size of the rights offering
54,2017-04-11,LANKABAFIN,Dividend Disbursement,0,0,0,dividend disbursement
55,2017-03-29,LANKABAFIN,Sale confirmation of a Sponsor,0,0,0,sale confirmation of a sponsor
56,2017-03-20,LANKABAFIN,Sale confirmation of a Corporate Sponsor,0,1,0,sale confirmation of a corporate sponsor
57,2017-03-14,LANKABAFIN,Venue of the AGM,0,1,1,venue of the agm
58,2017-03-12,LANKABAFIN,Sale declaration of a Sponsor,0,0,0,sale declaration of a sponsor
59,2017-03-09,LANKABAFIN,Resumption after record date,0,0,0,resumption after record date
60,2017-03-08,LANKABAFIN,Suspension for Record Date,1,0,0,suspension for record date
61,2017-03-06,LANKABAFIN,Spot News,1,1,1,spot news
62,2017-03-06,LANKABAFIN,Sale declaration of a Corporate Sponsor,1,1,1,sale declaration of a corporate sponsor
63,2017-02-05,LANKABAFIN,Board Meeting,1,1,1,board meeting
64,2017-01-11,LANKABAFIN,Query Response,0,0,0,query response
65,2016-12-11,LANKABAFIN,"Audited Financials for 10 months period ended on October 31, 2016",1,1,0,"audited financials for 10 months period ended on october 31, 2016"
66,2016-11-17,LANKABAFIN,Resumption after record date,1,0,0,resumption after record date
67,2016-11-16,LANKABAFIN,Suspension for Record date,0,1,0,suspension for record date
68,2016-11-14,LANKABAFIN,Spot for AGM,0,0,0,spot for agm
69,2016-11-07,LANKABAFIN,Confirmation of Sale by a Sponsor,0,0,0,confirmation of sale by a sponsor
70,2016-11-07,LANKABAFIN,Confirmation of Sale by a Sponsor,0,0,0,confirmation of sale by a sponsor
71,2016-10-27,LANKABAFIN,Declaration of sale by a Corporate Sponsor,0,0,0,declaration of sale by a corporate sponsor
72,2016-10-26,LANKABAFIN,Declaration of sale by a Sponsor,0,0,0,declaration of sale by a sponsor
73,2016-10-26,LANKABAFIN,Q3 Financials,0,0,0,q3 financials
74,2016-10-26,LANKABAFIN,Price Limit Open,0,0,0,price limit open
75,2016-10-26,LANKABAFIN,Issuance of Rights share & 2nd Non-Convertible Zero Coupon Bond,0,0,0,issuance of rights share  2nd non-convertible zero coupon bond
76,2016-10-17,LANKABAFIN,Board Meeting,0,1,0,board meeting
77,2016-10-02,LANKABAFIN,Consent accorded for issuance of commercial paper and venue of EGM,0,0,0,consent accorded for issuance of commercial paper and venue of egm
78,2016-08-23,LANKABAFIN,Resumption after record date,0,0,0,resumption after record date
79,2016-08-22,LANKABAFIN,Suspension news for record date,0,0,0,suspension news for record date
80,2016-08-18,LANKABAFIN,Spot for EGM,0,0,0,spot for egm
81,2016-07-31,LANKABAFIN,Credit Rating,0,0,0,credit rating
82,2016-07-27,LANKABAFIN,Q2 Financials,0,0,0,q2 financials
83,2016-07-27,LANKABAFIN,EGM for increasing Authorized Capital & issuance of Commercial Paper,0,0,0,egm for increasing authorized capital  issuance of commercial paper
84,2016-07-25,LANKABAFIN,Completion of sale by a Corporate Sponsor/ Director,0,0,0,completion of sale by a corporate sponsor director
85,2016-07-21,LANKABAFIN,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
86,2016-07-20,LANKABAFIN,Declaration of sale by a Corporate Sponsor/ Director,0,0,0,declaration of sale by a corporate sponsor director
87,2016-05-15,LANKABAFIN, Q1 Financials,0,0,0,q1 financials
88,2016-05-04,LANKABAFIN,Board Meeting,1,0,0,board meeting
89,2016-03-14,LANKABAFIN,Resumption after Record date,0,0,0,resumption after record date
90,2016-03-13,LANKABAFIN,Suspension for Record date,0,0,0,suspension for record date
91,2016-03-09,LANKABAFIN,Spot for AGM,0,1,0,spot for agm
92,2016-02-23,LANKABAFIN,Dividend Declaration of a Subsidiary Company,1,0,1,dividend declaration of a subsidiary company
93,2016-02-23,LANKABAFIN,Price Limit Open,1,0,1,price limit open
94,2016-02-23,LANKABAFIN,Dividend Declaration,1,0,1,dividend declaration
95,2016-02-11,LANKABAFIN,Board Meeting,1,0,0,board meeting
96,2016-01-03,LANKABAFIN,Issuance of Zero Coupon Bond for a Subsidiary Company,0,1,1,issuance of zero coupon bond for a subsidiary company
97,2015-11-12,LANKABAFIN,Credit Rating,1,0,0,credit rating
98,2015-10-27,LANKABAFIN,Q3 Financials,0,0,1,q3 financials
99,2015-10-20,LANKABAFIN,Board Meeting schedule under LR 16(1),1,1,0,board meeting schedule under lr 161
100,2015-07-28,LANKABAFIN,Q2 Financials,1,0,1,q2 financials
101,2015-07-28,LANKABAFIN,Issuance of Non-Convertible Zero Coupon Bonds by Subsidiary Company,1,0,1,issuance of non-convertible zero coupon bonds by subsidiary company
102,2015-05-12,LANKABAFIN,Q1 Financials,0,0,0,q1 financials
103,2015-04-09,LANKABAFIN,Dividend Disbursement,0,0,0,dividend disbursement
104,2015-03-02,LANKABAFIN,Resumption News after Record Date,0,1,0,resumption news after record date
105,2015-03-01,LANKABAFIN,Suspension News for Record Date,0,0,1,suspension news for record date
106,2015-02-25,LANKABAFIN,Spot News for AGM,0,0,0,spot news for agm
107,2015-02-19,LANKABAFIN,Price Limit Open,1,0,0,price limit open
108,2015-02-19,LANKABAFIN,Dividend Declaration,1,0,0,dividend declaration
109,2015-02-17,LANKABAFIN,Revised Board Meeting schedule under LR 30,1,0,1,revised board meeting schedule under lr 30
110,2015-02-17,LANKABAFIN,Postponement of Board Meeting schedule under LR 30,1,0,1,postponement of board meeting schedule under lr 30
111,2015-02-09,LANKABAFIN,Board Meeting schedule under LR 30,1,1,1,board meeting schedule under lr 30
112,2014-12-02,LANKABAFIN,land purchase,0,1,1,land purchase
113,2014-10-28,LANKABAFIN,Q3,0,1,1,q3
114,2014-08-13,LANKABAFIN,purpose of Bond issue,0,1,0,purpose of bond issue
115,2014-08-13,LANKABAFIN,issuance of Zero Coupon Bond,0,1,0,issuance of zero coupon bond
116,2014-07-22,LANKABAFIN,H/Y Earnings,0,0,1,hy earnings
117,2014-05-12,LANKABAFIN,Q1 Earning,1,0,0,q1 earning
118,2014-04-30,LANKABAFIN,Credit Rating,0,0,0,credit rating
119,2014-04-17,LANKABAFIN,credited the bonus shares,0,0,0,credited the bonus shares
120,2014-03-06,LANKABAFIN,trade resume,0,0,0,trade resume
121,2014-03-05,LANKABAFIN,trade resume,0,0,0,trade resume
122,2014-03-02,LANKABAFIN,AGM and EGM,0,0,1,agm and egm
123,2014-02-27,LANKABAFIN,trade suspension,0,0,0,trade suspension
124,2014-02-24,LANKABAFIN,spot market trading,1,0,0,spot market trading
125,2014-02-24,LANKABAFIN,EGM,1,0,0,egm
126,2014-02-17,LANKABAFIN,to issue Non-Convertible Zero Coupon Bond,0,0,0,to issue non-convertible zero coupon bond
127,2014-02-17,LANKABAFIN,no price limit,0,0,0,no price limit
128,2014-02-17,LANKABAFIN,recommended 15% cash dividend and 5% stock dividend,0,0,0,recommended 15 cash dividend and 5 stock dividend
129,2014-02-06,LANKABAFIN,Board meeting,0,0,0,board meeting
130,2013-10-31,LANKABAFIN,Q3 Earnings,1,0,0,q3 earnings
131,2013-10-31,LANKABAFIN,Q3 Earnings,1,0,0,q3 earnings
132,2013-09-29,LANKABAFIN,Sponsors Share Sell,0,0,0,sponsors share sell
133,2013-09-04,LANKABAFIN,Sponsors Share Sell,0,0,0,sponsors share sell
134,2013-07-31,LANKABAFIN,Q2 Earnings,0,0,0,q2 earnings
135,2013-05-13,LANKABAFIN,Q1 Earnings,1,1,0,q1 earnings
136,2013-03-14,LANKABAFIN,trade resume after record date,0,0,0,trade resume after record date
137,2013-03-13,LANKABAFIN,trade suspension on record date,1,0,0,trade suspension on record date
138,2013-03-10,LANKABAFIN,spot market trading,0,1,1,spot market trading
139,2013-03-04,LANKABAFIN,Corporate declaration,1,0,0,corporate declaration
140,2013-02-24,LANKABAFIN,Board meeting,0,0,0,board meeting
141,2012-11-07,LANKABAFIN,sponsop sell completed,0,0,0,sponsop sell completed
142,2012-10-31,LANKABAFIN,Q3 Earnings 2012,0,0,0,q3 earnings 2012
143,2012-10-09,LANKABAFIN,sponsor sell announcement,0,0,0,sponsor sell announcement
144,2012-09-30,LANKABAFIN,credit rating,0,0,1,credit rating
145,2012-06-25,LANKABAFIN,- The Company has informed ...,0,1,1,the company has informed
146,2012-03-05,LANKABAFIN,- Trading of the shares of th...,0,1,1,trading of the shares of th
147,2011-12-19,LANKABAFIN,- The Company has informed...,1,0,1,the company has informed
148,2011-10-31,LANKABAFIN,- As per quarterly...,0,1,1,as per quarterly
149,2011-10-17,LANKABAFIN,- The Company has further...,0,0,1,the company has further
150,2011-10-05,LANKABAFIN,- Normal trading...,0,0,0,normal trading
151,2011-10-04,LANKABAFIN,- Trading of the shares...,1,0,0,trading of the shares
152,2011-09-29,LANKABAFIN,- Trading of the shares...,1,0,0,trading of the shares
153,2011-09-25,LANKABAFIN,- The Company has further...,1,1,0,the company has further
154,2011-09-25,LANKABAFIN,- There will be no price...,1,1,0,there will be no price
155,2011-09-25,LANKABAFIN,- The Company has informed...,1,1,0,the company has informed
156,2011-07-31,LANKABAFIN,- (H/Y): As per un-audited...,1,0,0,hy: as per un-audited
