,PublishDate,Scrip,Title,today,tomorrow,day_after_tomorrow,normalized_headline
0,2019-04-25,LEGACYFOOT,Board Meeting schedule under LR 16(1),1,0,0,board meeting schedule under lr 161
1,2019-03-25,LEGACYFOOT,Interim Dividend Disbursement,0,0,1,interim dividend disbursement
2,2019-03-13,LEGACYFOOT,Resumption after record date,0,0,0,resumption after record date
3,2019-03-12,LEGACYFOOT,Suspension for Record date,0,0,0,suspension for record date
4,2019-03-10,LEGACYFOOT,Spot News,0,0,0,spot news
5,2019-02-20,LEGACYFOOT,Reason for Increase in EPS,0,0,0,reason for increase in eps
6,2019-02-20,LEGACYFOOT,Q2 Financials,0,0,0,q2 financials
7,2019-02-20,LEGACYFOOT,Price Limit Open,0,0,0,price limit open
8,2019-02-20,LEGACYFOOT,Interim Dividend Declaration,0,0,0,interim dividend declaration
9,2019-02-14,LEGACYFOOT,Reschedule of Board Meeting under LR 16(1),0,0,0,reschedule of board meeting under lr 161
10,2019-01-30,LEGACYFOOT,Reschedule of Board Meeting under LR 16(1),0,1,0,reschedule of board meeting under lr 161
11,2019-01-28,LEGACYFOOT,Board Meeting schedule under LR 16(1),1,1,0,board meeting schedule under lr 161
12,2019-01-23,LEGACYFOOT,Placing the shares in Public from Spot Market as per BSEC Order,0,0,0,placing the shares in public from spot market as per bsec order
13,2019-01-23,LEGACYFOOT,Placing the shares in Public from Spot Market as per BSEC Order,0,0,0,placing the shares in public from spot market as per bsec order
14,2019-01-21,LEGACYFOOT,Dividend Disbursement,1,1,0,dividend disbursement
15,2019-01-17,LEGACYFOOT,Dividend Disbursement,1,0,0,dividend disbursement
17,2018-12-05,LEGACYFOOT,Emphasis of Matter,0,1,0,emphasis of matter
18,2018-11-12,LEGACYFOOT,Reschedule of AGM,0,1,0,reschedule of agm
19,2018-11-11,LEGACYFOOT,Q1 Financials,0,0,1,q1 financials
20,2018-11-06,LEGACYFOOT,Board Meeting schedule under LR 16(1),0,1,1,board meeting schedule under lr 161
21,2018-10-17,LEGACYFOOT,Resumption after Record Date,0,1,0,resumption after record date
22,2018-10-16,LEGACYFOOT,Suspension for Record Date,1,0,1,suspension for record date
23,2018-10-14,LEGACYFOOT,Spot News,0,1,1,spot news
24,2018-10-03,LEGACYFOOT,Price Limit Open for Corporate Declaration,1,1,0,price limit open for corporate declaration
25,2018-10-03,LEGACYFOOT,Placing the shares in compulsory Spot Market as per BSEC Order,1,1,0,placing the shares in compulsory spot market as per bsec order
27,2018-09-26,LEGACYFOOT,Dividend Declaration,0,0,0,dividend declaration
28,2018-09-18,LEGACYFOOT,Extension of Additional 15 days suspension period,0,0,0,extension of additional 15 days suspension period
29,2018-09-16,LEGACYFOOT,Reschedule of Board Meeting under LR 19(1),0,0,0,reschedule of board meeting under lr 191
30,2018-09-10,LEGACYFOOT,Board Meeting schedule under LR 19(1),0,0,0,board meeting schedule under lr 191
31,2018-08-19,LEGACYFOOT,Suspension of share as per BSEC Order,0,0,0,suspension of share as per bsec order
32,2018-08-19,LEGACYFOOT,Enquiry Committee Formation for investigation as per BSEC Order,0,0,0,enquiry committee formation for investigation as per bsec order
33,2018-07-26,LEGACYFOOT,Production & marketing of leather products in the local market,0,0,0,production  marketing of leather products in the local market
34,2018-07-24,LEGACYFOOT,Query Response,0,0,0,query response
35,2018-07-05,LEGACYFOOT,Query Response (Repeat News),0,0,0,query response repeat news
36,2018-07-04,LEGACYFOOT,Query Response,1,0,0,query response
37,2018-05-24,LEGACYFOOT,Company's message to its shareholders regarding unusual price hike,0,0,0,company's message to its shareholders regarding unusual price hike
38,2018-05-22,LEGACYFOOT,Query Response (Repeat News),1,1,0,query response repeat news
39,2018-05-21,LEGACYFOOT,Query Response,0,1,1,query response
40,2018-04-30,LEGACYFOOT,Q3 Financials,1,0,0,q3 financials
41,2018-04-24,LEGACYFOOT,Board Meeting schedule under LR 16(1),0,1,1,board meeting schedule under lr 161
42,2018-04-08,LEGACYFOOT,Raising of authorized capital to Tk. 75.00 crore,0,1,0,raising of authorized capital to tk. 75.00 crore
43,2018-03-15,LEGACYFOOT,Resumption after record date,0,0,0,resumption after record date
44,2018-03-14,LEGACYFOOT,Suspension for Record Date,0,0,0,suspension for record date
45,2018-03-12,LEGACYFOOT,Spot News for EGM,0,0,0,spot news for egm
46,2018-02-25,LEGACYFOOT,Revised EGM date and record date for EGM,0,0,0,revised egm date and record date for egm
49,2018-02-25,LEGACYFOOT,"EGM to raise fund from Directors/Sponsors, Unit-2 open, EOI to invest",0,0,0,"egm to raise fund from directorssponsors, unit-2 open, eoi to invest"
50,2018-02-18,LEGACYFOOT,Q2 Financials (Repeat),1,0,0,q2 financials repeat
