,PublishDate,Scrip,Title,today,tomorrow,day_after_tomorrow,normalized_headline
2,2019-04-17,LHBL,Emphasis of Matter,0,1,0,emphasis of matter
3,2019-04-16,LHBL,Time and Venue of the AGM,0,0,1,time and venue of the agm
4,2019-03-24,LHBL,Resumption after record date,0,0,0,resumption after record date
5,2019-03-21,LHBL,Suspension for Record date,0,0,0,suspension for record date
6,2019-03-19,LHBL,Spot News,0,0,0,spot news
7,2019-03-03,LHBL,Price Limit Open,1,0,0,price limit open
8,2019-03-03,LHBL,Dividend Declaration,1,0,0,dividend declaration
9,2019-02-14,LHBL,Board Meeting schedule under LR 19(1),1,0,0,board meeting schedule under lr 191
10,2019-02-07,LHBL,Resumption after record date,0,0,0,resumption after record date
11,2019-02-06,LHBL,Suspension for Record date,0,0,0,suspension for record date
12,2019-02-04,LHBL,Spot News EGM,1,0,0,spot news egm
13,2019-01-17,LHBL,Update of Information,0,0,0,update of information
15,2019-01-17,LHBL,EGM for approval from shareholders for proposed amalgamation,0,0,0,egm for approval from shareholders for proposed amalgamation
17,2018-12-02,LHBL,Amalgamation of LHBL with HBL,1,0,1,amalgamation of lhbl with hbl
18,2018-10-28,LHBL,Q3 Financials,0,0,1,q3 financials
19,2018-10-21,LHBL,Board Meeting schedule under LR 16(1),0,0,1,board meeting schedule under lr 161
20,2018-08-07,LHBL,Repair & Resume full operation of damaged portion of Long Belt Conveyor,0,0,0,repair  resume full operation of damaged portion of long belt conveyor
21,2018-07-29,LHBL,Q2 Financials,0,0,0,q2 financials
22,2018-07-22,LHBL,Board Meeting schedule under LR 16(1),1,1,0,board meeting schedule under lr 161
23,2018-07-22,LHBL,Fire incident damaging a small segment of the Long Belt Conveyor,1,1,0,fire incident damaging a small segment of the long belt conveyor
24,2018-07-16,LHBL,Dividend Disbursement,0,0,1,dividend disbursement
25,2018-05-13,LHBL,Venue for AGM of the Company,0,0,0,venue for agm of the company
26,2018-05-09,LHBL,"Launching of new product under the brand name ""PLASTERCRETE""",0,0,0,launching of new product under the brand name plastercrete
27,2018-04-30,LHBL,Q1 Financials,0,0,0,q1 financials
28,2018-04-22,LHBL,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
29,2018-04-08,LHBL,Resumption after record date,0,1,0,resumption after record date
30,2018-04-05,LHBL,Suspension for Record Date,1,0,0,suspension for record date
31,2018-04-03,LHBL,Spot News,1,0,1,spot news
32,2018-03-18,LHBL,Appointment of the Chairman,0,0,0,appointment of the chairman
33,2018-03-14,LHBL,Updating information,0,1,0,updating information
34,2018-03-14,LHBL,Price Limit Open,0,1,0,price limit open
36,2018-03-14,LHBL,Dividend Declaration,0,1,0,dividend declaration
37,2018-03-04,LHBL,Board Meeting schedule under LR 19(1),0,0,1,board meeting schedule under lr 191
