,PublishDate,Scrip,Title,today,tomorrow,day_after_tomorrow,normalized_headline
0,2019-04-29,LIBRAINFU,Postponement of Board Meeting schedule under LR 16(1),0,1,0,postponement of board meeting schedule under lr 161
1,2019-04-24,LIBRAINFU,Board Meeting schedule under LR 16(1),0,1,0,board meeting schedule under lr 161
2,2019-01-30,LIBRAINFU,Q2 Financials,0,1,0,q2 financials
3,2019-01-27,LIBRAINFU,Dividend Disbursement,0,0,0,dividend disbursement
4,2019-01-27,LIBRAINFU,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
8,2018-12-03,LIBRAINFU,Qualified Opinion,1,0,1,qualified opinion
9,2018-11-28,LIBRAINFU,Q1 Financials (Additional Disclosure),0,0,0,q1 financials additional disclosure
10,2018-11-28,LIBRAINFU,Q1 Financials,0,0,0,q1 financials
11,2018-11-22,LIBRAINFU,New Date of Board Meeting schedule under LR 16(1),0,0,0,new date of board meeting schedule under lr 161
12,2018-11-20,LIBRAINFU,Resumption after record date,0,0,0,resumption after record date
13,2018-11-19,LIBRAINFU,Suspension for Record date,0,0,0,suspension for record date
14,2018-11-15,LIBRAINFU,Spot News,1,0,0,spot news
15,2018-11-14,LIBRAINFU,Postponement of Board Meeting under LR 16(1),0,1,0,postponement of board meeting under lr 161
16,2018-11-11,LIBRAINFU,Board Meeting schedule under LR 16(1),1,1,0,board meeting schedule under lr 161
17,2018-10-29,LIBRAINFU,Price Limit Open,1,0,0,price limit open
18,2018-10-29,LIBRAINFU,Dividend Declaration,1,0,0,dividend declaration
19,2018-10-21,LIBRAINFU,Board Meeting schedule under LR 19(1),0,1,1,board meeting schedule under lr 191
20,2018-10-11,LIBRAINFU,Query Response,0,0,0,query response
21,2018-07-23,LIBRAINFU,Query Response,0,0,0,query response
22,2018-07-02,LIBRAINFU,Query Response (Repeat News),0,0,1,query response repeat news
23,2018-06-28,LIBRAINFU,Query Response,0,0,0,query response
24,2018-06-07,LIBRAINFU,Query Response (Repeat News),0,0,0,query response repeat news
25,2018-06-06,LIBRAINFU,Query Response,0,0,0,query response
26,2018-04-30,LIBRAINFU,Q3 Financials,0,0,0,q3 financials
27,2018-04-23,LIBRAINFU,Board Meeting schedule under LR 16(1),1,0,0,board meeting schedule under lr 161
28,2018-04-17,LIBRAINFU,Query Response,0,0,0,query response
29,2018-04-17,LIBRAINFU,Query Response,0,0,0,query response
30,2018-02-26,LIBRAINFU,Query Response,0,1,1,query response
36,2018-02-19,LIBRAINFU,Qualified Opinion,0,1,0,qualified opinion
37,2018-02-06,LIBRAINFU,Q2 Financials,1,1,1,q2 financials
38,2018-02-04,LIBRAINFU,Reschedule of Board Meeting schedule under LR 16(1),0,0,1,reschedule of board meeting schedule under lr 161
39,2018-01-29,LIBRAINFU,Postponement of Board Meeting schedule under LR 16(1),0,0,0,postponement of board meeting schedule under lr 161
40,2018-01-25,LIBRAINFU,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
41,2017-11-16,LIBRAINFU,Resumption after record date,0,0,0,resumption after record date
42,2017-11-15,LIBRAINFU,Suspension for Record Date,0,0,0,suspension for record date
43,2017-11-15,LIBRAINFU,Q1 Financials,0,0,0,q1 financials
44,2017-11-13,LIBRAINFU,Spot News,1,0,0,spot news
45,2017-11-09,LIBRAINFU,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
46,2017-10-26,LIBRAINFU,Price Limit Open,0,0,0,price limit open
47,2017-10-26,LIBRAINFU,Dividend Declaration,0,0,0,dividend declaration
48,2017-10-19,LIBRAINFU,Board Meeting schedule under LR 19(1),0,0,0,board meeting schedule under lr 191
49,2017-04-27,LIBRAINFU,Q3 Financials,1,0,0,q3 financials
50,2017-04-24,LIBRAINFU,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
51,2017-02-05,LIBRAINFU,Q2,0,0,1,q2
52,2017-01-01,LIBRAINFU,Qualified Opinion,1,1,1,qualified opinion
53,2016-11-17,LIBRAINFU,Resumption after record date,1,0,0,resumption after record date
54,2016-11-16,LIBRAINFU,Suspension for record date,0,1,0,suspension for record date
55,2016-11-16,LIBRAINFU,Q1 Financials,0,1,0,q1 financials
56,2016-11-14,LIBRAINFU,Spot for AGM,0,0,0,spot for agm
57,2016-10-30,LIBRAINFU,Price Limit Open,0,0,0,price limit open
58,2016-10-30,LIBRAINFU,Dividend Declaration,0,0,0,dividend declaration
59,2016-10-23,LIBRAINFU,Board Meeting schedule under LR 19(1),0,1,1,board meeting schedule under lr 191
60,2016-08-09,LIBRAINFU,Query Response,1,1,0,query response
61,2016-04-28,LIBRAINFU,Q3 Financials,1,0,0,q3 financials
62,2016-04-25,LIBRAINFU,Board Meeting,1,1,0,board meeting
63,2016-03-29,LIBRAINFU,Query Response,1,0,1,query response
64,2015-11-17,LIBRAINFU,Resumption News after Record date,0,1,0,resumption news after record date
65,2015-11-16,LIBRAINFU,Suspension News,0,0,1,suspension news
66,2015-11-12,LIBRAINFU,Spot News,1,0,0,spot news
67,2015-10-28,LIBRAINFU,Disregarding Q1 Financials of the Company,0,1,0,disregarding q1 financials of the company
68,2015-10-28,LIBRAINFU,Q1 Financials,0,1,0,q1 financials
69,2015-10-28,LIBRAINFU,Price Limit Open,0,1,0,price limit open
70,2015-10-28,LIBRAINFU,Dividend Declaration,0,1,0,dividend declaration
71,2015-10-25,LIBRAINFU,Board Meeting schedule under LR 19(1),1,1,0,board meeting schedule under lr 191
72,2015-10-19,LIBRAINFU,Stay of Auction sale against Libra Infusion,0,0,0,stay of auction sale against libra infusion
73,2015-08-13,LIBRAINFU,Query Response,0,0,0,query response
74,2015-05-04,LIBRAINFU,Q3,1,0,0,q3
75,2015-02-01,LIBRAINFU,Half Yearly Financials,1,1,0,half yearly financials
76,2014-11-16,LIBRAINFU,Q1 Earning,1,1,0,q1 earning
77,2014-11-11,LIBRAINFU,will resume,0,0,0,will resume
78,2014-11-10,LIBRAINFU,will resume,1,0,0,will resume
79,2014-11-06,LIBRAINFU,trdae suspension,0,0,0,trdae suspension
80,2014-10-28,LIBRAINFU,no price limit,1,0,1,no price limit
81,2014-10-28,LIBRAINFU,recommended 20% cash dividend,1,0,1,recommended 20 cash dividend
82,2014-10-26,LIBRAINFU,Board Meeting,1,1,1,board meeting
83,2014-08-10,LIBRAINFU,Credit Rating,0,0,0,credit rating
84,2014-04-29,LIBRAINFU,Q3 Earning,0,1,0,q3 earning
85,2014-02-02,LIBRAINFU,H/Y Earnings,1,1,0,hy earnings
86,2013-11-14,LIBRAINFU,Q1 Earnings,0,0,0,q1 earnings
87,2013-11-12,LIBRAINFU,trade resume after record date,0,0,0,trade resume after record date
88,2013-11-11,LIBRAINFU,trade suspension on record date,0,0,0,trade suspension on record date
89,2013-11-06,LIBRAINFU,trade suspension on record date,0,0,0,trade suspension on record date
90,2013-10-28,LIBRAINFU,No price Limit,0,1,0,no price limit
91,2013-10-28,LIBRAINFU,Corporate Action,0,1,0,corporate action
92,2013-10-24,LIBRAINFU,Board Meeting,1,0,0,board meeting
93,2013-09-18,LIBRAINFU,No undisclosed price Sensitive Information,0,0,0,no undisclosed price sensitive information
94,2013-05-02,LIBRAINFU,Q3 Earnings,0,0,0,q3 earnings
95,2013-01-31,LIBRAINFU,H/Y Earnings 2012-13,0,0,0,hy earnings 2012-13
96,2012-11-06,LIBRAINFU,spot market trading,0,0,0,spot market trading
97,2012-10-23,LIBRAINFU,corporate declaration,1,0,0,corporate declaration
98,2011-11-15,LIBRAINFU,- As per un-audited...,0,0,0,as per un-audited
99,2011-11-03,LIBRAINFU, - Normal trading of the shares...,0,0,0,normal trading of the shares
100,2011-11-02,LIBRAINFU,- Trading of the shares...,0,0,0,trading of the shares
101,2011-10-30,LIBRAINFU,- Trading of the shares...,0,0,0,trading of the shares
102,2011-10-27,LIBRAINFU,- The Company has further...,0,0,0,the company has further
103,2011-10-27,LIBRAINFU,- The Board of Directors...,0,0,0,the board of directors
104,2011-10-27,LIBRAINFU,- There will be no price...,0,0,0,there will be no price
105,2011-10-27,LIBRAINFU,- The Company has informed...,0,0,0,the company has informed
