,PublishDate,Scrip,Title,today,tomorrow,day_after_tomorrow,normalized_headline
0,2019-04-25,LINDEBD,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
1,2019-04-04,LINDEBD,Time and Venue of the AGM,1,0,0,time and venue of the agm
2,2019-03-25,LINDEBD,Resumption after record date,0,0,0,resumption after record date
3,2019-03-24,LINDEBD,Suspension for Record date,0,0,0,suspension for record date
4,2019-03-20,LINDEBD,Spot News,0,0,0,spot news
6,2019-03-07,LINDEBD,"Merger between Linde AG of Germany and Praxair, Inc. USA",0,0,0,"merger between linde ag of germany and praxair, inc. usa"
7,2019-03-05,LINDEBD,Price Limit Open,0,0,0,price limit open
8,2019-03-05,LINDEBD,Dividend Declaration,0,0,0,dividend declaration
9,2019-02-25,LINDEBD,Board Meeting schedule under LR 19(1),1,1,0,board meeting schedule under lr 191
10,2018-10-23,LINDEBD,Q3 Financials,1,0,0,q3 financials
11,2018-10-18,LINDEBD,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
12,2018-07-25,LINDEBD,Q2 Financials,0,1,0,q2 financials
13,2018-07-10,LINDEBD,Board Meeting schedule under LR 16(1),1,0,1,board meeting schedule under lr 161
14,2018-05-29,LINDEBD,Dividend Disbursement,0,0,1,dividend disbursement
15,2018-04-30,LINDEBD,Q1 Financials,0,0,0,q1 financials
16,2018-04-23,LINDEBD,Board Meeting schedule under LR 16(1),1,1,0,board meeting schedule under lr 161
17,2018-04-18,LINDEBD,Board approval of investment in a new Merchant Carbon-Dioxide Plant,0,1,0,board approval of investment in a new merchant carbon-dioxide plant
18,2018-04-05,LINDEBD,Venue and time of AGM,0,0,0,venue and time of agm
19,2018-04-05,LINDEBD,Venue and time of AGM,0,0,0,venue and time of agm
20,2018-03-20,LINDEBD,Resumption after record date,0,1,0,resumption after record date
21,2018-03-19,LINDEBD,Suspension for Record Date,0,0,1,suspension for record date
22,2018-03-15,LINDEBD,Spot News,0,0,0,spot news
23,2018-03-01,LINDEBD,Price Limit Open,1,0,0,price limit open
25,2018-03-01,LINDEBD,Dividend Declaration,1,0,0,dividend declaration
26,2018-02-19,LINDEBD,Board Meeting schedule under LR 19(1),1,0,0,board meeting schedule under lr 191
27,2017-10-25,LINDEBD,Q3 Financials,0,1,0,q3 financials
28,2017-08-31,LINDEBD,Interim Dividend Disbursement,0,0,0,interim dividend disbursement
29,2017-08-13,LINDEBD,Resumption after Record Date,0,0,0,resumption after record date
30,2017-08-10,LINDEBD,Suspension for Record Date,0,0,0,suspension for record date
31,2017-08-08,LINDEBD,Spot for interim dividend entitlement,1,1,0,spot for interim dividend entitlement
32,2017-07-25,LINDEBD,Q2 Financials,0,0,1,q2 financials
33,2017-07-25,LINDEBD,Price Limit Open,0,0,1,price limit open
34,2017-07-25,LINDEBD,Interim Dividend Declaration,0,0,1,interim dividend declaration
35,2017-07-19,LINDEBD,Board Meeting schedule under LR 16(1),1,0,0,board meeting schedule under lr 161
36,2017-06-05,LINDEBD,"Business Combination Agreement between Linde AG, Germany & Praxair, Inc",0,0,0,"business combination agreement between linde ag, germany  praxair, inc"
37,2017-06-05,LINDEBD,"Business Combination Agreement between Linde AG, Germany & Praxair, Inc",0,0,0,"business combination agreement between linde ag, germany  praxair, inc"
38,2017-06-01,LINDEBD,Dividend Disbursement,0,0,0,dividend disbursement
39,2017-04-30,LINDEBD,Q1 Financials,0,0,0,q1 financials
40,2017-04-10,LINDEBD,Time and Venue of the AGM,0,1,0,time and venue of the agm
41,2017-03-21,LINDEBD,Resumption after record date,0,1,0,resumption after record date
42,2017-03-20,LINDEBD,Suspension for Record Date,1,0,1,suspension for record date
43,2017-03-16,LINDEBD,Spot News,0,0,0,spot news
44,2017-03-01,LINDEBD,Price Limit Open,0,0,0,price limit open
45,2017-03-01,LINDEBD,Dividend Declaration,0,0,0,dividend declaration
46,2017-02-20,LINDEBD,Board Meeting schedule under LR 19(1),0,0,1,board meeting schedule under lr 191
47,2017-01-01,LINDEBD,Appointment of Managing Director,0,0,1,appointment of managing director
48,2016-12-27,LINDEBD,Press release of the Linde Group about a potential merger,0,0,1,press release of the linde group about a potential merger
49,2016-10-23,LINDEBD,Q3 Financials,0,0,0,q3 financials
50,2016-09-21,LINDEBD,Interim Dividend Disbursement,0,0,0,interim dividend disbursement
51,2016-08-16,LINDEBD,Resumption after record date,0,0,0,resumption after record date
52,2016-08-14,LINDEBD,Suspension news for record date,1,0,0,suspension news for record date
53,2016-08-10,LINDEBD,Spot for Interim Dividend,0,0,0,spot for interim dividend
54,2016-07-26,LINDEBD,Q2,0,0,1,q2
55,2016-07-26,LINDEBD,Price Limit Open,0,0,1,price limit open
56,2016-07-26,LINDEBD,Interim Dividend Declaration,0,0,1,interim dividend declaration
57,2016-07-20,LINDEBD,Board Meeting schedule under LR 16(1),1,0,0,board meeting schedule under lr 161
58,2016-06-02,LINDEBD,Cash Dividend Disbursement,0,0,0,cash dividend disbursement
59,2016-05-12,LINDEBD,Land Sale (additional information),1,0,0,land sale additional information
60,2016-04-28,LINDEBD,Land Sale,0,0,0,land sale
61,2016-04-28,LINDEBD,Q1 Financials,0,0,0,q1 financials
62,2016-04-10,LINDEBD,Time and Venue of the AGM,1,0,0,time and venue of the agm
63,2016-03-16,LINDEBD,Resumption after Record date,0,0,0,resumption after record date
64,2016-03-15,LINDEBD,Suspension for Record date,0,0,0,suspension for record date
65,2016-03-13,LINDEBD,Spot for AGM,1,0,0,spot for agm
66,2016-02-25,LINDEBD,Price Limit Open,0,0,0,price limit open
67,2016-02-25,LINDEBD,Dividend Declaration,0,0,0,dividend declaration
68,2016-02-22,LINDEBD,Board Meeting,0,1,0,board meeting
69,2015-11-29,LINDEBD,Investment Approval,1,0,0,investment approval
70,2015-11-26,LINDEBD,Investment Approval,0,0,0,investment approval
71,2015-10-18,LINDEBD,Q3 Financials,0,1,0,q3 financials
72,2015-10-13,LINDEBD,Board Meeting,1,0,0,board meeting
73,2015-09-08,LINDEBD,Query Response,1,0,1,query response
74,2015-08-25,LINDEBD,Interim Cash Dividend Disbursement,0,0,0,interim cash dividend disbursement
