,PublishDate,Scrip,Title,today,tomorrow,day_after_tomorrow,normalized_headline
0,2019-04-29,MAKSONSPIN,Q3 Financials,0,0,0,q3 financials
1,2019-04-24,MAKSONSPIN,Board Meeting schedule under LR 16(1),0,1,0,board meeting schedule under lr 161
2,2019-03-19,MAKSONSPIN,Buy Confirmation of a Sponsor Director,1,0,0,buy confirmation of a sponsor director
3,2019-03-11,MAKSONSPIN,Dividend Disbursement,0,0,0,dividend disbursement
4,2019-03-11,MAKSONSPIN,Buy Declaration of a Sponsor Director,0,0,0,buy declaration of a sponsor director
5,2019-02-06,MAKSONSPIN,Buy Confirmation of Sponsors Directors,0,0,0,buy confirmation of sponsors directors
6,2019-01-31,MAKSONSPIN,Buy Declarations of Sponsors Directors,0,0,0,buy declarations of sponsors directors
7,2019-01-29,MAKSONSPIN,Q2 Financials,0,0,0,q2 financials
8,2019-01-23,MAKSONSPIN,Board Meeting schedule under LR 16(1),1,1,0,board meeting schedule under lr 161
9,2019-01-15,MAKSONSPIN,Credit Rating Result,0,0,0,credit rating result
10,2018-12-05,MAKSONSPIN,Resumption after record date,0,0,0,resumption after record date
11,2018-12-04,MAKSONSPIN,Suspension for Record date,1,0,0,suspension for record date
12,2018-12-02,MAKSONSPIN,Spot News,1,1,1,spot news
13,2018-11-15,MAKSONSPIN,Buy Confirmation of a Sponsor,0,0,0,buy confirmation of a sponsor
14,2018-11-13,MAKSONSPIN,Q1 Financials,0,0,0,q1 financials
15,2018-11-11,MAKSONSPIN,Buy Declaration of a Sponsor,0,0,0,buy declaration of a sponsor
16,2018-11-08,MAKSONSPIN,Board Meeting schedule under LR 16(1),1,0,0,board meeting schedule under lr 161
17,2018-10-28,MAKSONSPIN,Price Limit Open,0,1,1,price limit open
19,2018-10-28,MAKSONSPIN,Dividend Declaration,0,1,1,dividend declaration
20,2018-10-16,MAKSONSPIN,Board Meeting schedule under LR 19(1),0,0,0,board meeting schedule under lr 191
21,2018-08-14,MAKSONSPIN,Address Change of Registered Office,0,0,0,address change of registered office
22,2018-04-30,MAKSONSPIN,Buy confirmation of Sponsors Directors,0,0,0,buy confirmation of sponsors directors
23,2018-04-25,MAKSONSPIN,Q3 Financials,0,0,0,q3 financials
24,2018-04-19,MAKSONSPIN,Buy declarations of Sponsors Directors,0,0,0,buy declarations of sponsors directors
25,2018-04-19,MAKSONSPIN,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
26,2018-04-05,MAKSONSPIN,Buy confirmations of Sponsors Directors,0,0,0,buy confirmations of sponsors directors
27,2018-04-01,MAKSONSPIN,Buy declarations of Sponsors Directors,1,1,0,buy declarations of sponsors directors
28,2018-03-06,MAKSONSPIN,Buy confirmation of a Sponsor,1,0,0,buy confirmation of a sponsor
29,2018-02-27,MAKSONSPIN,Buy declaration of a Sponsor,0,0,1,buy declaration of a sponsor
30,2018-02-07,MAKSONSPIN,Prohibition on providing loan facilities to purchase securities,0,0,0,prohibition on providing loan facilities to purchase securities
31,2018-02-07,MAKSONSPIN,Category Change,0,0,0,category change
32,2018-02-07,MAKSONSPIN,Dividend Disbursement,0,0,0,dividend disbursement
33,2018-01-29,MAKSONSPIN,Q2 Financials,0,0,0,q2 financials
34,2018-01-23,MAKSONSPIN,Board Meeting schedule under LR 16(1),1,1,0,board meeting schedule under lr 161
35,2018-01-04,MAKSONSPIN,Reschedule Date of the 13th AGM,0,0,0,reschedule date of the 13th agm
36,2017-11-19,MAKSONSPIN,Resumption after record date,0,0,0,resumption after record date
37,2017-11-16,MAKSONSPIN,Suspension for Record Date,1,0,0,suspension for record date
38,2017-11-07,MAKSONSPIN,Q1 Financials,0,0,0,q1 financials
39,2017-11-05,MAKSONSPIN,Spot News,1,0,0,spot news
40,2017-11-02,MAKSONSPIN,Board Meeting schedule under LR 16(1),1,0,0,board meeting schedule under lr 161
41,2017-10-26,MAKSONSPIN,Credit Rating Result,1,0,0,credit rating result
42,2017-10-10,MAKSONSPIN,Price Limit Open,0,0,0,price limit open
44,2017-10-10,MAKSONSPIN,Dividend Declaration,0,0,0,dividend declaration
45,2017-10-03,MAKSONSPIN,Board Meeting schedule under LR 19(1),1,0,0,board meeting schedule under lr 191
46,2017-04-26,MAKSONSPIN,Q3 Financials,0,0,0,q3 financials
47,2017-04-20,MAKSONSPIN,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
48,2017-01-29,MAKSONSPIN,Q2 Financials,0,0,0,q2 financials
49,2017-01-23,MAKSONSPIN,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
50,2017-01-18,MAKSONSPIN,Confirmation of Transmission of deceased Sponsor's/Director's shares,0,0,0,confirmation of transmission of deceased sponsor'sdirector's shares
51,2016-12-08,MAKSONSPIN,suspension news for record date,0,0,0,suspension news for record date
52,2016-12-07,MAKSONSPIN,suspension news for record date,0,0,0,suspension news for record date
53,2016-11-24,MAKSONSPIN,Spot for AGM,1,0,0,spot for agm
54,2016-11-14,MAKSONSPIN,Q1 Financials,0,0,0,q1 financials
55,2016-11-09,MAKSONSPIN,Board Meeting,0,1,0,board meeting
56,2016-10-31,MAKSONSPIN,Price Limit Open,0,1,1,price limit open
57,2016-10-31,MAKSONSPIN,Dividend Declaration,0,1,1,dividend declaration
58,2016-10-23,MAKSONSPIN,Board Meeting schedule under LR 19(1),1,0,0,board meeting schedule under lr 191
59,2016-06-15,MAKSONSPIN,Change of Financial year,1,1,0,change of financial year
60,2016-04-28,MAKSONSPIN,"Completion status of new unit with spindle capacity of 52,800",0,0,0,"completion status of new unit with spindle capacity of 52,800"
61,2016-04-27,MAKSONSPIN,Q2 Financials,1,0,0,q2 financials
62,2016-04-24,MAKSONSPIN,Board Meeting schedule under LR 16(1),1,0,0,board meeting schedule under lr 161
63,2016-02-29,MAKSONSPIN,Resumption after Record date,0,0,0,resumption after record date
64,2016-02-28,MAKSONSPIN,Suspension for Record Date,1,0,0,suspension for record date
65,2016-02-14,MAKSONSPIN,Spot for AGM,0,1,0,spot for agm
66,2016-02-14,MAKSONSPIN, Q1 Financials,0,1,0,q1 financials
67,2016-02-07,MAKSONSPIN,Prohibition on providing loan,0,1,0,prohibition on providing loan
68,2016-02-07,MAKSONSPIN,Category Change,0,1,0,category change
69,2016-02-07,MAKSONSPIN,Price Limit Open,0,1,0,price limit open
70,2016-02-07,MAKSONSPIN,Dividend Declaration,0,1,0,dividend declaration
71,2016-01-27,MAKSONSPIN,Board Meeting,1,0,0,board meeting
72,2015-07-30,MAKSONSPIN,Q3 Financials,0,0,0,q3 financials
73,2015-05-06,MAKSONSPIN,credited the bonus shares,1,0,0,credited the bonus shares
74,2015-04-29,MAKSONSPIN,Half Yearly Financials,0,0,0,half yearly financials
75,2015-02-26,MAKSONSPIN,Resumption News after Record Date,0,0,0,resumption news after record date
76,2015-02-25,MAKSONSPIN,Suspension News for Record date,0,0,0,suspension news for record date
77,2015-02-23,MAKSONSPIN,Spot News for AGM,0,0,0,spot news for agm
78,2015-02-16,MAKSONSPIN,Q1 Financials,0,0,0,q1 financials
79,2015-02-15,MAKSONSPIN,Price Limit Open,0,0,0,price limit open
80,2015-02-15,MAKSONSPIN,Dividend Declaration,0,0,0,dividend declaration
81,2015-02-08,MAKSONSPIN,Board Meeting schedule under LR 30,0,1,0,board meeting schedule under lr 30
82,2014-07-24,MAKSONSPIN,Q3 Earnings,0,0,0,q3 earnings
83,2014-05-14,MAKSONSPIN,expand credit and open unit-2,0,0,0,expand credit and open unit-2
84,2014-04-28,MAKSONSPIN,Q2 Earning,0,0,1,q2 earning
85,2014-04-10,MAKSONSPIN,bonus shares credited,1,0,0,bonus shares credited
86,2014-02-16,MAKSONSPIN,trade resume,0,0,1,trade resume
87,2014-02-13,MAKSONSPIN,trade suspension,1,0,0,trade suspension
88,2014-02-13,MAKSONSPIN,Q1 Earnings,1,0,0,q1 earnings
89,2014-02-10,MAKSONSPIN,spot market trading,0,0,0,spot market trading
90,2014-01-29,MAKSONSPIN,recommended 5% stock dividend,0,1,0,recommended 5 stock dividend
91,2014-01-29,MAKSONSPIN,no price limit,0,1,0,no price limit
92,2014-01-20,MAKSONSPIN,Board meeting,0,0,0,board meeting
93,2013-07-28,MAKSONSPIN,Q3 Earnings,1,1,0,q3 earnings
94,2013-04-29,MAKSONSPIN,Bonus share,0,1,0,bonus share
95,2013-04-28,MAKSONSPIN,H/Y Earnings,0,0,1,hy earnings
96,2013-03-28,MAKSONSPIN,Category Change,0,0,0,category change
97,2013-02-17,MAKSONSPIN,trade suspension on record date,0,0,0,trade suspension on record date
98,2013-02-12,MAKSONSPIN,spot market trading,0,0,0,spot market trading
99,2013-02-12,MAKSONSPIN,Q1 Earnings,0,0,0,q1 earnings
100,2013-01-29,MAKSONSPIN,no price limit following declaration,0,0,1,no price limit following declaration
101,2013-01-29,MAKSONSPIN,Corporate declaration,0,0,1,corporate declaration
102,2013-01-22,MAKSONSPIN,Board meeting,0,1,1,board meeting
103,2012-12-06,MAKSONSPIN,EGM date changed,0,0,0,egm date changed
104,2012-11-22,MAKSONSPIN,spot market trading,1,0,0,spot market trading
105,2012-07-03,MAKSONSPIN,- The Credit Rating Agency...,1,0,0,the credit rating agency
106,2012-05-09,MAKSONSPIN,- Mr. Sanjid Hasan...,0,0,0,mr. sanjid hasan
107,2012-04-16,MAKSONSPIN,- Mr. Amzad Ali Badal...,1,0,0,mr. amzad ali badal
108,2012-01-22,MAKSONSPIN,- As per regulation...,0,1,0,as per regulation
109,2011-10-27,MAKSONSPIN,- The Credit Rating Agency...,0,0,0,the credit rating agency
