,PublishDate,Scrip,Title,today,tomorrow,day_after_tomorrow,normalized_headline
0,2019-04-28,MALEKSPIN,Q3 Financials,0,0,0,q3 financials
1,2019-04-25,MALEKSPIN,Buy Confirmation of a Director,0,0,0,buy confirmation of a director
2,2019-04-23,MALEKSPIN,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
3,2019-04-16,MALEKSPIN,Buy Confirmation of a Sponsor Director,1,1,1,buy confirmation of a sponsor director
4,2019-04-15,MALEKSPIN,Buy Declaration of a Director,1,1,1,buy declaration of a director
5,2019-04-04,MALEKSPIN,Buy Declaration of a Sponsor Director,1,0,0,buy declaration of a sponsor director
6,2019-01-24,MALEKSPIN,Cash Dividend Disbursement,1,0,0,cash dividend disbursement
7,2019-01-23,MALEKSPIN,Q2 Financials,1,1,0,q2 financials
8,2019-01-17,MALEKSPIN,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
9,2018-11-14,MALEKSPIN,Resumption after Record Date,0,0,0,resumption after record date
10,2018-11-13,MALEKSPIN,Suspension for Record Date,0,0,0,suspension for record date
11,2018-11-11,MALEKSPIN,Spot News,0,0,0,spot news
12,2018-10-30,MALEKSPIN,Q1 Financials,0,0,1,q1 financials
13,2018-10-25,MALEKSPIN,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
14,2018-10-24,MALEKSPIN,Price Limit Open,1,0,0,price limit open
15,2018-10-24,MALEKSPIN,Dividend Declaration,1,0,0,dividend declaration
16,2018-10-16,MALEKSPIN,Board Meeting schedule under LR 19(1),1,0,0,board meeting schedule under lr 191
17,2018-04-26,MALEKSPIN,Q3 Financials,1,0,0,q3 financials
18,2018-04-26,MALEKSPIN,Credit Rating Result,1,0,0,credit rating result
19,2018-04-22,MALEKSPIN,Board Meeting schedule under LR 16(1),0,0,1,board meeting schedule under lr 161
20,2018-04-03,MALEKSPIN,Buy confirmation of a Director,0,0,1,buy confirmation of a director
21,2018-03-18,MALEKSPIN,Buy Declaration of a Director,1,1,1,buy declaration of a director
22,2018-02-14,MALEKSPIN,Buy Confirmation of a Director,0,0,0,buy confirmation of a director
23,2018-01-30,MALEKSPIN,Q2 Financials,1,1,1,q2 financials
24,2018-01-25,MALEKSPIN,Buy declaration of a Director,1,0,0,buy declaration of a director
25,2018-01-24,MALEKSPIN,Dividend Disbursement,0,1,0,dividend disbursement
26,2018-01-23,MALEKSPIN,Board Meeting schedule under LR 16(1),0,0,1,board meeting schedule under lr 161
27,2017-12-26,MALEKSPIN,Buy confirmation of a Director,0,0,0,buy confirmation of a director
28,2017-12-11,MALEKSPIN,Buy declaration of a Director,1,0,1,buy declaration of a director
29,2017-11-14,MALEKSPIN,Resumption after record date,0,1,0,resumption after record date
30,2017-11-13,MALEKSPIN,Suspension for Record Date,0,0,1,suspension for record date
31,2017-11-12,MALEKSPIN,Q1 Financials,0,0,0,q1 financials
