,PublishDate,Scrip,Title,today,tomorrow,day_after_tomorrow,normalized_headline
0,2019-04-29,MEGCONMILK,Q3 Financials,0,0,0,q3 financials
1,2019-04-17,MEGCONMILK,Board Meeting schedule under LR 16(1),1,0,0,board meeting schedule under lr 161
2,2019-01-31,MEGCONMILK,Q2 Financials,0,0,0,q2 financials
3,2019-01-24,MEGCONMILK,Board Meeting schedule under LR 16(1),1,0,0,board meeting schedule under lr 161
4,2019-01-08,MEGCONMILK,Query Response,0,1,0,query response
5,2018-11-18,MEGCONMILK,Resumption after record date,0,0,0,resumption after record date
6,2018-11-15,MEGCONMILK,Suspension for Record Date,0,0,0,suspension for record date
7,2018-11-04,MEGCONMILK,Spot News,0,1,0,spot news
8,2018-10-31,MEGCONMILK,Q1 Financials,0,1,0,q1 financials
9,2018-10-28,MEGCONMILK,Price Limit Open,0,1,0,price limit open
10,2018-10-28,MEGCONMILK,Dividend Declaration,0,1,0,dividend declaration
11,2018-10-18,MEGCONMILK,Board Meeting schedule under LR 19(1),0,0,0,board meeting schedule under lr 191
12,2018-08-07,MEGCONMILK,Query Response,0,0,1,query response
13,2018-07-19,MEGCONMILK,Query Response,0,0,0,query response
14,2018-04-25,MEGCONMILK,Q3 Financials,0,1,0,q3 financials
15,2018-04-19,MEGCONMILK,Board Meeting schedule under LR 16(1),1,0,0,board meeting schedule under lr 161
16,2018-02-08,MEGCONMILK,Query Response,1,0,0,query response
17,2018-01-29,MEGCONMILK,Q2 Financials,0,1,1,q2 financials
18,2018-01-08,MEGCONMILK,Query Response,0,1,1,query response
19,2017-11-30,MEGCONMILK,Resumption after record date,0,0,0,resumption after record date
20,2017-11-29,MEGCONMILK,Suspension for Record Date,0,0,0,suspension for record date
21,2017-11-20,MEGCONMILK,Query Response,0,0,0,query response
22,2017-11-16,MEGCONMILK,Spot for AGM,0,0,0,spot for agm
23,2017-10-31,MEGCONMILK,Q1 Financials,1,1,0,q1 financials
24,2017-10-29,MEGCONMILK,Price Limit Open,0,0,1,price limit open
25,2017-10-29,MEGCONMILK,Dividend Declaration,0,0,1,dividend declaration
