,PublishDate,Scrip,Title,today,tomorrow,day_after_tomorrow,normalized_headline
0,2019-04-24,MEGHNACEM,Board Meeting schedule under LR 16(1),1,0,0,board meeting schedule under lr 161
3,2019-03-11,MEGHNACEM,To issue Fully Redeemable Non-Convertible Preference Shares,1,0,0,to issue fully redeemable non-convertible preference shares
4,2019-01-31,MEGHNACEM,Q2 Financials,0,0,0,q2 financials
5,2019-01-23,MEGHNACEM,Board Meeting schedule under LR 16(1),0,1,0,board meeting schedule under lr 161
6,2018-12-23,MEGHNACEM,Credit Rating Result,0,0,0,credit rating result
7,2018-12-05,MEGHNACEM,Dividend Disbursement,0,0,0,dividend disbursement
8,2018-11-15,MEGHNACEM,Q1 Financials,0,0,0,q1 financials
9,2018-11-11,MEGHNACEM,Board Meeting schedule under LR 16(1),1,0,1,board meeting schedule under lr 161
10,2018-10-11,MEGHNACEM,Query Response,0,0,0,query response
11,2018-10-04,MEGHNACEM,Resumption after Record Date,0,0,0,resumption after record date
12,2018-10-03,MEGHNACEM,Suspension for Record Date,0,0,0,suspension for record date
13,2018-10-01,MEGHNACEM,Spot News for AGM & EGM,1,1,0,spot news for agm  egm
14,2018-09-16,MEGHNACEM,Purpose of EGM,0,1,0,purpose of egm
15,2018-09-13,MEGHNACEM,Price Limit Open,0,0,0,price limit open
17,2018-09-13,MEGHNACEM,Dividend Declaration,0,0,0,dividend declaration
18,2018-09-04,MEGHNACEM,Board Meeting schedule under LR 19(1),1,1,1,board meeting schedule under lr 191
20,2018-08-13,MEGHNACEM,Board Recommendations to issue Fully Redeemable Preference Shares,0,0,0,board recommendations to issue fully redeemable preference shares
21,2018-05-03,MEGHNACEM,Q3 Financials,0,0,0,q3 financials
22,2018-04-25,MEGHNACEM,Board Meeting schedule under LR 16(1),1,0,0,board meeting schedule under lr 161
23,2018-02-01,MEGHNACEM,Q2 Financials,1,0,0,q2 financials
24,2018-01-28,MEGHNACEM,Board Meeting schedule under LR 16(1),1,0,0,board meeting schedule under lr 161
25,2018-01-28,MEGHNACEM,Credit Rating Result,1,0,0,credit rating result
26,2018-01-14,MEGHNACEM,Dividend Disbursement,1,0,1,dividend disbursement
27,2017-11-20,MEGHNACEM,Resumption after record date,0,0,0,resumption after record date
28,2017-11-19,MEGHNACEM,Suspension for Record Date,1,0,0,suspension for record date
29,2017-11-16,MEGHNACEM,Q1 Financials,1,0,0,q1 financials
30,2017-11-15,MEGHNACEM,Spot News,1,1,0,spot news
31,2017-11-05,MEGHNACEM,Board Meeting schedule under LR 16(1),1,1,0,board meeting schedule under lr 161
32,2017-10-31,MEGHNACEM,Price Limit Open,1,1,0,price limit open
33,2017-10-31,MEGHNACEM,Dividend Declaration,1,1,0,dividend declaration
34,2017-10-23,MEGHNACEM,Board Meeting schedule under LR 19(1),0,0,1,board meeting schedule under lr 191
35,2017-09-19,MEGHNACEM,Query Response,0,0,1,query response
36,2017-05-02,MEGHNACEM,Q3 Financials,0,1,0,q3 financials
37,2017-04-27,MEGHNACEM,Board Meeting schedule under LR 16(1),1,0,0,board meeting schedule under lr 161
38,2017-04-06,MEGHNACEM,Entering into a Contract to import Machineries (additional info.),1,0,0,entering into a contract to import machineries additional info.
39,2017-04-05,MEGHNACEM,Entering into a Contract to import Machineries,1,1,0,entering into a contract to import machineries
40,2017-02-01,MEGHNACEM,Q2 Financials (additional Information),1,0,0,q2 financials additional information
41,2017-02-01,MEGHNACEM,Q2 Financials,1,0,0,q2 financials
42,2017-01-29,MEGHNACEM,Board Meeting schedule under LR 16(1),1,1,0,board meeting schedule under lr 161
43,2017-01-23,MEGHNACEM,Dividend Disbursement,1,0,0,dividend disbursement
44,2016-12-28,MEGHNACEM,Query Response,0,1,0,query response
45,2016-12-08,MEGHNACEM,Credit Rating,1,0,0,credit rating
46,2016-11-28,MEGHNACEM,Resumption after record date,0,1,0,resumption after record date
47,2016-11-23,MEGHNACEM,Spot for AGM,1,1,0,spot for agm
48,2016-11-14,MEGHNACEM,Q1 Financials (Revised Information),0,0,1,q1 financials revised information
49,2016-11-14,MEGHNACEM,Q1 Financials,0,0,1,q1 financials
50,2016-11-06,MEGHNACEM,Dividend Declaration (Additional Information),1,0,1,dividend declaration additional information
51,2016-11-06,MEGHNACEM,Import of machineries and equipments,1,0,1,import of machineries and equipments
52,2016-11-06,MEGHNACEM,Price Limit Open,1,0,1,price limit open
53,2016-11-06,MEGHNACEM,Dividend Declaration,1,0,1,dividend declaration
54,2016-10-26,MEGHNACEM,Board Meeting schedule under LR 19(1),0,0,0,board meeting schedule under lr 191
55,2016-05-12,MEGHNACEM,Change of Financial year,0,0,0,change of financial year
56,2015-11-26,MEGHNACEM,Credit Rating Result,0,0,0,credit rating result
57,2015-11-03,MEGHNACEM,Confirmation of sale/buy of Sponsors/Director,1,0,1,confirmation of salebuy of sponsorsdirector
58,2015-10-29,MEGHNACEM,Q3 Financials,0,0,0,q3 financials
