,PublishDate,Scrip,Title,today,tomorrow,day_after_tomorrow,normalized_headline
0,2019-01-22,MEGHNALIFE,Query Response,0,1,0,query response
1,2018-11-29,MEGHNALIFE,Credit Rating Result,1,0,0,credit rating result
2,2018-11-05,MEGHNALIFE,Cash Dividend Disbursement,0,1,1,cash dividend disbursement
3,2018-10-28,MEGHNALIFE,Q3 Financials,0,1,0,q3 financials
4,2018-10-21,MEGHNALIFE,Board Meeting schedule under LR 16(1),0,0,1,board meeting schedule under lr 161
5,2018-09-20,MEGHNALIFE,Change of AGM date,0,0,0,change of agm date
6,2018-08-19,MEGHNALIFE,Resumption after record date,0,0,0,resumption after record date
7,2018-08-16,MEGHNALIFE,Suspension for Record Date,1,0,0,suspension for record date
8,2018-08-13,MEGHNALIFE,Spot News,1,0,0,spot news
9,2018-07-30,MEGHNALIFE,Q2 Financials,0,0,1,q2 financials
10,2018-07-30,MEGHNALIFE,Q1 Financials,0,0,1,q1 financials
11,2018-07-30,MEGHNALIFE,Price Limit Open,0,0,1,price limit open
12,2018-07-30,MEGHNALIFE,Dividend Declaration,0,0,1,dividend declaration
13,2018-07-23,MEGHNALIFE,Board Meeting schedules under LR 16(1),1,1,0,board meeting schedules under lr 161
14,2018-07-23,MEGHNALIFE,Board Meeting schedule under LR 19(1),1,1,0,board meeting schedule under lr 191
15,2017-11-05,MEGHNALIFE,Dividend Disbursement,0,1,1,dividend disbursement
16,2017-10-29,MEGHNALIFE,Q3 Financials,1,0,0,q3 financials
17,2017-10-24,MEGHNALIFE,Board Meeting schedule under LR 16(1),0,0,1,board meeting schedule under lr 161
18,2017-10-08,MEGHNALIFE,Bonus Dividend Disbursement,0,1,1,bonus dividend disbursement
19,2017-08-02,MEGHNALIFE,Resumption after Record Date,0,1,0,resumption after record date
20,2017-08-01,MEGHNALIFE,Suspension for Record Date,1,0,1,suspension for record date
21,2017-07-31,MEGHNALIFE,Q2 Financials,1,1,0,q2 financials
22,2017-07-31,MEGHNALIFE,Q1 Financials,1,1,0,q1 financials
23,2017-07-30,MEGHNALIFE,Spot News,0,1,1,spot news
