,PublishDate,Scrip,Title,today,tomorrow,day_after_tomorrow,normalized_headline
0,2019-04-29,MEGHNAPET,Q3 Financials,0,0,0,q3 financials
1,2019-04-17,MEGHNAPET,Board Meeting schedule under LR 16(1),1,0,0,board meeting schedule under lr 161
2,2019-01-31,MEGHNAPET,Q2 Financials (Additional Information),0,0,0,q2 financials additional information
3,2019-01-31,MEGHNAPET,Q2 Financials,0,0,0,q2 financials
4,2019-01-24,MEGHNAPET,Board Meeting schedule under LR 16(1),1,0,0,board meeting schedule under lr 161
5,2019-01-08,MEGHNAPET,Query Response,0,0,0,query response
6,2018-11-18,MEGHNAPET,Resumption after record date,0,1,1,resumption after record date
7,2018-11-15,MEGHNAPET,Suspension for Record Date,0,0,0,suspension for record date
8,2018-11-13,MEGHNAPET,Query Response,0,0,0,query response
9,2018-11-04,MEGHNAPET,Spot News,0,0,0,spot news
10,2018-10-31,MEGHNAPET,Q1 Financials,1,0,0,q1 financials
11,2018-10-28,MEGHNAPET,Price Limit Open,0,1,0,price limit open
12,2018-10-28,MEGHNAPET,Dividend Declaration,0,1,0,dividend declaration
13,2018-10-18,MEGHNAPET,Board Meeting schedule under LR 19(1),0,0,0,board meeting schedule under lr 191
14,2018-08-07,MEGHNAPET,Query Response,0,1,0,query response
15,2018-07-19,MEGHNAPET,Query Response,0,0,0,query response
16,2018-04-25,MEGHNAPET,Q3 Financials,0,0,0,q3 financials
17,2018-04-19,MEGHNAPET,Board Meeting schedule under LR 16(1),1,0,0,board meeting schedule under lr 161
18,2018-02-08,MEGHNAPET,Query Response,1,0,0,query response
19,2018-01-29,MEGHNAPET,Q2 Financials,0,1,0,q2 financials
20,2018-01-08,MEGHNAPET,Query Response,0,0,1,query response
21,2017-11-30,MEGHNAPET,Resumption after record date,0,0,0,resumption after record date
22,2017-11-29,MEGHNAPET,Suspension for Record Date,1,0,0,suspension for record date
23,2017-11-20,MEGHNAPET,Query Response,0,0,0,query response
24,2017-11-16,MEGHNAPET,Spot for AGM,1,0,0,spot for agm
25,2017-10-31,MEGHNAPET,Q1 Financials,1,1,1,q1 financials
26,2017-10-29,MEGHNAPET,Price Limit Open,0,1,1,price limit open
27,2017-10-29,MEGHNAPET,Dividend Declaration,0,1,1,dividend declaration
28,2017-10-22,MEGHNAPET,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
29,2017-10-19,MEGHNAPET,Board Meeting schedule under LR 19(1),0,0,0,board meeting schedule under lr 191
30,2017-09-10,MEGHNAPET,Query Response,0,0,0,query response
31,2017-07-09,MEGHNAPET,Q3 Financials (Repeat),1,0,1,q3 financials repeat
32,2017-07-04,MEGHNAPET,Query Response,0,0,0,query response
33,2017-04-30,MEGHNAPET,Q3 Financials,0,0,0,q3 financials
34,2017-04-26,MEGHNAPET,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
35,2017-01-30,MEGHNAPET,Q2 Financials,1,1,0,q2 financials
36,2017-01-22,MEGHNAPET,Board Meeting schedule under LR 16(1),1,0,0,board meeting schedule under lr 161
37,2016-12-28,MEGHNAPET,Query Response,0,1,0,query response
38,2016-12-26,MEGHNAPET,Enquiry Committee formation by BSEC,1,1,0,enquiry committee formation by bsec
39,2016-11-30,MEGHNAPET,Resumption after record date,0,0,0,resumption after record date
40,2016-11-29,MEGHNAPET,Suspension for record date,1,0,0,suspension for record date
41,2016-11-16,MEGHNAPET,Spot for AGM,0,0,0,spot for agm
42,2016-11-13,MEGHNAPET,Q1 Financials,1,0,0,q1 financials
43,2016-10-30,MEGHNAPET,Price Limit Open,0,0,1,price limit open
44,2016-10-30,MEGHNAPET,Dividend Declaration,0,0,1,dividend declaration
45,2016-10-23,MEGHNAPET,Board Meeting schedule under LR 19(1),1,0,0,board meeting schedule under lr 191
46,2016-08-10,MEGHNAPET,Query Response,1,0,0,query response
47,2016-04-25,MEGHNAPET,Q3 Financials,0,1,0,q3 financials
