,PublishDate,Scrip,Title,today,tomorrow,day_after_tomorrow,normalized_headline
0,2019-04-24,MERCANBANK,Board Meeting schedule under LR 19(1),0,1,0,board meeting schedule under lr 191
1,2019-02-25,MERCANBANK,Appointment of the Managing Director & CEO,1,0,0,appointment of the managing director  ceo
2,2019-01-15,MERCANBANK,Share Transmission of deceased Sponsor/Director to his successor,0,0,1,share transmission of deceased sponsordirector to his successor
3,2018-11-05,MERCANBANK,Completion of share Transfer outside the Trading System of Exchange,0,0,1,completion of share transfer outside the trading system of exchange
4,2018-10-28,MERCANBANK,Confirmation of share transfer by a Sponsor Director,1,0,1,confirmation of share transfer by a sponsor director
5,2018-10-28,MERCANBANK,Q3 Financials,1,0,1,q3 financials
6,2018-10-24,MERCANBANK,Declaration of transfer by a Sponsor Director,0,1,0,declaration of transfer by a sponsor director
7,2018-10-21,MERCANBANK,Board Meeting schedule under LR 16(1),1,0,0,board meeting schedule under lr 161
8,2018-10-21,MERCANBANK,Board Meeting schedule under LR 16(1),1,0,0,board meeting schedule under lr 161
9,2018-10-16,MERCANBANK,Transfer of shares outside the Trading System of the Exchange,0,0,0,transfer of shares outside the trading system of the exchange
10,2018-07-26,MERCANBANK,Q2 Financials,0,0,0,q2 financials
11,2018-07-19,MERCANBANK,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
12,2018-06-20,MERCANBANK,Confirmation of share transfer by a Sponsor,1,1,0,confirmation of share transfer by a sponsor
13,2018-06-10,MERCANBANK,Declaration of share transfer by a Sponsor,0,1,1,declaration of share transfer by a sponsor
14,2018-05-24,MERCANBANK,Dividend Disbursement,1,0,0,dividend disbursement
15,2018-05-23,MERCANBANK,Credit Rating Result,1,1,0,credit rating result
16,2018-05-22,MERCANBANK,BSEC consent for issuing 7 years Subordinated Bond,0,1,1,bsec consent for issuing 7 years subordinated bond
17,2018-05-13,MERCANBANK,Q1 Financials,0,1,0,q1 financials
18,2018-05-06,MERCANBANK,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
19,2018-04-24,MERCANBANK,Sale confirmation of a Sponsor,0,1,0,sale confirmation of a sponsor
20,2018-04-17,MERCANBANK,Sale confirmation of a Sponsor,0,1,0,sale confirmation of a sponsor
21,2018-04-16,MERCANBANK,Sale declaration of a Sponsor,0,0,1,sale declaration of a sponsor
22,2018-04-15,MERCANBANK,Resumption after record date,0,0,0,resumption after record date
23,2018-04-15,MERCANBANK,Share transmission of late Sponsor Director to his successor,0,0,0,share transmission of late sponsor director to his successor
24,2018-04-12,MERCANBANK,Sale declaration of a Sponsor,1,0,0,sale declaration of a sponsor
25,2018-04-12,MERCANBANK,Suspension for Record Date,1,0,0,suspension for record date
26,2018-04-11,MERCANBANK,Buy confirmation of a Director,0,1,0,buy confirmation of a director
27,2018-04-10,MERCANBANK,Spot News,1,0,1,spot news
28,2018-04-03,MERCANBANK,Buy declaration of a Sponsor,0,0,1,buy declaration of a sponsor
29,2018-03-28,MERCANBANK,Share transmission of late Sponsor Director to his successor,1,1,0,share transmission of late sponsor director to his successor
30,2018-03-25,MERCANBANK,Price Limit Open,0,0,0,price limit open
32,2018-03-25,MERCANBANK,Dividend Declaration,0,0,0,dividend declaration
33,2018-03-18,MERCANBANK,Reschedule of Board Meeting under LR 19(1),1,0,1,reschedule of board meeting under lr 191
34,2018-02-19,MERCANBANK,Fine Imposed on a Sponsor Director of the Company,0,0,0,fine imposed on a sponsor director of the company
35,2018-02-13,MERCANBANK,Postponement of Board Meeting schedule under LR 19(1),0,0,0,postponement of board meeting schedule under lr 191
36,2018-02-11,MERCANBANK,Board Meeting schedule under LR 19(1),1,1,0,board meeting schedule under lr 191
37,2017-10-17,MERCANBANK,Forming Subsidiary Company & to obtain license for Venture Capital,1,0,1,forming subsidiary company  to obtain license for venture capital
38,2017-10-17,MERCANBANK,Forming Subsidiary Company & to obtain license for Venture Capital,1,0,1,forming subsidiary company  to obtain license for venture capital
39,2017-10-17,MERCANBANK,Sale intention of shares of IDLC Finance Limited,1,0,1,sale intention of shares of idlc finance limited
40,2017-10-17,MERCANBANK,Q3 Financials,1,0,1,q3 financials
41,2017-10-10,MERCANBANK,Board Meeting schedule under LR 16(1),1,0,0,board meeting schedule under lr 161
42,2017-10-05,MERCANBANK,Sale confirmation of a Sponsor,1,0,0,sale confirmation of a sponsor
43,2017-09-10,MERCANBANK,Sale declaration of a Sponsor,0,0,1,sale declaration of a sponsor
45,2017-08-17,MERCANBANK,Issuing Subordinated Bond and sale intention of shares of IDLC,0,0,0,issuing subordinated bond and sale intention of shares of idlc
46,2017-08-07,MERCANBANK,Sale confirmation of a Sponsor,1,0,0,sale confirmation of a sponsor
47,2017-07-27,MERCANBANK,Q2 Financials (additional information),0,0,0,q2 financials additional information
48,2017-07-27,MERCANBANK,Q2 Financials,0,0,0,q2 financials
49,2017-07-20,MERCANBANK,Board Meeting schedule under LR 16(1),1,0,0,board meeting schedule under lr 161
50,2017-07-20,MERCANBANK,Sale Declaration of a Sponsor,1,0,0,sale declaration of a sponsor
51,2017-07-03,MERCANBANK,Buy confirmation of a Sponsor,1,1,1,buy confirmation of a sponsor
52,2017-07-02,MERCANBANK,Buy confirmation of a Sponsor,0,1,1,buy confirmation of a sponsor
53,2017-07-02,MERCANBANK,Sale confirmation of a Sponsor,0,1,1,sale confirmation of a sponsor
54,2017-06-19,MERCANBANK,Buy Declaration of a Sponsor,0,1,1,buy declaration of a sponsor
55,2017-06-14,MERCANBANK,Buy confirmation of a Sponsor,0,0,0,buy confirmation of a sponsor
56,2017-06-13,MERCANBANK,Buy Declaration of a Sponsor,0,0,0,buy declaration of a sponsor
57,2017-06-05,MERCANBANK,Buy Declaration of a Sponsor,1,0,0,buy declaration of a sponsor
58,2017-05-30,MERCANBANK,Confirmation of receipt by a Sponsor,1,1,1,confirmation of receipt by a sponsor
59,2017-05-25,MERCANBANK,Declaration of receipt by a Sponsor,1,0,0,declaration of receipt by a sponsor
60,2017-05-25,MERCANBANK,Credit Rating Result,1,0,0,credit rating result
61,2017-05-09,MERCANBANK,Q1 Financials,0,0,0,q1 financials
62,2017-05-07,MERCANBANK,Sale declaration of a Sponsor,1,0,0,sale declaration of a sponsor
63,2017-05-02,MERCANBANK,Board Meeting schedule under LR 16(1),1,1,0,board meeting schedule under lr 161
64,2017-04-27,MERCANBANK,Dividend Disbursement,1,0,0,dividend disbursement
65,2017-04-13,MERCANBANK,Buy confirmation of a Sponsor (Correction News),0,0,0,buy confirmation of a sponsor correction news
66,2017-04-12,MERCANBANK,Confirmation of sale by a Sponsor,1,0,0,confirmation of sale by a sponsor
67,2017-04-03,MERCANBANK,Buy Declaration of a Sponsor,0,0,1,buy declaration of a sponsor
68,2017-03-19,MERCANBANK,Decision to establish a fully owned subsidiary Company,0,0,1,decision to establish a fully owned subsidiary company
69,2017-03-16,MERCANBANK,Resumption after record date,0,0,0,resumption after record date
70,2017-03-15,MERCANBANK,Suspension for Record Date,0,0,0,suspension for record date
71,2017-03-13,MERCANBANK,Spot News,1,0,0,spot news
72,2017-02-26,MERCANBANK,Dividend Declaration,1,0,0,dividend declaration
73,2017-02-26,MERCANBANK,Price Limit Open,1,0,0,price limit open
74,2017-02-19,MERCANBANK,Board Meeting schedule under LR 19(1) (Revised Information),0,1,0,board meeting schedule under lr 191 revised information
75,2017-01-04,MERCANBANK,Confirmation of Transmission,0,0,0,confirmation of transmission
76,2016-12-27,MERCANBANK,Transmission of deceased Sponsor's/Director's shares to his successor,0,0,0,transmission of deceased sponsor'sdirector's shares to his successor
77,2016-11-01,MERCANBANK,Confirmation of sale by a Sponsor,0,1,0,confirmation of sale by a sponsor
78,2016-10-27,MERCANBANK,Q3 Financials,0,0,0,q3 financials
79,2016-10-23,MERCANBANK,Declaration of sale by a Sponsor,0,0,0,declaration of sale by a sponsor
80,2016-10-23,MERCANBANK,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
81,2016-10-20,MERCANBANK,Buy Confirmation of a Sponsor,0,0,0,buy confirmation of a sponsor
82,2016-09-24,MERCANBANK,Buy Declaration of a Sponsor,1,1,0,buy declaration of a sponsor
83,2016-08-30,MERCANBANK,Buy Confirmation of a Sponsor,0,1,0,buy confirmation of a sponsor
84,2016-08-16,MERCANBANK,Buy Confirmation of a Sponsor,0,0,0,buy confirmation of a sponsor
85,2016-08-16,MERCANBANK,Buy Declaration by a Sponsor,0,0,0,buy declaration by a sponsor
86,2016-08-04,MERCANBANK,Buy Confirmation,0,0,0,buy confirmation
87,2016-08-01,MERCANBANK,Buy Declaration,0,1,0,buy declaration
88,2016-07-31,MERCANBANK,Q2 Financials,0,0,1,q2 financials
89,2016-07-27,MERCANBANK,Reschedule of Board Meeting,0,0,0,reschedule of board meeting
90,2016-07-26,MERCANBANK,Buy Confirmation,1,0,0,buy confirmation
91,2016-07-26,MERCANBANK,Buy Confirmation of a Sponsor,1,0,0,buy confirmation of a sponsor
92,2016-07-26,MERCANBANK,Buy Declaration of a Sponsor,1,0,0,buy declaration of a sponsor
93,2016-07-21,MERCANBANK,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
94,2016-07-20,MERCANBANK,Buy Declaration of a Sponsor,0,0,0,buy declaration of a sponsor
95,2016-06-29,MERCANBANK,Buy Confirmation,1,0,0,buy confirmation
96,2016-06-15,MERCANBANK,Buy Confirmation of a Sponsor/Director,0,1,0,buy confirmation of a sponsordirector
97,2016-06-09,MERCANBANK,Confirmation of sale by a Sponsor,0,0,0,confirmation of sale by a sponsor
98,2016-06-08,MERCANBANK,Buy Declaration of a Sponsor,0,0,0,buy declaration of a sponsor
99,2016-06-02,MERCANBANK,Buy Declaration of Sponsors/Director,1,0,0,buy declaration of sponsorsdirector
100,2016-05-30,MERCANBANK,Buy Declaration of a Sponsor,0,1,0,buy declaration of a sponsor
101,2016-05-24,MERCANBANK,Credit Rating,0,0,1,credit rating
102,2016-05-15,MERCANBANK,Declaration of sale by a Sponsor,1,1,0,declaration of sale by a sponsor
103,2016-05-08,MERCANBANK,Q1,0,1,0,q1
104,2016-05-03,MERCANBANK,Confirmation of sale by a Sponsor,1,1,1,confirmation of sale by a sponsor
105,2016-04-28,MERCANBANK,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
106,2016-04-27,MERCANBANK,Declaration of sale by a Sponsor,0,0,0,declaration of sale by a sponsor
107,2016-04-26,MERCANBANK,Resumption after Record date,0,0,0,resumption after record date
108,2016-04-25,MERCANBANK,Suspension,0,0,0,suspension
109,2016-04-21,MERCANBANK,Spot News for AGM,1,0,0,spot news for agm
110,2016-04-05,MERCANBANK,Price Limit Open,0,1,0,price limit open
111,2016-04-05,MERCANBANK,Dividend Declaration,0,1,0,dividend declaration
112,2016-03-28,MERCANBANK,Board Meeting schedule under LR 19(1),1,1,1,board meeting schedule under lr 191
113,2016-01-14,MERCANBANK,Appointment of MD & CEO,1,0,0,appointment of md  ceo
114,2015-11-02,MERCANBANK,Confirmation of sale by a Sponsor/Director,0,0,0,confirmation of sale by a sponsordirector
115,2015-10-29,MERCANBANK,Q3 Financials,0,0,0,q3 financials
116,2015-10-25,MERCANBANK,Confirmation of sale by a Sponsor/Director,0,1,0,confirmation of sale by a sponsordirector
117,2015-10-25,MERCANBANK,Declaration of sale by a Sponsor /Director,0,1,0,declaration of sale by a sponsor director
118,2015-10-21,MERCANBANK,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
119,2015-10-19,MERCANBANK,Confirmation of Sale by a Sponsor/Director,0,0,0,confirmation of sale by a sponsordirector
120,2015-10-19,MERCANBANK,Declaration of sale by a Sponsor/Director,0,0,0,declaration of sale by a sponsordirector
121,2015-10-18,MERCANBANK,Confirmation of sale by a Sponsor,0,0,0,confirmation of sale by a sponsor
122,2015-10-15,MERCANBANK,Declaration of Sale by a Sponsor/Director,0,0,0,declaration of sale by a sponsordirector
123,2015-10-11,MERCANBANK,Declaration of sale By a Sponsor,0,1,0,declaration of sale by a sponsor
124,2015-10-06,MERCANBANK,Transmission of Deceased Sponsor's/Director's shares,0,1,0,transmission of deceased sponsor'sdirector's shares
125,2015-10-05,MERCANBANK,Declaration of sale,1,0,1,declaration of sale
126,2015-10-05,MERCANBANK,Confirmation of sale,1,0,1,confirmation of sale
127,2015-08-25,MERCANBANK,Sponsor/Director sale,0,1,0,sponsordirector sale
128,2015-08-24,MERCANBANK,Sale declaration of a Sponsor,0,0,1,sale declaration of a sponsor
129,2015-07-28,MERCANBANK,Q2 Financials,1,0,0,q2 financials
130,2015-06-30,MERCANBANK,Confirmation of sale by Sponsor,1,0,0,confirmation of sale by sponsor
131,2015-06-29,MERCANBANK,Buy confirmation of a Sponsor,0,1,0,buy confirmation of a sponsor
132,2015-06-22,MERCANBANK,Buy Declaration of a Sponsor,0,0,1,buy declaration of a sponsor
133,2015-06-18,MERCANBANK,Buy confirmation of a Sponsor,0,0,0,buy confirmation of a sponsor
134,2015-06-17,MERCANBANK,Buy confirmation of a Sponsor,1,0,0,buy confirmation of a sponsor
135,2015-06-11,MERCANBANK,Buy declaration by Sponsor/Director,1,0,0,buy declaration by sponsordirector
136,2015-06-11,MERCANBANK,Declaration of sale by Sponsor,1,0,0,declaration of sale by sponsor
137,2015-06-11,MERCANBANK,Declaration of buy of Sponsor/Director,1,0,0,declaration of buy of sponsordirector
138,2015-05-20,MERCANBANK,Credit Rating result,0,0,0,credit rating result
139,2015-05-18,MERCANBANK,Q1 Financials,1,1,0,q1 financials
140,2015-05-06,MERCANBANK,will trade resume,0,1,0,will trade resume
141,2015-05-05,MERCANBANK,Suspension of trading,1,0,1,suspension of trading
142,2015-04-30,MERCANBANK,Spot Market,0,0,0,spot market
143,2015-04-23,MERCANBANK,No price Limit today,0,0,0,no price limit today
144,2015-04-23,MERCANBANK,Dividend,0,0,0,dividend
145,2015-04-19,MERCANBANK,Board Meeting,1,1,0,board meeting
146,2014-11-02,MERCANBANK,Sponsors Buy/Sell/Transfer,0,0,0,sponsors buyselltransfer
147,2014-10-27,MERCANBANK,Q3 Earnings,1,0,0,q3 earnings
