,PublishDate,Scrip,Title,today,tomorrow,day_after_tomorrow,normalized_headline
0,2019-04-18,MERCINS,Board Meeting schedule under LR 19(1),1,0,0,board meeting schedule under lr 191
1,2019-03-25,MERCINS,Credit Rating Result,1,0,0,credit rating result
2,2019-02-26,MERCINS,Query Response,0,0,0,query response
3,2018-10-30,MERCINS,Q3 Financials,1,0,1,q3 financials
4,2018-10-24,MERCINS,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
5,2018-08-05,MERCINS,Cash Dividend Disbursement,0,0,0,cash dividend disbursement
6,2018-07-29,MERCINS,Q2 Financials,1,1,1,q2 financials
7,2018-07-23,MERCINS,Board Meeting schedule under LR 16(1),0,1,0,board meeting schedule under lr 161
8,2018-05-23,MERCINS,Resumption after record date,0,0,0,resumption after record date
9,2018-05-22,MERCINS,Suspension for Record Date,0,0,0,suspension for record date
10,2018-05-20,MERCINS,Spot News,1,0,0,spot news
11,2018-05-16,MERCINS,Q1 Financials,0,1,0,q1 financials
12,2018-05-09,MERCINS,Board Meeting schedule under LR 16(1),1,1,0,board meeting schedule under lr 161
13,2018-05-03,MERCINS,Price Limit Open,0,0,0,price limit open
14,2018-05-03,MERCINS,Dividend Declaration,0,0,0,dividend declaration
15,2018-04-22,MERCINS,Board Meeting schedule under LR 19(1),1,0,0,board meeting schedule under lr 191
16,2018-01-25,MERCINS,Credit Rating Result,0,0,0,credit rating result
17,2017-10-31,MERCINS,Q3 Financials,0,0,1,q3 financials
18,2017-10-23,MERCINS,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
19,2017-08-06,MERCINS,Dividend Disbursement,1,0,1,dividend disbursement
20,2017-08-01,MERCINS,Q2 Financials,0,0,0,q2 financials
21,2017-07-25,MERCINS,Board Meeting schedule under LR 16(1),0,1,0,board meeting schedule under lr 161
22,2017-05-17,MERCINS,Resumption after Record Date,0,1,0,resumption after record date
23,2017-05-16,MERCINS,Suspension for Record Date,1,0,1,suspension for record date
24,2017-05-16,MERCINS,Q1 Financials,1,0,1,q1 financials
25,2017-05-14,MERCINS,Spot News,0,0,1,spot news
26,2017-05-08,MERCINS,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
27,2017-04-25,MERCINS,Price Limit Open,0,0,0,price limit open
28,2017-04-25,MERCINS,Dividend Declaration,0,0,0,dividend declaration
