,PublishDate,Scrip,Title,today,tomorrow,day_after_tomorrow,normalized_headline
0,2019-04-29,METROSPIN,Q3 Financials,0,1,0,q3 financials
2,2019-04-24,METROSPIN,Completion of Share Transmission of late shareholder among successors,0,1,0,completion of share transmission of late shareholder among successors
3,2019-04-24,METROSPIN,Board Meeting schedule under LR 16(1),0,1,0,board meeting schedule under lr 161
5,2019-04-15,METROSPIN,Share Transmission of deceased shareholder among his successors,0,0,0,share transmission of deceased shareholder among his successors
6,2019-02-24,METROSPIN,Buy Confirmations of Directors,0,1,0,buy confirmations of directors
7,2019-02-17,METROSPIN,Buy Declarations of Directors,0,0,0,buy declarations of directors
8,2019-01-29,METROSPIN,Q2 Financials,1,0,0,q2 financials
9,2019-01-23,METROSPIN,Board Meeting schedule under LR 16(1),0,1,0,board meeting schedule under lr 161
10,2019-01-15,METROSPIN,Credit Rating Result,0,0,1,credit rating result
11,2019-01-13,METROSPIN,Dividend Disbursement,0,0,0,dividend disbursement
12,2018-11-29,METROSPIN,Transmission of a Deceased Sponsor Director shares to his successors,0,0,0,transmission of a deceased sponsor director shares to his successors
13,2018-11-29,METROSPIN,Transmission of a Deceased Sponsor Director shares to his successors,0,0,0,transmission of a deceased sponsor director shares to his successors
14,2018-11-25,METROSPIN,Resumption after record date,0,0,0,resumption after record date
15,2018-11-22,METROSPIN,Suspension for Record date,0,0,0,suspension for record date
16,2018-11-19,METROSPIN,Spot News,0,0,0,spot news
17,2018-11-14,METROSPIN,Q1 Financials,0,0,0,q1 financials
18,2018-11-08,METROSPIN,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
19,2018-10-28,METROSPIN,Price Limit Open,0,1,1,price limit open
21,2018-10-28,METROSPIN,Dividend Declaration,0,1,1,dividend declaration
22,2018-10-16,METROSPIN,Board Meeting schedule under LR 19(1),1,0,0,board meeting schedule under lr 191
23,2018-08-14,METROSPIN,Address Change of Registered Office,0,0,0,address change of registered office
24,2018-07-15,METROSPIN,Credit Rating Result,0,0,0,credit rating result
25,2018-05-03,METROSPIN,Buy confirmation of Directors,0,0,0,buy confirmation of directors
26,2018-04-26,METROSPIN,Q3 Financials,1,0,0,q3 financials
27,2018-04-24,METROSPIN,Buy declarations of Directors,1,0,1,buy declarations of directors
28,2018-04-19,METROSPIN,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
29,2018-02-19,METROSPIN,Query Response,0,0,0,query response
30,2018-01-29,METROSPIN,Q2 Financials,0,1,0,q2 financials
31,2018-01-25,METROSPIN,Prohibition on providing loan facilities to purchase securities,0,0,0,prohibition on providing loan facilities to purchase securities
32,2018-01-25,METROSPIN,Category Change,0,0,0,category change
33,2018-01-25,METROSPIN,Dividend Disbursement,0,0,0,dividend disbursement
34,2018-01-23,METROSPIN,Board Meeting schedule under LR 16(1),1,0,0,board meeting schedule under lr 161
35,2017-12-14,METROSPIN,Query Response,1,0,0,query response
36,2017-12-14,METROSPIN,Q1 Financials (Repeat News),1,0,0,q1 financials repeat news
37,2017-11-12,METROSPIN,Q1 Financials,0,1,0,q1 financials
38,2017-11-07,METROSPIN,Board Meeting schedule under LR 16(1),1,0,0,board meeting schedule under lr 161
39,2017-11-06,METROSPIN,Resumption after record date,0,1,0,resumption after record date
40,2017-11-05,METROSPIN,Suspension for Record Date,0,0,1,suspension for record date
41,2017-10-23,METROSPIN,Spot News,0,1,0,spot news
42,2017-10-10,METROSPIN,Price Limit Open,1,1,0,price limit open
44,2017-10-10,METROSPIN,Dividend Declaration,1,1,0,dividend declaration
45,2017-10-03,METROSPIN,Board Meeting schedule under LR 19(1),0,0,0,board meeting schedule under lr 191
46,2017-04-26,METROSPIN,Q3 Financials,0,0,0,q3 financials
47,2017-04-20,METROSPIN,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
48,2017-02-02,METROSPIN,Confirmation of Transmission,1,0,0,confirmation of transmission
49,2017-01-29,METROSPIN,Q2 Financials,0,0,0,q2 financials
50,2017-01-26,METROSPIN,Transmission of Deceased Sponsor/Director shares to his successors,0,0,0,transmission of deceased sponsordirector shares to his successors
51,2017-01-24,METROSPIN,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
52,2016-11-20,METROSPIN,Resumption after record date,0,1,0,resumption after record date
53,2016-11-17,METROSPIN,Suspension for record date,1,0,0,suspension for record date
54,2016-11-14,METROSPIN,Q1 Financials,0,0,0,q1 financials
55,2016-11-09,METROSPIN,Board Meeting,0,0,0,board meeting
56,2016-11-06,METROSPIN,Spot for AGM,0,0,0,spot for agm
57,2016-10-31,METROSPIN,Price Limit Open,0,0,0,price limit open
58,2016-10-31,METROSPIN,Dividend Declaration,0,0,0,dividend declaration
59,2016-10-23,METROSPIN,Board Meeting schedule under LR 19(1),1,0,0,board meeting schedule under lr 191
