,PublishDate,Scrip,Title,today,tomorrow,day_after_tomorrow,normalized_headline
0,2019-04-25,MHSML,Q3 Financials,1,0,0,q3 financials
1,2019-04-21,MHSML,Board Meeting schedule under LR 16(1),0,0,1,board meeting schedule under lr 161
2,2019-03-31,MHSML,Credit Rating Result,0,1,1,credit rating result
3,2019-01-27,MHSML,Q2 Financials,1,0,0,q2 financials
4,2019-01-22,MHSML,Board Meeting schedule under LR 16(1),1,0,1,board meeting schedule under lr 161
5,2019-01-17,MHSML,Dividend Disbursement,1,0,0,dividend disbursement
8,2018-12-03,MHSML,Emphasis of Matter,0,1,1,emphasis of matter
9,2018-11-22,MHSML,Resumption after record date,0,0,0,resumption after record date
10,2018-11-20,MHSML,Suspension for Record date,0,0,0,suspension for record date
11,2018-11-18,MHSML,Spot News,1,0,0,spot news
12,2018-11-14,MHSML,Q1 Financials,0,1,0,q1 financials
13,2018-11-13,MHSML,Board Meeting schedule under LR 16(1),0,0,1,board meeting schedule under lr 161
14,2018-10-28,MHSML,Price Limit Open,1,1,0,price limit open
15,2018-10-28,MHSML,Dividend Declaration,1,1,0,dividend declaration
16,2018-10-18,MHSML,Board Meeting schedule under LR 19(1),0,0,0,board meeting schedule under lr 191
18,2018-05-06,MHSML,BMRE Project (Ring Partial) Shut Down Notice,1,0,0,bmre project ring partial shut down notice
19,2018-04-22,MHSML,Q3 Financials,0,1,0,q3 financials
20,2018-04-16,MHSML,Board Meeting schedule under LR 16(1),1,0,0,board meeting schedule under lr 161
21,2018-02-28,MHSML,Credit Rating Result,1,1,0,credit rating result
22,2018-01-28,MHSML,Q2 Financials,0,1,0,q2 financials
23,2018-01-21,MHSML,Board Meeting schedule under LR 16(1),0,0,1,board meeting schedule under lr 161
24,2018-01-21,MHSML,Dividend Disbursement,0,0,1,dividend disbursement
25,2017-11-22,MHSML,Resumption after record date,0,1,0,resumption after record date
26,2017-11-21,MHSML,Suspension for Record Date,1,0,1,suspension for record date
27,2017-11-19,MHSML,Spot for AGM,1,1,1,spot for agm
28,2017-11-15,MHSML,Q1 Financials,0,1,0,q1 financials
29,2017-11-08,MHSML,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
30,2017-10-29,MHSML,Price Limit Open,0,1,1,price limit open
31,2017-10-29,MHSML,Dividend Declaration,0,1,1,dividend declaration
32,2017-10-17,MHSML,Board Meeting schedule under LR 19(1),1,0,0,board meeting schedule under lr 191
33,2017-04-26,MHSML,Q3 Financials,1,1,0,q3 financials
34,2017-04-23,MHSML,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
35,2017-03-21,MHSML,Sanction of investment for HPSM (Project) by Islami Bank Bangladesh Ltd.,0,0,0,sanction of investment for hpsm project by islami bank bangladesh ltd.
36,2017-02-23,MHSML,Obtain consent from BIDA for Investment of Foreign Currency,0,0,0,obtain consent from bida for investment of foreign currency
37,2017-01-30,MHSML,Dividend Disbursement,1,1,0,dividend disbursement
38,2017-01-25,MHSML,Q2 Financials,0,0,0,q2 financials
39,2017-01-23,MHSML,Reschedule of Board Meeting under LR 16(1),0,0,0,reschedule of board meeting under lr 161
40,2017-01-22,MHSML,Board Meeting schedule under LR 16(1),1,0,0,board meeting schedule under lr 161
41,2017-01-12,MHSML,Query Response,0,0,0,query response
42,2016-12-29,MHSML,Prohibition on providing loan facilities to purchase securities,1,0,0,prohibition on providing loan facilities to purchase securities
43,2016-12-29,MHSML,Category Change,1,0,0,category change
44,2016-12-05,MHSML,Suspension for Record Date,1,0,1,suspension for record date
45,2016-11-29,MHSML,Furnishing 12 digit e-TIN Number & Information relating to Margin Loan,0,0,1,furnishing 12 digit e-tin number  information relating to margin loan
46,2016-11-16,MHSML,Preliminary consent for HPSM (Project) investment from Islami Bank Ltd.,0,0,0,preliminary consent for hpsm project investment from islami bank ltd.
47,2016-11-16,MHSML,Q1 Financials,0,0,0,q1 financials
48,2016-11-16,MHSML,Price Limit Open,0,0,0,price limit open
49,2016-11-16,MHSML,Dividend Declaration,0,0,0,dividend declaration
50,2016-11-09,MHSML,Board Meeting,0,1,0,board meeting
51,2016-10-30,MHSML,Reschedule of Board Meeting,0,1,1,reschedule of board meeting
52,2016-10-23,MHSML,Board Meeting schedule under LR 19(1),1,0,1,board meeting schedule under lr 191
53,2016-09-19,MHSML,Credit Rating Result,1,1,0,credit rating result
54,2016-05-02,MHSML,Q3 Financials,0,1,0,q3 financials
55,2016-05-02,MHSML,Q3 Financials,0,1,0,q3 financials
56,2016-04-26,MHSML,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
57,2016-02-01,MHSML,Q2 Financials,0,1,0,q2 financials
58,2016-01-27,MHSML,Board Meeting,1,0,0,board meeting
59,2015-12-20,MHSML,Changing mode of dividend in the AGM,0,0,1,changing mode of dividend in the agm
60,2015-11-22,MHSML,Resumption News after Record date,0,1,0,resumption news after record date
61,2015-11-19,MHSML,Suspension News for Record Date,1,0,0,suspension news for record date
62,2015-11-17,MHSML,Spot News for AGM,1,0,1,spot news for agm
63,2015-11-10,MHSML,Furnishing 12 digit e-TIN,0,1,1,furnishing 12 digit e-tin
64,2015-11-03,MHSML,Processing of Foreign Loan for expansion of a project,0,0,0,processing of foreign loan for expansion of a project
65,2015-11-02,MHSML,Q1 Financials (Revised),0,0,0,q1 financials revised
66,2015-11-01,MHSML,Q1,1,0,0,q1
67,2015-11-01,MHSML,Price Limit Open,1,0,0,price limit open
68,2015-11-01,MHSML,Dividend Declaration,1,0,0,dividend declaration
69,2015-10-26,MHSML,Board Meeting,0,0,0,board meeting
70,2015-10-21,MHSML,Board Meeting schedule under LR 19(1),0,0,0,board meeting schedule under lr 191
71,2015-10-08,MHSML,Building Establishment,1,0,0,building establishment
72,2015-07-09,MHSML,Credit Rating Result,0,0,0,credit rating result
73,2015-06-24,MHSML,Printing Project Purchase,0,0,0,printing project purchase
74,2015-05-04,MHSML,Q3,0,1,1,q3
75,2015-04-15,MHSML,purchase 2 Rotor Machines,1,0,0,purchase 2 rotor machines
76,2015-02-01,MHSML,Half Yearly Financials,0,1,1,half yearly financials
