,PublishDate,Scrip,Title,today,tomorrow,day_after_tomorrow,normalized_headline
0,2019-04-24,MICEMENT,Board Meeting schedule under LR 16(1),1,1,0,board meeting schedule under lr 161
1,2019-01-29,MICEMENT,Q2 Financials,0,1,1,q2 financials
2,2019-01-22,MICEMENT,Board Meeting schedule under LR 16(1),0,0,1,board meeting schedule under lr 161
3,2019-01-20,MICEMENT,Increase the Production Capacity by installing the 6th Unit,1,0,0,increase the production capacity by installing the 6th unit
4,2019-01-14,MICEMENT,Dividend Disbursement,1,1,0,dividend disbursement
5,2018-12-23,MICEMENT,Credit Rating Result,0,0,0,credit rating result
6,2018-11-13,MICEMENT,Q1 Financials,1,0,1,q1 financials
7,2018-11-12,MICEMENT,Resumption after Record Date,0,1,0,resumption after record date
8,2018-11-11,MICEMENT,Suspension for Record Date,1,0,1,suspension for record date
9,2018-11-07,MICEMENT,Spot News,1,1,0,spot news
10,2018-11-07,MICEMENT,Board Meeting schedule under LR 16(1),1,1,0,board meeting schedule under lr 161
11,2018-10-21,MICEMENT,Price Limit Open,1,0,0,price limit open
12,2018-10-21,MICEMENT,Dividend Declaration,1,0,0,dividend declaration
13,2018-10-14,MICEMENT,Board Meeting schedule under LR 19(1),1,0,1,board meeting schedule under lr 191
14,2018-04-30,MICEMENT,Q3 Financials,0,0,0,q3 financials
15,2018-04-24,MICEMENT,Board Meeting schedule under LR 16(1),0,1,1,board meeting schedule under lr 161
16,2018-01-29,MICEMENT,Q2 Financials,0,1,0,q2 financials
17,2018-01-23,MICEMENT,Board Meeting schedule under LR 16(1),0,0,1,board meeting schedule under lr 161
18,2018-01-14,MICEMENT,Dividend Disbursement,1,0,1,dividend disbursement
19,2018-01-01,MICEMENT,Credit Rating Result,0,0,1,credit rating result
20,2017-11-16,MICEMENT,Resumption after record date,0,0,0,resumption after record date
21,2017-11-15,MICEMENT,Suspension for Record Date,1,0,0,suspension for record date
22,2017-11-13,MICEMENT,Spot News,0,1,1,spot news
23,2017-11-13,MICEMENT,Q1 Financials,0,1,1,q1 financials
24,2017-11-07,MICEMENT,Board Meeting schedule under LR 16(1),1,1,1,board meeting schedule under lr 161
25,2017-10-23,MICEMENT,Price Limit Open,0,1,1,price limit open
26,2017-10-23,MICEMENT,Dividend Declaration,0,1,1,dividend declaration
27,2017-10-15,MICEMENT,Board Meeting schedule under LR 19(1),0,1,1,board meeting schedule under lr 191
28,2017-04-30,MICEMENT,Q3 Financials,0,0,0,q3 financials
29,2017-04-26,MICEMENT,Board Meeting schedule under LR 16(1),0,1,0,board meeting schedule under lr 161
30,2017-04-20,MICEMENT,Address Change of Head Office,1,0,0,address change of head office
31,2017-03-28,MICEMENT,Query Response,1,0,1,query response
32,2017-01-31,MICEMENT,Q2 Financials,0,1,1,q2 financials
33,2017-01-26,MICEMENT,Board Meeting schedule under LR 16(1),1,0,0,board meeting schedule under lr 161
34,2017-01-24,MICEMENT,Vessel Purchase,1,0,1,vessel purchase
35,2017-01-17,MICEMENT,Dividend Disbursement,1,1,1,dividend disbursement
36,2016-12-18,MICEMENT,Credit Rating Result,0,1,1,credit rating result
37,2016-11-17,MICEMENT,Resumption after record date,1,0,0,resumption after record date
38,2016-11-16,MICEMENT,Suspension for Record Date,0,1,0,suspension for record date
39,2016-11-14,MICEMENT,Spot for EGM & AGM,0,1,0,spot for egm  agm
40,2016-11-14,MICEMENT,EGM for insertion of clause,0,1,0,egm for insertion of clause
41,2016-11-14,MICEMENT,Q1 Financials,0,1,0,q1 financials
42,2016-11-08,MICEMENT,Board Meeting,1,1,1,board meeting
43,2016-10-30,MICEMENT,Dividend Declaration,0,1,1,dividend declaration
44,2016-10-19,MICEMENT,Board Meeting,0,1,0,board meeting
45,2016-10-09,MICEMENT,Revaluation of Property,0,0,0,revaluation of property
46,2016-05-02,MICEMENT,Q3 Financials,0,1,0,q3 financials
47,2016-04-24,MICEMENT,Board Meeting schedule under LR 16(1),1,1,1,board meeting schedule under lr 161
48,2016-01-27,MICEMENT,Q2 Financials,0,1,0,q2 financials
49,2016-01-24,MICEMENT,Dividend Disbursement,0,0,0,dividend disbursement
50,2016-01-21,MICEMENT,Board Meeting,0,0,0,board meeting
51,2015-12-07,MICEMENT,Query Response,0,1,0,query response
52,2015-12-06,MICEMENT,Query Response,0,0,1,query response
53,2015-11-17,MICEMENT,Resumption News after Record date,0,1,1,resumption news after record date
54,2015-11-16,MICEMENT,Suspension News,1,0,1,suspension news
55,2015-11-12,MICEMENT,Spot News,1,0,0,spot news
56,2015-11-09,MICEMENT,Board Meeting,0,0,0,board meeting
57,2015-10-28,MICEMENT,Price Limit Open,0,0,0,price limit open
58,2015-10-28,MICEMENT,Dividend Declaration & installation of 5th unit,0,0,0,dividend declaration  installation of 5th unit
59,2015-10-20,MICEMENT,Board Meeting schedule under LR 19(1),0,0,0,board meeting schedule under lr 191
60,2015-09-02,MICEMENT,Mother Vessel Purchase,0,1,0,mother vessel purchase
61,2015-04-29,MICEMENT,Q3 Financials,0,0,0,q3 financials
62,2015-03-05,MICEMENT,Establishment of a fully owned subsidiary,1,0,0,establishment of a fully owned subsidiary
63,2015-01-28,MICEMENT,H/Y,0,0,0,hy
64,2014-12-03,MICEMENT,Credit Rating,0,0,0,credit rating
65,2014-11-17,MICEMENT,Sponsor share Transfer,0,0,0,sponsor share transfer
66,2014-11-13,MICEMENT,will remain suspended,0,0,0,will remain suspended
67,2014-11-12,MICEMENT,will remain suspended,1,0,0,will remain suspended
68,2014-11-11,MICEMENT, Sponsor transfer,1,1,0,sponsor transfer
69,2014-11-10,MICEMENT,Spot Market,1,1,1,spot market
70,2014-11-09,MICEMENT,Q1,1,1,1,q1
71,2014-10-26,MICEMENT,recommended 30% cash dividend,0,0,0,recommended 30 cash dividend
72,2014-10-20,MICEMENT,meeting of the Board of Directors,0,1,1,meeting of the board of directors
73,2014-06-22,MICEMENT,has decided to purchase land,1,1,1,has decided to purchase land
74,2014-05-18,MICEMENT,decided to install two Packing Units,0,0,1,decided to install two packing units
75,2014-05-04,MICEMENT,Q3 Earning,0,0,1,q3 earning
76,2014-01-26,MICEMENT,H/Y Earnings,1,0,0,hy earnings
77,2013-12-03,MICEMENT,Credit Rating,1,0,0,credit rating
78,2013-11-10,MICEMENT,trade resume after record date,0,0,0,trade resume after record date
79,2013-11-10,MICEMENT,Q1 earnings,0,0,0,q1 earnings
80,2013-11-07,MICEMENT,trade suspension on record date,0,0,0,trade suspension on record date
81,2013-11-04,MICEMENT,trade suspension on record date,1,0,0,trade suspension on record date
82,2013-10-27,MICEMENT,Fixed Asset Acquisition,0,0,1,fixed asset acquisition
83,2013-10-27,MICEMENT,No price Limit,0,0,1,no price limit
84,2013-10-27,MICEMENT,Corporate Action,0,0,1,corporate action
85,2013-10-21,MICEMENT,Board Meeting,0,0,1,board meeting
86,2013-04-28,MICEMENT,Q3 earnings,0,0,1,q3 earnings
87,2013-01-29,MICEMENT,H/Y Earnings 2012-13,0,0,1,hy earnings 2012-13
88,2013-01-17,MICEMENT,Dividend,1,0,0,dividend
89,2013-01-16,MICEMENT,Bonus Share,0,1,0,bonus share
90,2012-11-18,MICEMENT,Spot Market trading,0,0,0,spot market trading
91,2012-10-21,MICEMENT,Q1 Earnings,0,1,0,q1 earnings
92,2012-10-21,MICEMENT,corporate declaration,0,1,0,corporate declaration
93,2012-01-31,MICEMENT,- As per un-audited...,0,0,0,as per un-audited
94,2012-01-22,MICEMENT,- The Stock Brokers...,0,0,0,the stock brokers
95,2012-01-22,MICEMENT,- The company will be placed...,0,0,0,the company will be placed
96,2011-12-11,MICEMENT,- Trading of the shares...,0,0,1,trading of the shares
97,2011-12-11,MICEMENT,- The Company has further...,0,0,1,the company has further
98,2011-11-17,MICEMENT,- Normal trading...,0,0,0,normal trading
99,2011-11-16,MICEMENT,- Trading of the shares...,1,0,0,trading of the shares
100,2011-11-13,MICEMENT,- The Company has informed...,0,1,0,the company has informed
101,2011-11-13,MICEMENT,- Trading of the shares...,0,1,0,trading of the shares
102,2011-11-01,MICEMENT,- As per un-audited...,1,1,1,as per un-audited
103,2011-10-23,MICEMENT,- The Board of Directors...,0,0,1,the board of directors
104,2011-10-23,MICEMENT,- There will be no price limit...,0,0,1,there will be no price limit
105,2011-10-17,MICEMENT,- As per regulation...,1,0,1,as per regulation
106,2011-07-01,MICEMENT,- Response,0,0,1,response
