,PublishDate,Scrip,Title,today,tomorrow,day_after_tomorrow,normalized_headline
0,2019-04-25,MIRACLEIND,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
1,2019-01-24,MIRACLEIND,Q2 Financials,1,0,0,q2 financials
2,2019-01-16,MIRACLEIND,Board Meeting schedule under LR 16(1),1,1,0,board meeting schedule under lr 161
3,2019-01-14,MIRACLEIND,Dividend Disbursement,0,1,1,dividend disbursement
4,2018-11-13,MIRACLEIND,Resumption after Record Date,0,1,1,resumption after record date
5,2018-11-12,MIRACLEIND,Suspension for Record Date,0,0,1,suspension for record date
6,2018-11-08,MIRACLEIND,Spot News for EGM & AGM,1,0,0,spot news for egm  agm
7,2018-10-25,MIRACLEIND,Q1 Financials,1,0,0,q1 financials
8,2018-10-25,MIRACLEIND,Price Limit Open,1,0,0,price limit open
11,2018-10-25,MIRACLEIND,"Dividend Declaration, increase Authorized Capital & issue shares",1,0,0,"dividend declaration, increase authorized capital  issue shares"
12,2018-10-17,MIRACLEIND,Board Meeting schedule under LR 16(1),1,0,0,board meeting schedule under lr 161
13,2018-10-17,MIRACLEIND,Board Meeting schedule under LR 19(1),1,0,0,board meeting schedule under lr 191
14,2018-07-12,MIRACLEIND,Query Response,0,0,0,query response
15,2018-05-31,MIRACLEIND,Credit Rating Result,0,0,0,credit rating result
16,2018-05-14,MIRACLEIND,Query Response,0,1,0,query response
17,2018-05-08,MIRACLEIND,Sale confirmation of a Director,1,1,0,sale confirmation of a director
18,2018-04-26,MIRACLEIND,Q3 Financials,0,0,0,q3 financials
19,2018-04-26,MIRACLEIND,Sale Declaration of a Director,0,0,0,sale declaration of a director
20,2018-04-22,MIRACLEIND,Sale Declaration of a Director,0,0,0,sale declaration of a director
21,2018-04-22,MIRACLEIND,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
22,2018-04-12,MIRACLEIND,Sale Confirmation of a Corporate Director,0,0,0,sale confirmation of a corporate director
23,2018-04-10,MIRACLEIND,Sale Confirmations of a Corporate Director,1,0,0,sale confirmations of a corporate director
24,2018-04-08,MIRACLEIND,Sale Declaration of a Corporate Director,1,1,1,sale declaration of a corporate director
25,2018-04-05,MIRACLEIND,Sale Declaration of a Corporate Director,0,0,0,sale declaration of a corporate director
26,2018-04-04,MIRACLEIND,Sale Declaration of a Corporate Director,0,0,0,sale declaration of a corporate director
27,2018-04-03,MIRACLEIND,Sale Declaration of a Corporate Director,1,0,0,sale declaration of a corporate director
28,2018-04-02,MIRACLEIND,Sale Declaration of a Corporate Director,1,1,0,sale declaration of a corporate director
29,2018-04-01,MIRACLEIND,Sale Declaration of a Corporate Director,1,1,1,sale declaration of a corporate director
30,2018-03-29,MIRACLEIND,Sale Declaration of a Corporate Director,1,0,0,sale declaration of a corporate director
31,2018-03-21,MIRACLEIND,Sale Declaration of a Corporate Director,0,0,0,sale declaration of a corporate director
