,PublishDate,Scrip,Title,today,tomorrow,day_after_tomorrow,normalized_headline
0,2019-04-30,MJLBD,Q3 Financials,0,0,0,q3 financials
1,2019-04-24,MJLBD,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
2,2019-01-28,MJLBD,Q2 Financials,1,1,0,q2 financials
3,2019-01-23,MJLBD,Board Meeting schedule under LR 16(1),0,1,0,board meeting schedule under lr 161
4,2018-12-20,MJLBD,Dividend Disbursement,1,0,0,dividend disbursement
5,2018-11-15,MJLBD,Q1 Financials,0,0,0,q1 financials
6,2018-11-12,MJLBD,Reschedule of Board Meeting under LR 16(1),0,0,0,reschedule of board meeting under lr 161
8,2018-11-11,MJLBD,Basis for Qualified Opinion,1,0,0,basis for qualified opinion
9,2018-11-07,MJLBD,Board Meeting schedule under LR 16(1),1,1,0,board meeting schedule under lr 161
10,2018-11-04,MJLBD,Resumption after Record Date,0,0,1,resumption after record date
11,2018-11-01,MJLBD,Suspension for Record Date,1,0,0,suspension for record date
12,2018-10-30,MJLBD,Spot News,1,0,1,spot news
13,2018-10-15,MJLBD,Price Limit Open,1,0,0,price limit open
15,2018-10-15,MJLBD,Dividend Declaration,1,0,0,dividend declaration
16,2018-10-04,MJLBD,Board Meeting schedule under LR 19(1),0,0,0,board meeting schedule under lr 191
17,2018-06-24,MJLBD,Land Purchase,1,0,0,land purchase
18,2018-04-30,MJLBD,Q3 Financials,0,0,0,q3 financials
19,2018-04-24,MJLBD,Board Meeting schedule under LR 16(1),0,0,1,board meeting schedule under lr 161
20,2018-04-09,MJLBD,Decision to invest additional amount in Omera Petroleum Limited,1,0,0,decision to invest additional amount in omera petroleum limited
21,2018-02-18,MJLBD,Approval for Land Purchase,0,0,0,approval for land purchase
22,2018-01-31,MJLBD,Q2 Financials,0,1,0,q2 financials
23,2018-01-28,MJLBD,Dividend Disbursement,0,1,1,dividend disbursement
24,2018-01-25,MJLBD,Board Meeting schedule under LR 16(1),1,0,0,board meeting schedule under lr 161
25,2018-01-23,MJLBD,Basis for Qualified Opinion,1,1,1,basis for qualified opinion
26,2018-01-23,MJLBD,Basis for Qualified Opinion,1,1,1,basis for qualified opinion
27,2017-11-23,MJLBD,Resumption after record date,0,0,0,resumption after record date
28,2017-11-22,MJLBD,Suspension for Record Date,1,0,0,suspension for record date
29,2017-11-20,MJLBD,Spot News,1,0,1,spot news
30,2017-11-14,MJLBD,Q1 Financials,0,1,0,q1 financials
