,PublishDate,Scrip,Title,today,tomorrow,day_after_tomorrow,normalized_headline
0,2019-04-30,MPETROLEUM,Q3 Financials,0,0,0,q3 financials
1,2019-04-23,MPETROLEUM,Board Meeting schedule under LR 16(1),0,1,1,board meeting schedule under lr 161
2,2019-02-26,MPETROLEUM,Agreement with BP Middle East LLC to market Castrol brand lubricants,1,1,0,agreement with bp middle east llc to market castrol brand lubricants
3,2019-02-10,MPETROLEUM,Dividend Disbursement,0,0,1,dividend disbursement
4,2019-01-30,MPETROLEUM,Q2 Financials,0,0,0,q2 financials
5,2019-01-23,MPETROLEUM,Reschedule of Board Meeting under LR 16(1),0,0,0,reschedule of board meeting under lr 161
6,2019-01-21,MPETROLEUM,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
8,2018-12-03,MPETROLEUM,Basis for Qualified Opinion,1,0,1,basis for qualified opinion
9,2018-12-02,MPETROLEUM,Resumption after record date,0,1,0,resumption after record date
10,2018-11-29,MPETROLEUM,Suspension for Record date,1,0,0,suspension for record date
11,2018-11-27,MPETROLEUM,Spot News for EGM & AGM,1,0,1,spot news for egm  agm
12,2018-11-08,MPETROLEUM,Agenda for holding EGM,0,0,0,agenda for holding egm
13,2018-11-08,MPETROLEUM,Q1 Financials,0,0,0,q1 financials
14,2018-11-08,MPETROLEUM,Price Limit Open,0,0,0,price limit open
16,2018-11-08,MPETROLEUM,Dividend Declaration,0,0,0,dividend declaration
17,2018-11-01,MPETROLEUM,Board Meeting schedule under LR 16(1),1,0,0,board meeting schedule under lr 161
18,2018-10-28,MPETROLEUM,Board Meeting schedule under LR 19(1),1,0,1,board meeting schedule under lr 191
19,2018-04-23,MPETROLEUM,Q3 Financials,1,1,0,q3 financials
20,2018-04-16,MPETROLEUM,Board Meeting schedule under LR 16(1),0,1,1,board meeting schedule under lr 161
21,2018-02-22,MPETROLEUM,Dividend Disbursement,1,0,0,dividend disbursement
23,2018-02-11,MPETROLEUM,Basis for Qualified Opinion,0,0,1,basis for qualified opinion
24,2018-01-30,MPETROLEUM,Q2 Financials,0,0,1,q2 financials
25,2018-01-23,MPETROLEUM,Board Meeting schedule under LR 16(1),1,1,0,board meeting schedule under lr 161
26,2017-11-30,MPETROLEUM,Resumption after record date,0,0,0,resumption after record date
27,2017-11-29,MPETROLEUM,Suspension for Record Date,0,0,0,suspension for record date
28,2017-11-27,MPETROLEUM,Spot News,1,0,0,spot news
29,2017-11-09,MPETROLEUM,Q1 Financials,0,0,0,q1 financials
30,2017-11-09,MPETROLEUM,Price Limit Open,0,0,0,price limit open
31,2017-11-09,MPETROLEUM,Dividend Declaration,0,0,0,dividend declaration
32,2017-11-05,MPETROLEUM,the 'Meghna Bhaban',1,1,0,the 'meghna bhaban'
33,2017-11-01,MPETROLEUM,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
34,2017-10-30,MPETROLEUM,Board Meeting schedule under LR 19(1),0,1,0,board meeting schedule under lr 191
35,2017-05-02,MPETROLEUM,Q3 Financials,0,1,1,q3 financials
36,2017-04-26,MPETROLEUM,Revised Board Meeting schedule under LR 16(1),0,0,0,revised board meeting schedule under lr 161
37,2017-04-25,MPETROLEUM,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
38,2017-04-03,MPETROLEUM,Dividend Disbursement,1,1,1,dividend disbursement
39,2017-01-31,MPETROLEUM,Q2 Financials,0,1,0,q2 financials
40,2017-01-23,MPETROLEUM,Reschedule of Board Meeting schedule under LR 16(1),0,0,0,reschedule of board meeting schedule under lr 161
41,2017-01-23,MPETROLEUM,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
42,2016-12-27,MPETROLEUM,Basis for Qualified Opinion,1,1,0,basis for qualified opinion
43,2016-12-22,MPETROLEUM,Resumption after record,0,0,0,resumption after record
44,2016-12-21,MPETROLEUM,Suspension for Record Date,0,0,0,suspension for record date
45,2016-12-19,MPETROLEUM,Spot for AGM,0,0,0,spot for agm
46,2016-11-13,MPETROLEUM,Q1 Financials,0,0,1,q1 financials
47,2016-11-13,MPETROLEUM,Price Limit Open,0,0,1,price limit open
48,2016-11-13,MPETROLEUM,Dividend Declaration,0,0,1,dividend declaration
49,2016-11-13,MPETROLEUM,Q1 Financials,0,0,1,q1 financials
