,PublishDate,Scrip,Title,today,tomorrow,day_after_tomorrow,normalized_headline
0,2019-04-30,MTB,Price Limit Open,1,0,0,price limit open
2,2019-04-30,MTB,Dividend Declaration,1,0,0,dividend declaration
3,2019-04-21,MTB,Board Meeting schedule under LR 19(1),0,0,0,board meeting schedule under lr 191
4,2018-10-31,MTB,Declaration of share receipt by a Sponsor Director,0,1,0,declaration of share receipt by a sponsor director
5,2018-10-31,MTB,Q3 Financials,0,1,0,q3 financials
6,2018-10-30,MTB,Declaration of share receipt by a Sponsor Director,1,0,1,declaration of share receipt by a sponsor director
7,2018-10-29,MTB,Buy confirmation of a Director,1,1,0,buy confirmation of a director
8,2018-10-25,MTB,Declaration of share receipt by a Sponsor Director,1,0,0,declaration of share receipt by a sponsor director
9,2018-10-23,MTB,Buy confirmation of a Sponsor Director,0,0,1,buy confirmation of a sponsor director
10,2018-10-21,MTB,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
11,2018-10-21,MTB,Buy Confirmation of a Director,0,0,0,buy confirmation of a director
12,2018-10-21,MTB,Buy declaration of a Director,0,0,0,buy declaration of a director
13,2018-10-18,MTB,Buy confirmation of a Sponsor Director,0,0,0,buy confirmation of a sponsor director
14,2018-10-18,MTB,Buy confirmation of a Sponsor Director,0,0,0,buy confirmation of a sponsor director
15,2018-10-18,MTB,Buy declaration of a Sponsor Director,0,0,0,buy declaration of a sponsor director
16,2018-10-18,MTB,Declaration of share receipt by a Director,0,0,0,declaration of share receipt by a director
17,2018-10-16,MTB,Buy confirmation of a Sponsor Director,0,0,0,buy confirmation of a sponsor director
18,2018-10-15,MTB,Buy confirmation of a Director,0,0,0,buy confirmation of a director
19,2018-10-15,MTB,Buy declaration of a Sponsor Director,0,0,0,buy declaration of a sponsor director
20,2018-10-15,MTB,Buy declaration of a Director,0,0,0,buy declaration of a director
21,2018-10-11,MTB,Buy declaration of a Sponsor Director,1,0,0,buy declaration of a sponsor director
22,2018-10-10,MTB,Resumption after Record Date,0,1,0,resumption after record date
23,2018-10-09,MTB,Suspension for Record Date,0,0,1,suspension for record date
24,2018-10-08,MTB,Buy confirmation of a Director,0,0,0,buy confirmation of a director
25,2018-10-08,MTB,Buy declaration of a Director,0,0,0,buy declaration of a director
26,2018-10-07,MTB,Spot News for EGM,1,0,0,spot news for egm
27,2018-10-03,MTB,Buy declaration of a Sponsor Director,1,1,0,buy declaration of a sponsor director
28,2018-10-02,MTB,Buy confirmation of a Sponsor Director,1,1,1,buy confirmation of a sponsor director
29,2018-10-02,MTB,Buy confirmation of a Sponsor Director,1,1,1,buy confirmation of a sponsor director
30,2018-10-02,MTB,Buy declaration of a Sponsor Director,1,1,1,buy declaration of a sponsor director
31,2018-10-02,MTB,Buy confirmation of a Sponsor Director,1,1,1,buy confirmation of a sponsor director
32,2018-10-02,MTB,Buy declaration of a Sponsor Director,1,1,1,buy declaration of a sponsor director
33,2018-09-27,MTB,Buy declaration of a Director,0,0,0,buy declaration of a director
34,2018-09-25,MTB,Buy declaration of a Sponsor Director,1,1,0,buy declaration of a sponsor director
37,2018-09-20,MTB,Issuance of fresh equity and changes in Articles of Association,1,0,0,issuance of fresh equity and changes in articles of association
38,2018-09-13,MTB,Buy Confirmation of a Director,0,0,0,buy confirmation of a director
39,2018-09-03,MTB,Buy Declaration of a Director,1,0,0,buy declaration of a director
40,2018-08-30,MTB,Buy Confirmation of a Sponsor Director,1,0,0,buy confirmation of a sponsor director
41,2018-08-28,MTB,Buy Confirmation of a Sponsor Director,1,0,1,buy confirmation of a sponsor director
42,2018-08-20,MTB,Buy declaration of a Sponsor Director,1,0,0,buy declaration of a sponsor director
43,2018-08-14,MTB,Buy Declaration of a Sponsor Director,0,0,0,buy declaration of a sponsor director
44,2018-08-07,MTB,Buy Confirmation of a Sponsor Director,1,1,0,buy confirmation of a sponsor director
45,2018-08-05,MTB,Buy Declaration of a Sponsor Director,1,1,1,buy declaration of a sponsor director
46,2018-08-01,MTB,Buy confirmation of a Sponsor Director,1,1,0,buy confirmation of a sponsor director
47,2018-07-26,MTB,Buy confirmation of a Corporate Director,0,0,0,buy confirmation of a corporate director
49,2018-07-26,MTB,Q2 Financials,0,0,0,q2 financials
50,2018-07-19,MTB,Buy declaration of a Sponsor Director,0,0,0,buy declaration of a sponsor director
51,2018-07-19,MTB,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
52,2018-07-08,MTB,Buy declaration of a Corporate Director,1,1,1,buy declaration of a corporate director
53,2018-06-24,MTB,Buy confirmation of a Sponsor Director,0,1,1,buy confirmation of a sponsor director
54,2018-06-19,MTB,Buy confirmation of a Sponsor Director,0,1,0,buy confirmation of a sponsor director
