,PublishDate,Scrip,Title,today,tomorrow,day_after_tomorrow,normalized_headline
0,2019-04-28,NAHEEACP,Q3 Financials,1,0,0,q3 financials
1,2019-04-18,NAHEEACP,Board Meeting schedule under LR 16(1),1,0,0,board meeting schedule under lr 161
2,2019-01-30,NAHEEACP,Q2 Financials,0,0,0,q2 financials
3,2019-01-24,NAHEEACP,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
5,2019-01-14,NAHEEACP,Import capital machineries to manufacture Aluminum False Ceiling,0,0,0,import capital machineries to manufacture aluminum false ceiling
6,2019-01-13,NAHEEACP,Dividend Disbursement,1,0,0,dividend disbursement
7,2018-11-20,NAHEEACP,Resumption after record date,0,0,0,resumption after record date
8,2018-11-19,NAHEEACP,Suspension for Record date,1,0,0,suspension for record date
9,2018-11-15,NAHEEACP,Spot News,1,0,0,spot news
10,2018-11-11,NAHEEACP,Q1 Financials,0,0,1,q1 financials
11,2018-11-06,NAHEEACP,Board Meeting schedule under LR 16(1),1,1,0,board meeting schedule under lr 161
12,2018-10-28,NAHEEACP,Price Limit Open,1,1,1,price limit open
14,2018-10-28,NAHEEACP,Dividend Declaration,1,1,1,dividend declaration
15,2018-10-18,NAHEEACP,Board Meeting schedule under LR 19(1),0,0,0,board meeting schedule under lr 191
16,2018-09-06,NAHEEACP,Query Response,1,0,0,query response
17,2018-09-05,NAHEEACP,Appointment of Chairman and Managing Director,0,1,0,appointment of chairman and managing director
18,2018-06-05,NAHEEACP,Credit Rating Result,0,0,1,credit rating result
19,2018-04-30,NAHEEACP,Q3 Financials,0,0,0,q3 financials
20,2018-04-22,NAHEEACP,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
21,2018-03-05,NAHEEACP,Decision to Purchase Land,1,1,1,decision to purchase land
22,2018-02-28,NAHEEACP,Purchased of 28.50 decimal project land,1,1,0,purchased of 28.50 decimal project land
23,2018-02-07,NAHEEACP,Prohibition on providing loan facilities to purchase securities,0,0,0,prohibition on providing loan facilities to purchase securities
24,2018-02-07,NAHEEACP,Category Change,0,0,0,category change
25,2018-02-07,NAHEEACP,Dividend Disbursement,0,0,0,dividend disbursement
26,2018-01-30,NAHEEACP,Q2 Financials,0,0,0,q2 financials
27,2018-01-24,NAHEEACP,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
28,2018-01-14,NAHEEACP,Dividend Disbursement,0,1,0,dividend disbursement
30,2017-12-24,NAHEEACP,Q1 Unaudited Financials,0,0,0,q1 unaudited financials
32,2017-12-24,NAHEEACP,Dividend Declaration,0,0,0,dividend declaration
33,2017-12-24,NAHEEACP,Prohibition on providing loan facilities to purchase securities,0,0,0,prohibition on providing loan facilities to purchase securities
34,2017-12-24,NAHEEACP,Trading of New Security,0,0,0,trading of new security
