,PublishDate,Scrip,Title,today,tomorrow,day_after_tomorrow,normalized_headline
0,2019-04-30,NAVANACNG,Q3 Financials,1,0,0,q3 financials
1,2019-04-24,NAVANACNG,Board Meeting schedule under LR 16(1),1,1,0,board meeting schedule under lr 161
3,2019-01-31,NAVANACNG,Q2 Financials,1,0,0,q2 financials
4,2019-01-24,NAVANACNG,Board Meeting schedule under LR 16(1),1,0,0,board meeting schedule under lr 161
5,2019-01-16,NAVANACNG,Dividend Disbursement,1,0,0,dividend disbursement
6,2019-01-16,NAVANACNG,Appointment of  the Chief Executive Officer,1,0,0,appointment of  the chief executive officer
7,2018-11-20,NAVANACNG,Resumption after record date,0,0,1,resumption after record date
8,2018-11-19,NAVANACNG,Suspension for Record date,0,0,0,suspension for record date
9,2018-11-15,NAVANACNG,Spot News,0,0,0,spot news
10,2018-11-15,NAVANACNG,Q1 Financials,0,0,0,q1 financials
11,2018-11-08,NAVANACNG,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
12,2018-10-29,NAVANACNG,Price Limit Open,1,0,0,price limit open
14,2018-10-29,NAVANACNG,Dividend Declaration,1,0,0,dividend declaration
15,2018-10-18,NAVANACNG,Board Meeting schedule under LR 19(1),0,0,0,board meeting schedule under lr 191
16,2018-06-27,NAVANACNG,Credit Rating Result,0,0,0,credit rating result
17,2018-04-30,NAVANACNG,Q3 Financials,1,0,0,q3 financials
18,2018-04-23,NAVANACNG,Board Meeting schedule under LR 16(1),0,1,1,board meeting schedule under lr 161
19,2018-01-31,NAVANACNG,Q2 Financials,0,0,0,q2 financials
20,2018-01-24,NAVANACNG,Board Meeting schedule under LR 16(1),1,0,0,board meeting schedule under lr 161
21,2018-01-18,NAVANACNG,Dividend Disbursement,0,0,0,dividend disbursement
22,2017-11-19,NAVANACNG,Commencement of Commercial Production of the Subsidiary Company,1,0,1,commencement of commercial production of the subsidiary company
23,2017-11-15,NAVANACNG,Q1 Financials,0,0,0,q1 financials
