,PublishDate,Scrip,Title,today,tomorrow,day_after_tomorrow,normalized_headline
0,2019-04-28,NBL,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
1,2019-04-24,NBL,Board Meeting schedule under LR 19(1),1,1,0,board meeting schedule under lr 191
2,2018-12-12,NBL,Board Decision to Sell Floor Space,0,0,0,board decision to sell floor space
3,2018-12-12,NBL,Board Decision to Sell Floor Space,0,0,0,board decision to sell floor space
4,2018-10-31,NBL,Q3 Financials,0,0,0,q3 financials
5,2018-10-25,NBL,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
6,2018-07-26,NBL,Q2 Financials,0,0,0,q2 financials
7,2018-07-19,NBL,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
8,2018-07-08,NBL,Sale & Buy confirmation of Sponsor Director,1,0,1,sale  buy confirmation of sponsor director
9,2018-07-05,NBL,Dividend Disbursement,0,0,0,dividend disbursement
10,2018-06-27,NBL,Buy & Sale Declarations of Sponsor Director,0,0,0,buy  sale declarations of sponsor director
11,2018-06-10,NBL,AGM Date Change,0,0,0,agm date change
12,2018-06-10,NBL,Credit Rating Result,0,0,0,credit rating result
13,2018-05-24,NBL,Resumption after record date,0,0,0,resumption after record date
14,2018-05-23,NBL,Suspension for Record Date,0,0,0,suspension for record date
15,2018-05-21,NBL,Spot News,1,0,0,spot news
16,2018-05-16,NBL,Q1 Financials,0,0,0,q1 financials
17,2018-05-10,NBL,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
18,2018-05-03,NBL,Price Limit Open,0,0,0,price limit open
20,2018-05-03,NBL,Dividend Declaration,0,0,0,dividend declaration
21,2018-04-30,NBL,Reschedule of Board Meeting under LR 19(1),0,0,0,reschedule of board meeting under lr 191
22,2018-04-23,NBL,Board Meeting schedule under LR 19(1),0,0,1,board meeting schedule under lr 191
23,2018-01-29,NBL,Withdrawal of Authorized Representative,1,0,0,withdrawal of authorized representative
24,2017-11-01,NBL,Q3 Financials,1,0,0,q3 financials
25,2017-10-26,NBL,Reschedule of Board Meeting under LR 16(1),0,0,0,reschedule of board meeting under lr 161
26,2017-10-23,NBL,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
27,2017-09-19,NBL,Query Response,1,0,1,query response
28,2017-09-04,NBL,Floor Space Purchase,0,1,0,floor space purchase
29,2017-08-27,NBL,Dividend Disbursement,1,1,1,dividend disbursement
30,2017-08-13,NBL,Consent accorded from BSEC for issuance of Subordinated Bond,0,0,0,consent accorded from bsec for issuance of subordinated bond
31,2017-08-01,NBL,Q2 Financials,0,1,0,q2 financials
32,2017-07-25,NBL,Board Meeting schedule under LR 16(1),0,1,1,board meeting schedule under lr 161
33,2017-07-11,NBL,Change of AGM date,0,0,1,change of agm date
34,2017-06-12,NBL,Credit Rating Result,0,1,0,credit rating result
35,2017-06-05,NBL,Resumption after Record Date,0,0,0,resumption after record date
36,2017-06-04,NBL,Suspension for Record Date,0,0,0,suspension for record date
37,2017-05-31,NBL,Spot News,1,0,0,spot news
38,2017-05-16,NBL,Q1 Financials,0,0,0,q1 financials
39,2017-05-09,NBL,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
40,2017-05-02,NBL,Price Limit Open,1,0,0,price limit open
42,2017-05-02,NBL,Dividend Declaration,1,0,0,dividend declaration
43,2017-04-24,NBL,Board Meeting schedule under LR 19(1),1,1,1,board meeting schedule under lr 191
44,2016-11-07,NBL,Issuance of Subordinated Bond,0,0,0,issuance of subordinated bond
45,2016-10-30,NBL,Q3 Financials,0,0,1,q3 financials
46,2016-10-23,NBL,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
47,2016-10-17,NBL,Purchase of Flats,0,1,1,purchase of flats
48,2016-08-24,NBL,Floor Purchase,0,0,0,floor purchase
49,2016-07-28,NBL,Q2 Financials,1,0,0,q2 financials
50,2016-07-25,NBL,Dividend Disbursement,0,0,1,dividend disbursement
51,2016-07-21,NBL,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
52,2016-06-19,NBL,Credit Rating Result,0,0,0,credit rating result
53,2016-05-30,NBL,Suspension news for record date,0,0,0,suspension news for record date
54,2016-05-26,NBL,Spot News for EGM and AGM,1,0,0,spot news for egm and agm
55,2016-05-12,NBL,Q1,0,0,0,q1
56,2016-05-09,NBL,Board Meeting,0,0,0,board meeting
57,2016-05-02,NBL,Floor Space Purchase,0,1,0,floor space purchase
58,2016-05-02,NBL,Price Limit Open,0,1,0,price limit open
59,2016-05-02,NBL,Dividend Declaration & Increase of Authorized,0,1,0,dividend declaration  increase of authorized
60,2016-04-21,NBL,Board Meeting,0,0,0,board meeting
61,2016-03-28,NBL,Appointment of Managing Director,0,0,0,appointment of managing director
62,2015-10-28,NBL,Q3 Financials,0,0,0,q3 financials
63,2015-10-21,NBL,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
64,2015-09-22,NBL,Dividend Disbursement,0,0,0,dividend disbursement
65,2015-09-22,NBL,Floor space Purchase,0,0,0,floor space purchase
66,2015-08-30,NBL,Resumption News after Record Date,0,0,0,resumption news after record date
67,2015-08-27,NBL,Suspension News for Record Date,0,0,0,suspension news for record date
68,2015-08-25,NBL,Spot News for AGM,1,0,0,spot news for agm
69,2015-07-29,NBL,Q2 Financials,0,0,0,q2 financials
70,2015-06-21,NBL,Credit Rating result,0,1,1,credit rating result
71,2015-06-07,NBL,Confirmation of sale by Independent Director,0,0,0,confirmation of sale by independent director
72,2015-05-27,NBL,Confirmation of SponsorÂs sale declaration,0,0,0,confirmation of sponsors sale declaration
73,2015-05-24,NBL,Declaration of sale by Independent Director,0,1,0,declaration of sale by independent director
74,2015-05-24,NBL,Declaration of sale by Sponsor,0,1,0,declaration of sale by sponsor
75,2015-05-17,NBL,Q1 Financials,0,1,1,q1 financials
76,2015-05-17,NBL,Sell of Floor space,0,1,1,sell of floor space
77,2015-05-17,NBL,Price Limit Open,0,1,1,price limit open
78,2015-05-17,NBL,Dividend Declaration,0,1,1,dividend declaration
79,2015-05-11,NBL,Board Meeting schedule under LR 30,1,1,0,board meeting schedule under lr 30
80,2015-04-30,NBL,purchase a floor space,0,0,0,purchase a floor space
81,2015-04-30,NBL,Postponement of Board Meeting schedule under LR 30,0,0,0,postponement of board meeting schedule under lr 30
82,2015-04-26,NBL,Board Meeting,0,0,0,board meeting
83,2015-01-01,NBL,appointed Managing Director,0,0,0,appointed managing director
84,2014-11-02,NBL,Q3 earnings,0,0,0,q3 earnings
85,2014-08-03,NBL,H/Y Earnings,1,0,1,hy earnings
86,2014-06-24,NBL,credited the bonus shares,1,0,0,credited the bonus shares
87,2014-06-24,NBL,placed in A category,1,0,0,placed in a category
88,2014-05-26,NBL,Credit Rating,0,1,0,credit rating
89,2014-05-25,NBL,Emphasis of Matter,0,0,1,emphasis of matter
90,2014-05-11,NBL,Q1 Earning,0,0,0,q1 earning
91,2014-05-08,NBL,trade resume,0,0,0,trade resume
92,2014-05-07,NBL,trade suspended,0,0,0,trade suspended
93,2014-05-05,NBL,Spot Market and Block/Odd lot transactions,0,0,0,spot market and blockodd lot transactions
94,2014-04-27,NBL,no price limit,0,1,0,no price limit
95,2014-04-27,NBL,10% Stock Dividend,0,1,0,10 stock dividend
96,2014-04-24,NBL,Board Meeting,1,0,0,board meeting
97,2014-03-10,NBL,new managing Director,0,0,0,new managing director
98,2014-03-09,NBL,purchased floor space,0,0,0,purchased floor space
99,2013-10-31,NBL,Q3 Earnings,0,0,0,q3 earnings
100,2013-09-16,NBL,Sponsors Share sell,1,0,1,sponsors share sell
101,2013-09-11,NBL,Sponsors Share Sell,0,0,0,sponsors share sell
102,2013-08-21,NBL,Sponsors Share Buy,0,0,0,sponsors share buy
103,2013-08-18,NBL,Sponsors Share Buy,1,0,0,sponsors share buy
104,2013-07-31,NBL,Q2 Earnings,0,0,0,q2 earnings
105,2013-07-30,NBL,Sponsors Share Buy,1,0,0,sponsors share buy
106,2013-07-25,NBL,Sponsors Share Sell,0,0,0,sponsors share sell
107,2013-07-24,NBL,Sponsors Share Sell,0,0,0,sponsors share sell
108,2013-07-18,NBL,Sponsors Share Buy,0,0,0,sponsors share buy
109,2013-07-08,NBL,Credited Cash Dividend,0,0,1,credited cash dividend
110,2013-06-09,NBL,Market Category Change,0,0,0,market category change
111,2013-06-02,NBL,AGM,0,0,0,agm
112,2013-05-28,NBL,Completion of Share Transfer,0,1,0,completion of share transfer
113,2013-05-15,NBL,Credit Rating,1,0,0,credit rating
114,2013-05-14,NBL,Q1 Earnings,0,1,0,q1 earnings
115,2013-05-13,NBL,trade suspension,0,0,1,trade suspension
116,2013-05-09,NBL,Sponsor/Director Share transfer,0,0,0,sponsordirector share transfer
117,2013-05-08,NBL,Spot Market Trading,0,0,0,spot market trading
118,2013-04-30,NBL,Corporate Declaration,1,0,1,corporate declaration
119,2013-04-29,NBL,Board Meeting,0,1,0,board meeting
120,2012-10-31,NBL,Q3 Earnings 2012,0,0,0,q3 earnings 2012
121,2012-10-30,NBL,Director share transfer announcement,0,0,0,director share transfer announcement
122,2012-10-03,NBL,Director share transfer announcement,0,0,0,director share transfer announcement
123,2012-09-27,NBL,director share transfer announcement,0,0,0,director share transfer announcement
124,2012-06-12,NBL,- Mr. Habib Ullah...,0,0,0,mr. habib ullah
125,2012-05-28,NBL,- Mrs. Monowara Sikder...,0,0,0,mrs. monowara sikder
126,2012-05-28,NBL,- Mr. Ron Haque Sikder...,0,0,0,mr. ron haque sikder
127,2012-05-21,NBL,- Mr. Ron Haque Sikder..,0,0,0,mr. ron haque sikder..
128,2012-05-21,NBL,- Mrs. Monowara Sikder...,0,0,0,mrs. monowara sikder
129,2012-05-21,NBL,- Mr. Rick Haque Sikder...,0,0,0,mr. rick haque sikder
130,2012-05-14,NBL,- Mr. Abdul Awal Mintoo...,0,1,0,mr. abdul awal mintoo
131,2012-05-10,NBL,- Mr. Habib Ullah...,1,0,0,mr. habib ullah
132,2012-04-22,NBL,- As per un-audited quarterly accounts ...,0,0,0,as per un-audited quarterly accounts
133,2012-03-29,NBL,- The Company has informed...,0,0,0,the company has informed
134,2012-03-20,NBL,- Mr. Salim Rahman...,1,0,1,mr. salim rahman
135,2011-08-01,NBL,- Mr. Habibullah...,0,0,1,mr. habibullah
137,2011-07-28,NBL,- (H/Y): As per un-audited...,0,0,0,hy: as per un-audited
138,2011-07-14,NBL,- Mr. Habibullah...,1,0,0,mr. habibullah
139,2011-07-03,NBL,- The Bank has informed...,1,0,1,the bank has informed
