,PublishDate,Scrip,Title,today,tomorrow,day_after_tomorrow,normalized_headline
0,2019-04-21,NCCBANK,Board Meeting schedule under LR 19(1),0,0,1,board meeting schedule under lr 191
1,2019-03-05,NCCBANK,Board Decision to issue Non-Convertible Subordinated Bond,1,1,0,board decision to issue non-convertible subordinated bond
2,2018-10-31,NCCBANK,Buy Confirmation of a Sponsor Director,1,0,0,buy confirmation of a sponsor director
3,2018-10-31,NCCBANK,Q3 Financials,1,0,0,q3 financials
4,2018-10-30,NCCBANK,Confirmation of share transfer by a Sponsor,0,1,0,confirmation of share transfer by a sponsor
5,2018-10-30,NCCBANK,Resumption after Record Date,0,1,0,resumption after record date
6,2018-10-29,NCCBANK,Suspension for Record Date,1,0,1,suspension for record date
7,2018-10-25,NCCBANK,Spot for EGM,0,0,0,spot for egm
8,2018-10-23,NCCBANK,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
9,2018-10-23,NCCBANK,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
10,2018-10-21,NCCBANK,Declaration of share transfer by a Sponsor,0,0,0,declaration of share transfer by a sponsor
11,2018-10-16,NCCBANK,Decision to purchase Floor Spaces along with Land,1,1,1,decision to purchase floor spaces along with land
12,2018-10-14,NCCBANK,Buy Declaration of a Sponsor Director,1,1,1,buy declaration of a sponsor director
13,2018-10-10,NCCBANK,Sale confirmation of a Sponsor,0,0,0,sale confirmation of a sponsor
14,2018-10-09,NCCBANK,Shares received by a Sponsor Director by way of Nomination,0,0,0,shares received by a sponsor director by way of nomination
15,2018-10-07,NCCBANK,Increase Authorize Capital,0,0,0,increase authorize capital
16,2018-09-26,NCCBANK,Buy Confirmation of a Sponsor Director,1,0,0,buy confirmation of a sponsor director
17,2018-09-06,NCCBANK,Cash Dividend Disbursement,1,0,0,cash dividend disbursement
18,2018-09-06,NCCBANK,Sale Declaration of a Sponsor,1,0,0,sale declaration of a sponsor
19,2018-09-05,NCCBANK,Buy Declaration of a Sponsor Director,1,1,0,buy declaration of a sponsor director
20,2018-07-30,NCCBANK,Q2 Financials,1,0,1,q2 financials
21,2018-07-29,NCCBANK,Reschedule of Board Meeting under LR 16(1),1,1,0,reschedule of board meeting under lr 161
22,2018-07-24,NCCBANK,Board Meeting schedule under LR 16(1),0,0,1,board meeting schedule under lr 161
23,2018-06-21,NCCBANK,Credit Rating Result,0,0,0,credit rating result
