,PublishDate,Scrip,Title,today,tomorrow,day_after_tomorrow,normalized_headline
0,2019-04-28,NCCBLMF1,Weekly NAV,0,0,0,weekly nav
1,2019-04-24,NCCBLMF1,Q1 Financials,0,0,0,q1 financials
2,2019-04-21,NCCBLMF1,Weekly NAV,0,0,0,weekly nav
3,2019-04-17,NCCBLMF1,Trustee Committee Meeting schedule under LR 16(1),0,0,0,trustee committee meeting schedule under lr 161
4,2019-04-15,NCCBLMF1,Weekly NAV,0,0,0,weekly nav
5,2019-04-07,NCCBLMF1,Weekly NAV,0,0,0,weekly nav
6,2019-04-03,NCCBLMF1,Dividend Disbursement,0,0,0,dividend disbursement
7,2019-03-31,NCCBLMF1,Weekly NAV,0,1,0,weekly nav
8,2019-03-24,NCCBLMF1,Weekly NAV,0,0,0,weekly nav
9,2019-03-18,NCCBLMF1,Weekly NAV,0,0,0,weekly nav
10,2019-03-10,NCCBLMF1,Weekly NAV,1,1,0,weekly nav
12,2019-03-07,NCCBLMF1,Furnishing e-TIN Number and Information relating to Margin Loan,0,0,0,furnishing e-tin number and information relating to margin loan
13,2019-03-07,NCCBLMF1,Resumption after record date,0,0,0,resumption after record date
14,2019-03-06,NCCBLMF1,Suspension for Record date,0,0,0,suspension for record date
15,2019-03-04,NCCBLMF1,Spot News,0,0,0,spot news
16,2019-03-03,NCCBLMF1,Weekly NAV,0,0,0,weekly nav
17,2019-02-24,NCCBLMF1,Weekly NAV,0,0,0,weekly nav
18,2019-02-17,NCCBLMF1,Weekly NAV,1,0,0,weekly nav
19,2019-02-13,NCCBLMF1,Price Limit Open,0,0,0,price limit open
20,2019-02-13,NCCBLMF1,Dividend Declaration,0,0,0,dividend declaration
21,2019-02-10,NCCBLMF1,Weekly NAV,0,1,1,weekly nav
22,2019-02-06,NCCBLMF1,Trustee Committee Meeting schedule under LR 19(1),0,0,0,trustee committee meeting schedule under lr 191
23,2019-02-03,NCCBLMF1,Weekly NAV,0,0,0,weekly nav
24,2019-01-27,NCCBLMF1,Weekly NAV,0,0,0,weekly nav
25,2019-01-20,NCCBLMF1,Weekly NAV,1,0,1,weekly nav
26,2019-01-13,NCCBLMF1,Weekly NAV,0,0,1,weekly nav
27,2019-01-06,NCCBLMF1,Weekly NAV,1,0,1,weekly nav
28,2019-01-01,NCCBLMF1,Weekly NAV,0,1,1,weekly nav
29,2018-12-23,NCCBLMF1,Weekly NAV,0,1,0,weekly nav
30,2018-12-17,NCCBLMF1,Weekly NAV,1,0,0,weekly nav
31,2018-12-09,NCCBLMF1,Weekly NAV,0,0,0,weekly nav
32,2018-12-02,NCCBLMF1,Weekly NAV,0,0,0,weekly nav
33,2018-11-25,NCCBLMF1,Weekly NAV,0,0,0,weekly nav
34,2018-11-18,NCCBLMF1,Weekly NAV,0,0,0,weekly nav
35,2018-11-11,NCCBLMF1,Weekly NAV,0,1,0,weekly nav
36,2018-11-04,NCCBLMF1,Weekly NAV,0,1,0,weekly nav
37,2018-10-28,NCCBLMF1,Weekly NAV,0,0,0,weekly nav
38,2018-10-22,NCCBLMF1,Q3 Financials,0,1,1,q3 financials
39,2018-10-21,NCCBLMF1,Weekly NAV,0,0,1,weekly nav
40,2018-10-14,NCCBLMF1,Trustee Committee Meeting schedule under LR 16(1),0,0,0,trustee committee meeting schedule under lr 161
41,2018-10-14,NCCBLMF1,Weekly NAV,0,0,0,weekly nav
42,2018-10-07,NCCBLMF1,Weekly NAV,0,0,0,weekly nav
43,2018-09-30,NCCBLMF1,Weekly NAV,0,0,0,weekly nav
44,2018-09-23,NCCBLMF1,Weekly NAV,0,0,0,weekly nav
45,2018-09-16,NCCBLMF1,Weekly NAV,0,1,0,weekly nav
46,2018-09-09,NCCBLMF1,Weekly NAV,0,0,0,weekly nav
47,2018-09-03,NCCBLMF1,Weekly NAV,0,0,0,weekly nav
48,2018-08-26,NCCBLMF1,Weekly NAV,0,0,0,weekly nav
49,2018-08-19,NCCBLMF1,Weekly NAV,1,0,0,weekly nav
50,2018-08-12,NCCBLMF1,Weekly NAV,1,0,0,weekly nav
51,2018-08-05,NCCBLMF1,Weekly NAV,0,0,0,weekly nav
52,2018-07-29,NCCBLMF1,Weekly NAV,0,0,0,weekly nav
53,2018-07-22,NCCBLMF1,Weekly NAV,0,0,0,weekly nav
54,2018-07-17,NCCBLMF1,Q2 Financials,0,0,0,q2 financials
55,2018-07-15,NCCBLMF1,Weekly NAV,0,0,0,weekly nav
56,2018-07-12,NCCBLMF1,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
57,2018-07-08,NCCBLMF1,Weekly NAV,0,0,0,weekly nav
58,2018-07-02,NCCBLMF1,Weekly NAV,0,1,0,weekly nav
59,2018-06-24,NCCBLMF1,Weekly NAV,0,0,0,weekly nav
60,2018-06-18,NCCBLMF1,Weekly NAV,0,0,1,weekly nav
61,2018-06-10,NCCBLMF1,Weekly NAV,1,1,0,weekly nav
62,2018-06-03,NCCBLMF1,Weekly NAV,0,0,0,weekly nav
63,2018-05-27,NCCBLMF1,Weekly NAV,0,0,0,weekly nav
64,2018-05-20,NCCBLMF1,Weekly NAV,0,0,0,weekly nav
65,2018-05-13,NCCBLMF1,Weekly NAV,0,0,0,weekly nav
66,2018-05-06,NCCBLMF1,Weekly NAV,0,1,0,weekly nav
67,2018-04-30,NCCBLMF1,Weekly NAV,0,0,0,weekly nav
68,2018-04-22,NCCBLMF1,Weekly NAV,0,1,0,weekly nav
69,2018-04-18,NCCBLMF1,Q1 Financials,0,1,0,q1 financials
70,2018-04-15,NCCBLMF1,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
71,2018-04-15,NCCBLMF1,Weekly NAV,0,0,0,weekly nav
