,PublishDate,Scrip,Title,today,tomorrow,day_after_tomorrow,normalized_headline
0,2019-04-09,NHFIL,Resumption after record date,0,0,0,resumption after record date
1,2019-04-08,NHFIL,Suspension for Record Date,0,0,0,suspension for record date
2,2019-04-04,NHFIL,Spot News,0,0,0,spot news
3,2019-03-19,NHFIL,Updating e-TIN information,1,0,0,updating e-tin information
4,2019-03-19,NHFIL,Price Limit Open,1,0,0,price limit open
5,2019-03-19,NHFIL,Dividend Declaration,1,0,0,dividend declaration
6,2019-03-10,NHFIL,Board Meeting schedule under LR 19(1),1,0,0,board meeting schedule under lr 191
7,2018-10-28,NHFIL,Q3 Financials,1,0,1,q3 financials
8,2018-10-22,NHFIL,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
9,2018-09-26,NHFIL,Buy Confirmation of a Corporate Sponsor Director,0,0,0,buy confirmation of a corporate sponsor director
10,2018-09-24,NHFIL,Sale Confirmation of a Former Director,0,0,0,sale confirmation of a former director
11,2018-09-10,NHFIL,Sale Declaration of a Director,0,1,0,sale declaration of a director
12,2018-09-05,NHFIL,Query Response,0,0,0,query response
13,2018-08-27,NHFIL,Buy declaration of a Corporate Sponsor Director,1,1,1,buy declaration of a corporate sponsor director
14,2018-08-05,NHFIL,Query Response,0,1,0,query response
15,2018-07-29,NHFIL,Credit Rating Result,0,1,1,credit rating result
16,2018-07-19,NHFIL,Q2 Financials,1,0,0,q2 financials
17,2018-07-15,NHFIL,Board Meeting schedule under LR 16(1),0,0,1,board meeting schedule under lr 161
18,2018-06-04,NHFIL,Dividend Disbursement,0,0,0,dividend disbursement
19,2018-05-03,NHFIL,Q1 Financials,1,0,0,q1 financials
20,2018-04-25,NHFIL,Board Meeting schedule under LR 16(1),1,1,0,board meeting schedule under lr 161
21,2018-04-09,NHFIL,Resumption after record date,0,0,0,resumption after record date
22,2018-04-08,NHFIL,Suspension for Record Date,1,0,0,suspension for record date
23,2018-04-04,NHFIL,Spot News,0,1,0,spot news
24,2018-03-19,NHFIL,Updating e-TIN information,0,0,0,updating e-tin information
25,2018-03-19,NHFIL,Price Limit Open,0,0,0,price limit open
26,2018-03-19,NHFIL,Dividend Declaration,0,0,0,dividend declaration
27,2018-03-11,NHFIL,Board Meeting schedule under LR 19(1),0,0,0,board meeting schedule under lr 191
28,2017-10-30,NHFIL,Q3 Financials,1,0,1,q3 financials
29,2017-10-24,NHFIL,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
30,2017-10-04,NHFIL,Sale confirmation of a Corporate Sponsor Director,0,0,0,sale confirmation of a corporate sponsor director
