,PublishDate,Scrip,Title,today,tomorrow,day_after_tomorrow,normalized_headline
0,2019-04-28,NITOLINS,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
1,2019-03-06,NITOLINS,Change of AGM Date,1,1,0,change of agm date
2,2019-02-20,NITOLINS,Resumption after record date,0,0,0,resumption after record date
3,2019-02-19,NITOLINS,Suspension for Record date,0,0,0,suspension for record date
4,2019-02-17,NITOLINS,Spot News,0,0,0,spot news
5,2019-01-29,NITOLINS,Price Limit Open,1,0,1,price limit open
6,2019-01-29,NITOLINS,Dividend Declaration,1,0,1,dividend declaration
7,2019-01-17,NITOLINS,Board Meeting schedule under LR 19(1),0,0,0,board meeting schedule under lr 191
8,2018-10-30,NITOLINS,Q3 Financials,0,0,0,q3 financials
9,2018-10-22,NITOLINS,Board Meeting schedule under LR 16(1),1,1,0,board meeting schedule under lr 161
10,2018-10-03,NITOLINS,Credit Rating Result,0,0,0,credit rating result
11,2018-07-29,NITOLINS,Q2 Financials,0,0,1,q2 financials
12,2018-07-22,NITOLINS,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
13,2018-05-31,NITOLINS,Dividend Disbursement,0,0,0,dividend disbursement
14,2018-05-09,NITOLINS,Q1 Financials,1,0,0,q1 financials
15,2018-04-19,NITOLINS,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
16,2018-03-29,NITOLINS,Resumption after record date,0,0,0,resumption after record date
17,2018-03-28,NITOLINS,Suspension for Record Date,1,0,0,suspension for record date
18,2018-03-25,NITOLINS,Spot News,1,0,0,spot news
19,2018-03-07,NITOLINS,Price Limit Open,0,0,0,price limit open
20,2018-03-07,NITOLINS,Dividend Declaration,0,0,0,dividend declaration
21,2018-02-25,NITOLINS,Board Meeting schedule under LR 19(1),1,0,0,board meeting schedule under lr 191
22,2017-12-11,NITOLINS,Change of Office Address,0,1,0,change of office address
23,2017-10-30,NITOLINS,Q3 Financials,0,0,0,q3 financials
24,2017-10-25,NITOLINS,Credit Rating Result,0,0,0,credit rating result
25,2017-10-22,NITOLINS,Board Meeting schedule under LR 16(1),0,1,0,board meeting schedule under lr 161
26,2017-07-27,NITOLINS,Q2 Financials,0,0,0,q2 financials
27,2017-07-20,NITOLINS,Board Meeting schedule under LR 16(1),1,0,0,board meeting schedule under lr 161
