,PublishDate,Scrip,Title,today,tomorrow,day_after_tomorrow,normalized_headline
1,2019-04-17,NORTHERN,Q3 Financials,0,0,0,q3 financials
2,2019-04-10,NORTHERN,Board Meeting schedule under LR 16(1),0,1,0,board meeting schedule under lr 161
3,2019-03-24,NORTHERN,Query Response,1,1,0,query response
4,2019-01-17,NORTHERN,Q2 Financials,0,0,0,q2 financials
5,2019-01-08,NORTHERN,Board Meeting schedule under LR 16(1),0,1,1,board meeting schedule under lr 161
6,2019-01-07,NORTHERN,Query Response,0,0,1,query response
7,2018-12-05,NORTHERN,Query Response,1,1,0,query response
8,2018-12-05,NORTHERN,Query Response,1,1,0,query response
9,2018-11-22,NORTHERN,Enquiry Committee Formation for investigation as per BSEC Order,0,0,0,enquiry committee formation for investigation as per bsec order
10,2018-11-13,NORTHERN,Query Response,1,0,0,query response
11,2018-10-28,NORTHERN,Q1 Financials,1,0,0,q1 financials
12,2018-10-23,NORTHERN,Board Meeting schedule under LR 16(1),1,1,1,board meeting schedule under lr 161
13,2018-10-14,NORTHERN,Resumption after Record Date,0,1,1,resumption after record date
14,2018-10-11,NORTHERN,Suspension for Record Date,0,0,0,suspension for record date
15,2018-10-07,NORTHERN,Query Response,1,1,0,query response
16,2018-09-30,NORTHERN,Spot News,1,1,1,spot news
17,2018-09-24,NORTHERN,Prohibition on providing loan facilities to purchase securities,1,1,1,prohibition on providing loan facilities to purchase securities
18,2018-09-24,NORTHERN,Category Change,1,1,1,category change
19,2018-09-24,NORTHERN,Price Limit Open,1,1,1,price limit open
20,2018-09-24,NORTHERN,Dividend Declaration,1,1,1,dividend declaration
21,2018-09-13,NORTHERN,Board Meeting schedule under LR 19(1),1,0,0,board meeting schedule under lr 191
22,2018-09-05,NORTHERN,Query Response,1,0,0,query response
23,2018-09-04,NORTHERN,Q3 Financials (Repeat News),1,1,0,q3 financials repeat news
24,2018-07-02,NORTHERN,Query Response,0,0,0,query response
25,2018-04-17,NORTHERN,Query Response,1,1,0,query response
26,2018-04-17,NORTHERN,Q3 Financials,1,1,0,q3 financials
27,2018-04-10,NORTHERN,Board Meeting schedule under LR 16(1),0,1,1,board meeting schedule under lr 161
28,2018-02-08,NORTHERN,Resignation of IDB from the Board of the Company,1,0,0,resignation of idb from the board of the company
29,2018-01-30,NORTHERN,Q2 Financials,0,0,1,q2 financials
30,2018-01-23,NORTHERN,Board Meeting schedule under LR 16(1),1,0,0,board meeting schedule under lr 161
32,2017-12-28,NORTHERN,Voluntary resignation of IDB from the Board of the Company,1,0,0,voluntary resignation of idb from the board of the company
33,2017-11-27,NORTHERN,Prohibition on providing loan facilities to purchase securities,1,1,0,prohibition on providing loan facilities to purchase securities
34,2017-11-27,NORTHERN,Category Change,1,1,0,category change
35,2017-11-23,NORTHERN,Cash Dividend Disbursement,0,0,0,cash dividend disbursement
36,2017-11-23,NORTHERN,Query Response,0,0,0,query response
37,2017-11-22,NORTHERN,Q1 Financials (Repeat News),1,0,0,q1 financials repeat news
38,2017-11-13,NORTHERN,Q1 Financials,1,1,1,q1 financials
39,2017-11-06,NORTHERN,Board Meeting schedule under LR 16(1),0,1,0,board meeting schedule under lr 161
40,2017-10-26,NORTHERN,Stock Dividend Disbursement,0,0,0,stock dividend disbursement
41,2017-10-12,NORTHERN,Sale declaration of a Sponsor,0,0,0,sale declaration of a sponsor
42,2017-09-28,NORTHERN,Resumption after Record Date,0,0,0,resumption after record date
43,2017-09-27,NORTHERN,Suspension for Record Date,0,0,0,suspension for record date
44,2017-09-25,NORTHERN,Spot news,0,0,0,spot news
45,2017-09-11,NORTHERN,Price Limit Open,1,0,0,price limit open
46,2017-09-11,NORTHERN,Dividend Declaration,1,0,0,dividend declaration
47,2017-08-24,NORTHERN,Board Meeting schedule under LR 19(1),1,0,0,board meeting schedule under lr 191
48,2017-08-08,NORTHERN,Query Response,0,1,0,query response
49,2017-05-15,NORTHERN,Query Response,1,1,1,query response
50,2017-04-26,NORTHERN,Q3 Financials,0,0,0,q3 financials
51,2017-04-23,NORTHERN,Board Meeting schedule under LR 16(1),0,1,0,board meeting schedule under lr 161
52,2017-01-24,NORTHERN,Q2 Financials,1,1,1,q2 financials
53,2017-01-18,NORTHERN,Board Meeting,0,1,0,board meeting
54,2016-12-18,NORTHERN,Prohibition on providing loan,0,0,0,prohibition on providing loan
55,2016-12-18,NORTHERN,Category Change,0,0,0,category change
56,2016-11-16,NORTHERN,Resumption after record date,0,1,0,resumption after record date
57,2016-11-15,NORTHERN,Suspension for record date,1,0,1,suspension for record date
58,2016-11-13,NORTHERN,Spot for AGM,0,0,1,spot for agm
59,2016-11-09,NORTHERN,Board Meeting,0,0,0,board meeting
60,2016-10-30,NORTHERN,Price Limit Open,1,0,1,price limit open
61,2016-10-30,NORTHERN,Dividend Declaration,1,0,1,dividend declaration
62,2016-10-19,NORTHERN,Board Meeting,1,0,0,board meeting
63,2016-07-20,NORTHERN,Query Response,1,1,0,query response
64,2016-04-27,NORTHERN,Q3 Financials,0,1,0,q3 financials
65,2016-04-21,NORTHERN,Board Meeting (Q3),1,0,0,board meeting q3
66,2016-01-26,NORTHERN,Q2,0,1,0,q2
67,2016-01-20,NORTHERN,Board Meeting,0,1,0,board meeting
68,2016-01-10,NORTHERN,Cash Dividend Disbursement,1,0,0,cash dividend disbursement
69,2015-12-03,NORTHERN,Information for Margin Account Holders,1,0,0,information for margin account holders
70,2015-11-15,NORTHERN,Resumption News,0,0,0,resumption news
71,2015-11-12,NORTHERN,Suspension News,0,0,0,suspension news
72,2015-11-11,NORTHERN,Q1 Financials,0,0,0,q1 financials
73,2015-11-10,NORTHERN,Spot News,1,0,0,spot news
74,2015-11-08,NORTHERN,Board Meeting,0,1,1,board meeting
75,2015-10-26,NORTHERN,Price Limit Open,0,0,0,price limit open
76,2015-10-26,NORTHERN,Dividend Declaration,0,0,0,dividend declaration
77,2015-10-18,NORTHERN,Board Meeting schedule under LR 19(1),0,1,0,board meeting schedule under lr 191
78,2015-09-22,NORTHERN,Â Machineries Purchase,1,0,0,machineries purchase
