,PublishDate,Scrip,Title,today,tomorrow,day_after_tomorrow,normalized_headline
0,2019-04-28,NORTHRNINS,Q1 Financials,0,1,0,q1 financials
1,2019-04-28,NORTHRNINS,Price Limit Open,0,1,0,price limit open
2,2019-04-28,NORTHRNINS,Dividend Declaration,0,1,0,dividend declaration
3,2019-04-21,NORTHRNINS,Board Meeting schedule under LR 19(1),1,0,0,board meeting schedule under lr 191
4,2019-04-21,NORTHRNINS,Board Meeting schedule under LR 16(1),1,0,0,board meeting schedule under lr 161
5,2019-01-09,NORTHRNINS,Query Response,1,1,0,query response
6,2018-10-03,NORTHRNINS,Q3 Financials,0,0,0,q3 financials
7,2018-09-27,NORTHRNINS,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
8,2018-09-16,NORTHRNINS,Buy Confirmation of a Public Shareholder Director,0,0,1,buy confirmation of a public shareholder director
9,2018-09-04,NORTHRNINS,Buy Declaration of a Public Shareholder Director,0,0,0,buy declaration of a public shareholder director
10,2018-08-01,NORTHRNINS,Q2 Financials,1,1,0,q2 financials
11,2018-07-25,NORTHRNINS,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
12,2018-07-23,NORTHRNINS,Dividend Disbursement,0,0,0,dividend disbursement
13,2018-05-23,NORTHRNINS,Resumption after record date,0,1,0,resumption after record date
14,2018-05-22,NORTHRNINS,Suspension for Record Date,0,0,1,suspension for record date
15,2018-05-22,NORTHRNINS,Credit Rating Result,0,0,1,credit rating result
16,2018-05-20,NORTHRNINS,Spot News,1,1,0,spot news
17,2018-05-03,NORTHRNINS,Q1 Financials,0,0,0,q1 financials
18,2018-05-03,NORTHRNINS,Price Limit Open,0,0,0,price limit open
19,2018-05-03,NORTHRNINS,Dividend Declaration,0,0,0,dividend declaration
20,2018-04-24,NORTHRNINS,Board Meeting schedule under LR 16(1),0,0,1,board meeting schedule under lr 161
21,2018-04-19,NORTHRNINS,Reschedule of Board Meeting under LR 19(1),0,0,0,reschedule of board meeting under lr 191
22,2018-04-17,NORTHRNINS,Board Meeting schedule under LR 19(1),1,0,0,board meeting schedule under lr 191
23,2017-10-09,NORTHRNINS,Q3 Financials,0,1,1,q3 financials
24,2017-10-03,NORTHRNINS,Board Meeting schedule under LR 16(1),0,1,1,board meeting schedule under lr 161
25,2017-07-26,NORTHRNINS,Q2 Financials,0,0,0,q2 financials
26,2017-07-20,NORTHRNINS,Board Meeting schedule under LR 16(1),1,0,0,board meeting schedule under lr 161
27,2017-07-13,NORTHRNINS,Dividend Disbursement,0,0,0,dividend disbursement
28,2017-06-11,NORTHRNINS,Buy confirmation of a Public Director,1,0,0,buy confirmation of a public director
29,2017-05-29,NORTHRNINS,Credit Rating Result,1,1,0,credit rating result
30,2017-05-18,NORTHRNINS,Resumption after Record Date,0,0,0,resumption after record date
31,2017-05-17,NORTHRNINS,Suspension for Record Date,0,0,0,suspension for record date
32,2017-05-15,NORTHRNINS,Spot News,0,0,0,spot news
33,2017-05-08,NORTHRNINS,Buy Declaration of a Public Director,0,1,0,buy declaration of a public director
34,2017-04-26,NORTHRNINS,Q1 Financials,0,1,0,q1 financials
35,2017-04-26,NORTHRNINS,Price Limit Open,0,1,0,price limit open
36,2017-04-26,NORTHRNINS,Dividend Declaration,0,1,0,dividend declaration
37,2017-04-19,NORTHRNINS,Board Meeting schedule under LR 19(1),1,1,0,board meeting schedule under lr 191
38,2017-04-19,NORTHRNINS,Board Meeting schedule under LR 16(1),1,1,0,board meeting schedule under lr 161
39,2016-11-27,NORTHRNINS,Assumed the office of CEO,0,0,1,assumed the office of ceo
40,2016-10-09,NORTHRNINS,Q3,0,0,0,q3
