,PublishDate,Scrip,Title,today,tomorrow,day_after_tomorrow,normalized_headline
0,2019-04-28,NPOLYMAR,Q3 Financials,1,0,1,q3 financials
1,2019-04-21,NPOLYMAR,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
2,2019-02-04,NPOLYMAR,Credit Rating Result,0,0,0,credit rating result
3,2019-01-29,NPOLYMAR,Q2 Financials,1,0,0,q2 financials
4,2019-01-23,NPOLYMAR,Board Meeting schedule under LR 16(1),0,1,0,board meeting schedule under lr 161
5,2019-01-09,NPOLYMAR,Dividend Disbursement,0,0,0,dividend disbursement
6,2018-11-15,NPOLYMAR,Resumption after Record Date,0,0,0,resumption after record date
7,2018-11-14,NPOLYMAR,Suspension for Record Date,0,0,0,suspension for record date
8,2018-11-14,NPOLYMAR,Q1 Financials,0,0,0,q1 financials
9,2018-11-12,NPOLYMAR,Spot News,0,1,0,spot news
10,2018-11-08,NPOLYMAR,Board Meeting schedule under LR 16(1),1,0,0,board meeting schedule under lr 161
11,2018-10-28,NPOLYMAR,Price Limit Open,1,1,1,price limit open
12,2018-10-28,NPOLYMAR,Dividend Declaration,1,1,1,dividend declaration
13,2018-10-17,NPOLYMAR,Board Meeting schedule under LR 19(1),0,0,0,board meeting schedule under lr 191
14,2018-07-23,NPOLYMAR,Query Response,0,0,0,query response
15,2018-04-26,NPOLYMAR,Q3 Financials,1,0,0,q3 financials
16,2018-04-22,NPOLYMAR,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
17,2018-01-28,NPOLYMAR,Q2 Financials,0,0,0,q2 financials
18,2018-01-23,NPOLYMAR,Board Meeting schedule under LR 16(1),0,0,1,board meeting schedule under lr 161
19,2018-01-16,NPOLYMAR,Dividend Disbursement,0,0,1,dividend disbursement
20,2018-01-09,NPOLYMAR,Credit Rating Result,0,0,1,credit rating result
21,2017-11-16,NPOLYMAR,Resumption after record date,0,0,0,resumption after record date
22,2017-11-15,NPOLYMAR,Suspension for Record Date,1,0,0,suspension for record date
23,2017-11-13,NPOLYMAR,Spot News,0,1,1,spot news
24,2017-11-12,NPOLYMAR,Q1 Financials,1,0,1,q1 financials
25,2017-11-07,NPOLYMAR,Board Meeting schedule under LR 16(1),0,1,0,board meeting schedule under lr 161
26,2017-10-29,NPOLYMAR,Price Limit Open,0,0,0,price limit open
27,2017-10-29,NPOLYMAR,Dividend Declaration,0,0,0,dividend declaration
28,2017-10-19,NPOLYMAR,Board Meeting schedule under LR 19(1),0,0,0,board meeting schedule under lr 191
29,2017-04-26,NPOLYMAR,Q3 Financials,1,0,0,q3 financials
30,2017-04-19,NPOLYMAR,Board Meeting schedule under LR 16(1),1,1,0,board meeting schedule under lr 161
31,2017-03-12,NPOLYMAR,Expansion of production capacity of existing project,0,1,0,expansion of production capacity of existing project
32,2017-01-18,NPOLYMAR,Imposing Fine on National Polymer Industries Ltd. and a Sponsor,1,1,0,imposing fine on national polymer industries ltd. and a sponsor
33,2017-01-17,NPOLYMAR,Board Meeting,1,1,1,board meeting
34,2017-01-15,NPOLYMAR,Credit Rating Result,1,0,1,credit rating result
35,2017-01-01,NPOLYMAR,Dividend Disbursement,1,1,0,dividend disbursement
36,2016-11-17,NPOLYMAR,Resumption after record date,1,0,0,resumption after record date
37,2016-11-16,NPOLYMAR,Suspension for record date,1,1,0,suspension for record date
38,2016-11-14,NPOLYMAR,spot,0,0,1,spot
39,2016-11-13,NPOLYMAR,Q1 Financials,0,0,0,q1 financials
40,2016-11-13,NPOLYMAR,Q1 Financials,0,0,0,q1 financials
41,2016-11-08,NPOLYMAR,Board Meeting,0,1,1,board meeting
42,2016-10-30,NPOLYMAR,Price Limit Open,0,0,1,price limit open
43,2016-10-30,NPOLYMAR,Dividend Declaration,0,0,1,dividend declaration
44,2016-10-20,NPOLYMAR,Board Meeting,0,0,0,board meeting
45,2016-08-17,NPOLYMAR,Address Change of Registered Office,0,0,0,address change of registered office
46,2016-08-01,NPOLYMAR,Address Change,0,0,0,address change
