,PublishDate,Scrip,Title,today,tomorrow,day_after_tomorrow,normalized_headline
0,2019-04-28,NTC,Q3 Financials,1,1,1,q3 financials
1,2019-04-21,NTC,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
2,2019-01-31,NTC,Q2 Financials,0,0,0,q2 financials
3,2019-01-29,NTC,Cash Dividend Disbursement,1,1,0,cash dividend disbursement
4,2019-01-24,NTC,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
5,2018-11-27,NTC,Query Response,0,1,0,query response
6,2018-11-13,NTC,Q1 Financials,0,0,0,q1 financials
7,2018-11-12,NTC,Resumption after Record Date,0,0,0,resumption after record date
8,2018-11-11,NTC,Suspension for Record Date,0,0,0,suspension for record date
9,2018-11-07,NTC,Spot News,0,1,0,spot news
10,2018-11-05,NTC,Board Meeting schedule under LR 16(1),1,1,0,board meeting schedule under lr 161
11,2018-10-14,NTC,Price Limit Open,0,1,1,price limit open
12,2018-10-14,NTC,Dividend Declaration,0,1,1,dividend declaration
13,2018-10-02,NTC,Board Meeting schedule under LR 19(1),0,0,1,board meeting schedule under lr 191
14,2018-04-22,NTC,Q3 Financials,0,0,0,q3 financials
15,2018-04-15,NTC,Board Meeting schedule under LR 16(1),0,1,0,board meeting schedule under lr 161
16,2018-01-28,NTC,Dividend Disbursement,0,0,0,dividend disbursement
17,2018-01-25,NTC,Q2 Financials,1,0,0,q2 financials
18,2018-01-17,NTC,Board Meeting schedule under LR 16(1),0,1,0,board meeting schedule under lr 161
19,2017-11-19,NTC,Resumption after record date,0,1,0,resumption after record date
20,2017-11-16,NTC,Suspension for Record Date,0,0,0,suspension for record date
21,2017-11-14,NTC,Spot News,1,1,0,spot news
22,2017-11-12,NTC,Q1 Financials,0,0,1,q1 financials
23,2017-11-05,NTC,Board Meeting schedule under LR 16(1),1,1,1,board meeting schedule under lr 161
24,2017-10-29,NTC,Price Limit Open,0,1,0,price limit open
26,2017-10-29,NTC,Dividend Declaration,0,1,0,dividend declaration
27,2017-10-19,NTC,Board Meeting schedule under LR 19(1),1,0,0,board meeting schedule under lr 191
28,2017-06-21,NTC,Q3 Financials,0,1,0,q3 financials
29,2017-06-21,NTC,Q2 Financials,0,1,0,q2 financials
