,PublishDate,Scrip,Title,today,tomorrow,day_after_tomorrow,normalized_headline
0,2019-04-30,NTLTUBES,Q3 Financials,0,0,0,q3 financials
1,2019-04-23,NTLTUBES,Board Meeting schedule under LR 16(1),0,1,0,board meeting schedule under lr 161
2,2019-01-29,NTLTUBES,Q2 Financials,0,0,1,q2 financials
3,2019-01-24,NTLTUBES,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
4,2019-01-08,NTLTUBES,Dividend Disbursement,1,0,0,dividend disbursement
5,2018-11-29,NTLTUBES,Resumption after record date,0,0,0,resumption after record date
6,2018-11-28,NTLTUBES,Suspension for Record date,0,0,0,suspension for record date
7,2018-11-26,NTLTUBES,Spot News,0,0,0,spot news
8,2018-11-11,NTLTUBES,Q1 Financials,0,0,1,q1 financials
9,2018-11-11,NTLTUBES,Price Limit Open,0,0,1,price limit open
10,2018-11-11,NTLTUBES,Dividend Declaration,0,0,1,dividend declaration
11,2018-11-01,NTLTUBES,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
12,2018-11-01,NTLTUBES,Board Meeting schedule under LR 19(1),0,0,0,board meeting schedule under lr 191
13,2018-05-03,NTLTUBES,Q3 Financials,1,0,0,q3 financials
14,2018-04-25,NTLTUBES,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
15,2018-01-30,NTLTUBES,Q2 Financials,0,0,1,q2 financials
16,2018-01-24,NTLTUBES,Board Meeting schedule under LR 16(1),1,0,0,board meeting schedule under lr 161
17,2018-01-08,NTLTUBES,Dividend Disbursement,0,1,1,dividend disbursement
18,2017-11-27,NTLTUBES,Decision for establishing Galvanizing Plant,0,0,0,decision for establishing galvanizing plant
19,2017-11-27,NTLTUBES,Resumption after record date,0,0,0,resumption after record date
20,2017-11-27,NTLTUBES,Decision for establishing Galvanizing Plant,0,0,0,decision for establishing galvanizing plant
21,2017-11-26,NTLTUBES,Suspension for Record Date,1,0,0,suspension for record date
22,2017-11-22,NTLTUBES,Spot News,0,0,0,spot news
23,2017-11-08,NTLTUBES,Q1 Financials,1,0,0,q1 financials
24,2017-11-08,NTLTUBES,Price Limit Open,1,0,0,price limit open
