,PublishDate,Scrip,Title,today,tomorrow,day_after_tomorrow,normalized_headline
0,2019-04-29,NURANI,Q3 Financials,0,1,0,q3 financials
1,2019-04-23,NURANI,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
2,2019-03-28,NURANI,Sale Confirmation of a Sponsor Director,1,0,0,sale confirmation of a sponsor director
3,2019-03-14,NURANI,Sale Confirmation,0,0,0,sale confirmation
4,2019-03-14,NURANI,Sale Confirmation of a Corporate Director,0,0,0,sale confirmation of a corporate director
5,2019-03-14,NURANI,Sale Confirmations of Sponsor Director,0,0,0,sale confirmations of sponsor director
6,2019-03-11,NURANI,Sale Declarations of Sponsors Directors,0,0,0,sale declarations of sponsors directors
7,2019-03-11,NURANI,Sale Declaration of a Corporate Director,0,0,0,sale declaration of a corporate director
8,2019-03-11,NURANI,Sale Declaration of a Sponsor Director,0,0,0,sale declaration of a sponsor director
9,2019-03-10,NURANI,Sale Intimation,0,0,0,sale intimation
10,2019-01-30,NURANI,Q2 Financials,0,0,0,q2 financials
11,2019-01-29,NURANI,Dividend Disbursement,1,0,0,dividend disbursement
12,2019-01-24,NURANI,Board Meeting schedule under LR 16(1),1,0,0,board meeting schedule under lr 161
14,2018-11-19,NURANI,Information regarding Margin Loan,0,0,0,information regarding margin loan
15,2018-11-18,NURANI,Q1 Financials,1,0,0,q1 financials
16,2018-11-15,NURANI,Resumption after Record Date,0,0,0,resumption after record date
17,2018-11-14,NURANI,Suspension for Record Date,0,0,0,suspension for record date
18,2018-11-12,NURANI,Spot News for EGM & AGM,0,0,0,spot news for egm  agm
20,2018-11-11,NURANI,Updating Information,0,0,0,updating information
21,2018-11-11,NURANI,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
22,2018-10-28,NURANI,Price Limit Open,1,1,0,price limit open
24,2018-10-28,NURANI,Dividend Declaration & increase of Authorized Capital,1,1,0,dividend declaration  increase of authorized capital
25,2018-10-16,NURANI,Board Meeting schedule under LR 16(1),1,0,0,board meeting schedule under lr 161
26,2018-10-08,NURANI,Query Response,0,0,1,query response
27,2018-04-30,NURANI,Q3 Financials,0,0,0,q3 financials
28,2018-04-22,NURANI,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
29,2018-01-30,NURANI,Q2 Financials,1,0,0,q2 financials
30,2018-01-22,NURANI,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
31,2018-01-11,NURANI,Prohibition on providing loan facilities to purchase securities,1,0,0,prohibition on providing loan facilities to purchase securities
32,2018-01-11,NURANI,Category Change,1,0,0,category change
33,2018-01-11,NURANI,Dividend Disbursement,1,0,0,dividend disbursement
34,2017-11-16,NURANI,Resumption after record date,0,0,0,resumption after record date
35,2017-11-15,NURANI,Suspension for Record Date,1,0,0,suspension for record date
36,2017-11-15,NURANI,Q1 Financials (Revised EPS),1,0,0,q1 financials revised eps
37,2017-11-14,NURANI,Q1 Financials,0,1,0,q1 financials
38,2017-11-13,NURANI,Spot News,0,0,1,spot news
39,2017-11-12,NURANI,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
40,2017-10-29,NURANI,Price Limit Open,0,1,1,price limit open
41,2017-10-29,NURANI,Dividend Declaration,0,1,1,dividend declaration
42,2017-10-18,NURANI,Board Meeting schedule under LR 19(1),0,0,0,board meeting schedule under lr 191
43,2017-08-08,NURANI,Address Change of Corporate Office,1,0,0,address change of corporate office
46,2017-06-01,NURANI,Q3 Financials,0,0,0,q3 financials
47,2017-06-01,NURANI,Prohibition on providing loan facilities to purchase securities,0,0,0,prohibition on providing loan facilities to purchase securities
48,2017-06-01,NURANI,Trading of New Security,0,0,0,trading of new security
