,PublishDate,Scrip,Title,today,tomorrow,day_after_tomorrow,normalized_headline
0,2019-04-29,OLYMPIC,Q3 Financials,1,1,0,q3 financials
1,2019-04-16,OLYMPIC,Board Meeting schedule under LR 16(1),0,1,1,board meeting schedule under lr 161
2,2019-04-01,OLYMPIC,Board decision to purchase Land,1,0,0,board decision to purchase land
3,2019-04-01,OLYMPIC,Board decision to purchase Land,1,0,0,board decision to purchase land
5,2019-02-13,OLYMPIC,Board decision to purchase Land,0,0,0,board decision to purchase land
6,2019-02-03,OLYMPIC,Q2 Financials,1,0,0,q2 financials
7,2019-01-21,OLYMPIC,Board Meeting schedule under LR 16(1),0,0,1,board meeting schedule under lr 161
8,2019-01-17,OLYMPIC,Dividend Disbursement,0,0,0,dividend disbursement
9,2018-11-27,OLYMPIC,Q1 Financials,0,0,0,q1 financials
10,2018-11-19,OLYMPIC,New Date of Board Meeting schedule under LR 16(1),0,1,0,new date of board meeting schedule under lr 161
11,2018-11-15,OLYMPIC,Resumption after Record Date,0,0,0,resumption after record date
12,2018-11-14,OLYMPIC,Suspension for Record Date,0,0,0,suspension for record date
13,2018-11-12,OLYMPIC,Postponement of Board Meeting under LR 16(1),1,1,0,postponement of board meeting under lr 161
14,2018-11-12,OLYMPIC,Spot News,1,1,0,spot news
15,2018-11-07,OLYMPIC,Board Meeting schedule under LR 16(1),1,0,0,board meeting schedule under lr 161
16,2018-10-24,OLYMPIC,Price Limit Open,0,1,0,price limit open
17,2018-10-24,OLYMPIC,Dividend Declaration,0,1,0,dividend declaration
18,2018-10-07,OLYMPIC,Board Meeting schedule under LR 19(1),1,1,1,board meeting schedule under lr 191
20,2018-09-30,OLYMPIC,Capital Machinery Import,1,0,0,capital machinery import
21,2018-06-28,OLYMPIC,Credit Rating Result,0,0,0,credit rating result
24,2018-05-03,OLYMPIC,Decisions to commence commercial operations,1,0,0,decisions to commence commercial operations
25,2018-05-03,OLYMPIC,Q3 Financials,1,0,0,q3 financials
26,2018-04-12,OLYMPIC,Board Meeting schedule under LR 16(1),1,0,0,board meeting schedule under lr 161
27,2018-01-31,OLYMPIC,Q2 Financials,1,0,0,q2 financials
28,2018-01-18,OLYMPIC,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
29,2018-01-11,OLYMPIC,Dividend Disbursement,1,0,0,dividend disbursement
30,2017-11-23,OLYMPIC,Resumption after record date,0,0,0,resumption after record date
31,2017-11-22,OLYMPIC,Suspension for Record Date,1,0,0,suspension for record date
32,2017-11-20,OLYMPIC,Spot for EGM & AGM,0,0,1,spot for egm  agm
33,2017-11-12,OLYMPIC,Q1 Financials,0,1,1,q1 financials
34,2017-11-01,OLYMPIC,Board Meeting schedule under LR 16(1),1,1,0,board meeting schedule under lr 161
35,2017-10-29,OLYMPIC,Price Limit Open,0,0,1,price limit open
37,2017-10-29,OLYMPIC,Dividend Declaration & Special Resolutions for EGM,0,0,1,dividend declaration  special resolutions for egm
38,2017-10-15,OLYMPIC,Board Meeting schedule under LR 19(1) & to conduct EGM,1,1,0,board meeting schedule under lr 191  to conduct egm
39,2017-06-18,OLYMPIC,Credit Rating Result,1,0,0,credit rating result
40,2017-05-02,OLYMPIC,Commencement of commercial operation of the new Cookies Line (Line-9),0,0,0,commencement of commercial operation of the new cookies line line-9
41,2017-04-30,OLYMPIC,Q3 Financials,0,0,0,q3 financials
42,2017-04-19,OLYMPIC,Board Meeting schedule under LR 16(1),1,0,0,board meeting schedule under lr 161
43,2017-01-30,OLYMPIC,Q2 Financials,1,0,0,q2 financials
44,2017-01-30,OLYMPIC,Commercial Operations of PET Sheet Forming,1,0,0,commercial operations of pet sheet forming
45,2017-01-18,OLYMPIC,"Importing manufacturing lines, machineries & commencing construction",1,0,0,"importing manufacturing lines, machineries  commencing construction"
46,2017-01-16,OLYMPIC,Dividend Disbursement,1,0,1,dividend disbursement
47,2016-11-20,OLYMPIC,Suspension for record date,1,1,1,suspension for record date
48,2016-11-16,OLYMPIC,Spot for AGM,0,1,0,spot for agm
49,2016-11-15,OLYMPIC,Installation & commencement,1,0,1,installation  commencement
50,2016-11-13,OLYMPIC,Q1 Financials,1,0,1,q1 financials
51,2016-11-09,OLYMPIC,Board Meeting,0,0,0,board meeting
52,2016-10-30,OLYMPIC,Price Limit Open,0,1,0,price limit open
53,2016-10-30,OLYMPIC,Dividend Declaration,0,1,0,dividend declaration
54,2016-10-20,OLYMPIC,Board Meeting,1,0,0,board meeting
55,2016-08-14,OLYMPIC,Land Purchase,1,0,0,land purchase
56,2016-08-08,OLYMPIC,Land Purchase,0,1,0,land purchase
57,2016-05-17,OLYMPIC,Credit Rating Result,0,1,0,credit rating result
58,2016-05-08,OLYMPIC,Land Purchase and sell,1,0,1,land purchase and sell
59,2016-05-04,OLYMPIC,New line setup,1,1,0,new line setup
60,2016-05-02,OLYMPIC,Q3 Financials,0,0,1,q3 financials
61,2016-04-19,OLYMPIC, Board Meeting,0,0,0,board meeting
62,2016-02-28,OLYMPIC,Regarding cessation of production of three units,1,1,0,regarding cessation of production of three units
63,2016-01-31,OLYMPIC,Q2 Financials,0,1,1,q2 financials
