,PublishDate,Scrip,Title,today,tomorrow,day_after_tomorrow,normalized_headline
0,2019-04-18,ONEBANKLTD,Board Meeting schedule under LR 19(1),1,0,0,board meeting schedule under lr 191
1,2018-10-31,ONEBANKLTD,Q3 Financials,0,0,0,q3 financials
2,2018-10-24,ONEBANKLTD,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
3,2018-09-30,ONEBANKLTD,Consent from BSEC for issuing Subordinated Bond,1,0,1,consent from bsec for issuing subordinated bond
4,2018-07-25,ONEBANKLTD,Q2 Financials,0,0,0,q2 financials
5,2018-07-17,ONEBANKLTD,Board Meeting schedule under LR 16(1),1,0,0,board meeting schedule under lr 161
6,2018-06-12,ONEBANKLTD,Dividend Disbursement,0,0,0,dividend disbursement
7,2018-05-15,ONEBANKLTD,Q1 Financials,0,0,0,q1 financials
8,2018-05-10,ONEBANKLTD,Credit Rating Result,0,0,0,credit rating result
9,2018-05-10,ONEBANKLTD,Resumption after record date,0,0,0,resumption after record date
10,2018-05-09,ONEBANKLTD,Suspension for Record Date,0,0,0,suspension for record date
11,2018-05-08,ONEBANKLTD,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
12,2018-05-07,ONEBANKLTD,Spot News,1,0,0,spot news
13,2018-04-16,ONEBANKLTD,Price Limit Open,0,0,1,price limit open
15,2018-04-16,ONEBANKLTD,Dividend Declaration,0,0,1,dividend declaration
16,2018-04-04,ONEBANKLTD,Board Meeting schedule under LR 19(1),1,0,0,board meeting schedule under lr 191
17,2017-10-30,ONEBANKLTD,Q3 Financials,0,1,0,q3 financials
18,2017-10-23,ONEBANKLTD,Board Meeting schedule under LR 16(1),0,0,1,board meeting schedule under lr 161
19,2017-09-27,ONEBANKLTD,Decision for Issuance of Subordinated Debt/Bond,0,1,0,decision for issuance of subordinated debtbond
20,2017-07-30,ONEBANKLTD,Q2 Financials,0,1,1,q2 financials
21,2017-07-20,ONEBANKLTD,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
22,2017-05-24,ONEBANKLTD,Dividend Disbursement,1,1,0,dividend disbursement
23,2017-05-11,ONEBANKLTD,Q1 Financials,0,0,0,q1 financials
24,2017-05-04,ONEBANKLTD,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
25,2017-04-23,ONEBANKLTD,Credit Rating Result,0,0,1,credit rating result
26,2017-04-20,ONEBANKLTD,Resumption after record date,0,0,0,resumption after record date
27,2017-04-19,ONEBANKLTD,Suspension for Record Date,0,0,0,suspension for record date
28,2017-04-17,ONEBANKLTD,Spot News,1,0,0,spot news
30,2017-04-02,ONEBANKLTD,Dividend Declaration,0,0,0,dividend declaration
31,2017-04-02,ONEBANKLTD,Price Limit Open,0,0,0,price limit open
32,2017-03-22,ONEBANKLTD,Board Meeting schedule under LR 19(1),1,0,0,board meeting schedule under lr 191
33,2016-10-20,ONEBANKLTD,Board Meeting,1,0,0,board meeting
34,2016-07-24,ONEBANKLTD,Confirmation of sale by a Sponsor,0,1,0,confirmation of sale by a sponsor
35,2016-06-29,ONEBANKLTD,Confirmation of sale,0,0,0,confirmation of sale
36,2016-06-19,ONEBANKLTD,Consent from BSEC of issuance of Subordinated Debt/Bond,0,1,0,consent from bsec of issuance of subordinated debtbond
37,2016-06-08,ONEBANKLTD,Confirmation of sale by a Sponsor,0,1,0,confirmation of sale by a sponsor
38,2016-05-30,ONEBANKLTD,Increase of paid up Capital of Subsidiary Company,0,0,0,increase of paid up capital of subsidiary company
39,2016-05-29,ONEBANKLTD,Confirmation of sale by a Sponsor,0,0,0,confirmation of sale by a sponsor
40,2016-05-25,ONEBANKLTD,Declaration of sale,0,1,0,declaration of sale
41,2016-05-18,ONEBANKLTD,Confirmation of sale by a Sponsor,1,0,0,confirmation of sale by a sponsor
42,2016-05-18,ONEBANKLTD,Declaration of sale by a Sponsor,1,0,0,declaration of sale by a sponsor
43,2016-05-10,ONEBANKLTD,Q1,0,1,1,q1
44,2016-05-04,ONEBANKLTD,Board Meeting,0,1,0,board meeting
45,2016-04-10,ONEBANKLTD,Dividend Disbursement,0,0,0,dividend disbursement
46,2016-04-04,ONEBANKLTD,Credit Rating,1,0,1,credit rating
47,2016-03-16,ONEBANKLTD,Resumption after Record date,0,0,0,resumption after record date
48,2016-03-15,ONEBANKLTD,Suspension for Record date,1,0,0,suspension for record date
49,2016-03-13,ONEBANKLTD,Spot for AGM,0,0,1,spot for agm
50,2016-03-01,ONEBANKLTD,Change of Record Date,0,1,0,change of record date
51,2016-02-28,ONEBANKLTD,Price Limit Open,0,0,0,price limit open
52,2016-02-28,ONEBANKLTD,Dividend Declaration,0,0,0,dividend declaration
53,2016-02-17,ONEBANKLTD, Board Meeting,1,1,0,board meeting
54,2015-10-26,ONEBANKLTD,Q3 Financials,1,1,1,q3 financials
55,2015-10-20,ONEBANKLTD,Board Meeting schedule under LR 16(1),1,0,0,board meeting schedule under lr 161
56,2015-07-30,ONEBANKLTD,Q2 Financials,0,0,0,q2 financials
57,2015-05-11,ONEBANKLTD,Dividend Disbursement,1,0,0,dividend disbursement
58,2015-04-19,ONEBANKLTD,Credit Rating changed,0,0,0,credit rating changed
59,2015-04-01,ONEBANKLTD,Confirmation of buy of Corporate Sponsor,0,0,0,confirmation of buy of corporate sponsor
60,2015-03-29,ONEBANKLTD,Resumption News after Record Date,0,0,0,resumption news after record date
61,2015-03-25,ONEBANKLTD,Suspension News for Record date,0,0,0,suspension news for record date
62,2015-03-24,ONEBANKLTD,Buy Declaration of Corporate Sponsor,1,0,0,buy declaration of corporate sponsor
63,2015-03-23,ONEBANKLTD,Spot News for AGM,0,1,0,spot news for agm
64,2015-03-16,ONEBANKLTD,Price Limit Open,1,0,0,price limit open
65,2015-03-16,ONEBANKLTD,Dividend Declaration,1,0,0,dividend declaration
66,2015-03-12,ONEBANKLTD, Board Meeting schedule under LR 30,0,0,0,board meeting schedule under lr 30
67,2014-10-27,ONEBANKLTD,Q3 Earnings,1,1,0,q3 earnings
68,2014-08-03,ONEBANKLTD,H/Y Earnings,0,1,1,hy earnings
69,2014-06-04,ONEBANKLTD,Sponsor/Director Share Sale,0,1,0,sponsordirector share sale
70,2014-05-29,ONEBANKLTD,Sponsor/Director Share Transfer,0,0,0,sponsordirector share transfer
71,2014-05-27,ONEBANKLTD,Sponsor/Director Share Transfer,1,0,0,sponsordirector share transfer
72,2014-05-26,ONEBANKLTD,credited the bonus shares,0,1,0,credited the bonus shares
73,2014-05-21,ONEBANKLTD,Sponsor/Director Share Sale,0,0,0,sponsordirector share sale
74,2014-05-19,ONEBANKLTD,Sponsor/Director Share Sale,0,0,0,sponsordirector share sale
75,2014-05-12,ONEBANKLTD,Sponsor's has completed her sale,1,0,0,sponsor's has completed her sale
76,2014-05-11,ONEBANKLTD,Q1 Earnings,0,1,0,q1 earnings
77,2014-05-07,ONEBANKLTD,Sponsors has expressed intention to sell her shares,0,0,0,sponsors has expressed intention to sell her shares
78,2014-05-04,ONEBANKLTD,Sponsors share buy,0,0,0,sponsors share buy
79,2014-04-27,ONEBANKLTD,Credit Rating,0,1,0,credit rating
80,2014-04-07,ONEBANKLTD,trade resume,0,0,1,trade resume
81,2014-04-06,ONEBANKLTD,trade suspension,0,0,0,trade suspension
82,2014-04-01,ONEBANKLTD,Spot Market Transaction,1,1,0,spot market transaction
83,2014-03-27,ONEBANKLTD,recommended 9% cash and 10% stock dividend,1,0,0,recommended 9 cash and 10 stock dividend
84,2014-03-27,ONEBANKLTD,no price limit,1,0,0,no price limit
85,2014-03-24,ONEBANKLTD,Board meeting,0,1,0,board meeting
86,2013-11-06,ONEBANKLTD,sponsor share sell,1,1,0,sponsor share sell
87,2013-10-30,ONEBANKLTD,Q3 Earnings,0,0,0,q3 earnings
88,2013-10-20,ONEBANKLTD,Appointment of Managing Director,0,0,0,appointment of managing director
89,2013-10-08,ONEBANKLTD, Bond Issue,0,0,1,bond issue
90,2013-10-06,ONEBANKLTD,Sponsors Share Sell,0,0,0,sponsors share sell
91,2013-09-02,ONEBANKLTD,Directors News,0,0,0,directors news
92,2013-08-01,ONEBANKLTD,Sponsors Share Sell,0,0,0,sponsors share sell
93,2013-07-30,ONEBANKLTD,Q2 Earnings,1,0,0,q2 earnings
94,2013-07-29,ONEBANKLTD,Sponsors Share Sell,1,1,0,sponsors share sell
95,2013-07-29,ONEBANKLTD,Sponsors share sale,1,1,0,sponsors share sale
96,2013-07-22,ONEBANKLTD,Sponsors Share Sell,0,0,1,sponsors share sell
97,2013-07-16,ONEBANKLTD,Sponsors Share Sell,0,0,1,sponsors share sell
98,2013-07-09,ONEBANKLTD,Sponsors Share Sell,0,1,0,sponsors share sell
99,2013-07-09,ONEBANKLTD,Sponsors Share Sell,0,1,0,sponsors share sell
100,2013-07-09,ONEBANKLTD,Sponsors Share Sell,0,1,0,sponsors share sell
101,2013-07-04,ONEBANKLTD,Sponsors Share Sell,1,0,0,sponsors share sell
102,2013-06-30,ONEBANKLTD,Sponsor Share Sell,0,0,0,sponsor share sell
103,2013-06-30,ONEBANKLTD,Sponsor Share Sell,0,0,0,sponsor share sell
104,2013-06-20,ONEBANKLTD,Credited Bonus Share,0,0,0,credited bonus share
105,2013-06-18,ONEBANKLTD,Sponsor Share Sell,0,1,0,sponsor share sell
106,2013-06-16,ONEBANKLTD,Sponsor Share Sell,0,0,0,sponsor share sell
107,2013-06-09,ONEBANKLTD,Share Sale,0,0,0,share sale
108,2013-06-05,ONEBANKLTD,Sponsor Share Sell,1,0,0,sponsor share sell
109,2013-06-04,ONEBANKLTD,Sponsor Share Sell,0,1,0,sponsor share sell
110,2013-06-03,ONEBANKLTD,Sponsor Share Sell,0,0,1,sponsor share sell
111,2013-05-30,ONEBANKLTD,Sponsor Share Sell,0,0,0,sponsor share sell
112,2013-05-27,ONEBANKLTD,Sponsor Share Sell,0,0,1,sponsor share sell
113,2013-05-22,ONEBANKLTD,Sponsor Share Sell,0,0,0,sponsor share sell
