,PublishDate,Scrip,Title,today,tomorrow,day_after_tomorrow,normalized_headline
0,2019-04-25,ORIONINFU,Board Meeting schedule under LR 16(1),1,0,0,board meeting schedule under lr 161
1,2019-03-07,ORIONINFU,Credit Rating Result,1,0,0,credit rating result
3,2019-02-03,ORIONINFU,Q2 Financials,0,0,0,q2 financials
4,2019-01-27,ORIONINFU,Board Meeting schedule under LR 16(1),1,0,0,board meeting schedule under lr 161
5,2019-01-20,ORIONINFU,Dividend Disbursement,1,0,0,dividend disbursement
6,2018-11-22,ORIONINFU,Resumption after record date,0,0,0,resumption after record date
7,2018-11-20,ORIONINFU,Suspension for Record date,0,0,0,suspension for record date
8,2018-11-18,ORIONINFU,Spot News,0,0,0,spot news
9,2018-11-15,ORIONINFU,Q1 Financials,1,0,0,q1 financials
10,2018-11-11,ORIONINFU,Board Meeting schedule under LR 16(1),1,0,1,board meeting schedule under lr 161
11,2018-11-01,ORIONINFU,Price Limit Open,0,0,0,price limit open
12,2018-11-01,ORIONINFU,Dividend Declaration,0,0,0,dividend declaration
13,2018-10-24,ORIONINFU,Board Meeting schedule under LR 19(1),0,0,0,board meeting schedule under lr 191
14,2018-07-04,ORIONINFU,Query Response,1,1,0,query response
15,2018-04-30,ORIONINFU,Q3 Financials,0,0,0,q3 financials
16,2018-04-23,ORIONINFU,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
17,2018-03-29,ORIONINFU,Credit Rating Result,1,0,0,credit rating result
18,2018-01-29,ORIONINFU,Q2 Financials,1,0,0,q2 financials
19,2018-01-23,ORIONINFU,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
20,2018-01-17,ORIONINFU,Dividend Disbursement,0,1,0,dividend disbursement
21,2017-11-29,ORIONINFU,Resumption after record date,0,0,0,resumption after record date
22,2017-11-28,ORIONINFU,Suspension for Record Date,0,0,0,suspension for record date
23,2017-11-26,ORIONINFU,Spot News,1,0,0,spot news
24,2017-11-15,ORIONINFU,Q1 Financials,1,0,0,q1 financials
25,2017-11-08,ORIONINFU,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
26,2017-11-08,ORIONINFU,Price Limit Open,0,0,0,price limit open
27,2017-11-08,ORIONINFU,Dividend Declaration,0,0,0,dividend declaration
28,2017-10-31,ORIONINFU,Board Meeting schedule under LR 19(1),1,1,0,board meeting schedule under lr 191
29,2017-05-02,ORIONINFU,Q3 Financials,0,0,1,q3 financials
30,2017-04-24,ORIONINFU,Board Meeting schedule under LR 16(1),0,1,0,board meeting schedule under lr 161
31,2017-02-01,ORIONINFU,Q2 Financials,0,0,0,q2 financials
32,2016-11-30,ORIONINFU,Resumption after record date,0,0,0,resumption after record date
