,PublishDate,Scrip,Title,today,tomorrow,day_after_tomorrow,normalized_headline
0,2019-04-25,ORIONPHARM,Board Meeting schedule under LR 16(1),1,0,0,board meeting schedule under lr 161
2,2019-02-03,ORIONPHARM,Q2 Financials,0,0,0,q2 financials
3,2019-01-27,ORIONPHARM,Board Meeting schedule under LR 16(1),1,0,1,board meeting schedule under lr 161
4,2019-01-20,ORIONPHARM,Dividend Disbursement,0,0,0,dividend disbursement
5,2018-11-22,ORIONPHARM,Resumption after record date,0,0,0,resumption after record date
6,2018-11-20,ORIONPHARM,Suspension for Record date,0,0,0,suspension for record date
7,2018-11-18,ORIONPHARM,Spot News,1,1,0,spot news
8,2018-11-15,ORIONPHARM,Q1 Financials,1,0,0,q1 financials
9,2018-11-11,ORIONPHARM,Board Meeting schedule under LR 16(1),1,0,1,board meeting schedule under lr 161
10,2018-11-01,ORIONPHARM,Price Limit Open,0,0,0,price limit open
11,2018-11-01,ORIONPHARM,Dividend Declaration,0,0,0,dividend declaration
12,2018-10-24,ORIONPHARM,Board Meeting schedule under LR 19(1),0,1,0,board meeting schedule under lr 191
13,2018-07-15,ORIONPHARM,Credit Rating Result,0,1,0,credit rating result
14,2018-04-30,ORIONPHARM,Q3 Financials,0,0,0,q3 financials
15,2018-04-23,ORIONPHARM,Board Meeting schedule under LR 16(1),0,0,1,board meeting schedule under lr 161
17,2018-01-29,ORIONPHARM,Q2 Financials,1,0,0,q2 financials
18,2018-01-23,ORIONPHARM,Board Meeting schedule under LR 16(1),1,0,1,board meeting schedule under lr 161
19,2018-01-17,ORIONPHARM,Dividend Disbursement,0,1,0,dividend disbursement
20,2017-11-29,ORIONPHARM,Resumption after record date,0,1,0,resumption after record date
21,2017-11-28,ORIONPHARM,Suspension for Record Date,0,0,1,suspension for record date
22,2017-11-26,ORIONPHARM,Spot News,1,1,0,spot news
23,2017-11-15,ORIONPHARM,Q1 Financials,0,0,0,q1 financials
24,2017-11-08,ORIONPHARM,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
25,2017-11-08,ORIONPHARM,Price Limit Open,0,0,0,price limit open
26,2017-11-08,ORIONPHARM,Dividend Declaration,0,0,0,dividend declaration
27,2017-10-31,ORIONPHARM,Board Meeting schedule under LR 19(1),1,0,1,board meeting schedule under lr 191
28,2017-05-25,ORIONPHARM,Credit Rating Result,0,0,0,credit rating result
29,2017-05-02,ORIONPHARM,Q3 Financials,1,1,1,q3 financials
30,2017-04-24,ORIONPHARM,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
31,2017-02-26,ORIONPHARM,Entering into new loan,1,0,1,entering into new loan
32,2017-02-01,ORIONPHARM,Q2 Financials,1,0,0,q2 financials
33,2016-12-01,ORIONPHARM,Resumption after record date,1,0,0,resumption after record date
34,2016-11-30,ORIONPHARM,Suspension for record date,0,1,0,suspension for record date
35,2016-11-28,ORIONPHARM,Spot for AGM,1,1,0,spot for agm
36,2016-11-15,ORIONPHARM,Q1 Financials,1,1,0,q1 financials
37,2016-11-13,ORIONPHARM,Price Limit Open,0,0,1,price limit open
38,2016-11-13,ORIONPHARM,Dividend Declaration,0,0,1,dividend declaration
39,2016-11-13,ORIONPHARM,Price Limit Open,0,0,1,price limit open
40,2016-11-13,ORIONPHARM,Dividend Declaration,0,0,1,dividend declaration
41,2016-11-02,ORIONPHARM,Board Meeting,1,1,0,board meeting
42,2016-08-24,ORIONPHARM,Credit Rating Result,0,0,0,credit rating result
43,2016-05-10,ORIONPHARM,Change of Financial year,1,0,0,change of financial year
44,2016-03-01,ORIONPHARM,Query Response,1,1,0,query response
45,2015-11-01,ORIONPHARM,Q3,0,1,1,q3
46,2015-10-25,ORIONPHARM,Board Meeting,0,0,0,board meeting
47,2015-07-30,ORIONPHARM,Q2 Financials,0,0,0,q2 financials
48,2015-06-21,ORIONPHARM,Credit Rating result,1,0,0,credit rating result
49,2015-06-07,ORIONPHARM,Query Response,1,0,1,query response
50,2015-05-21,ORIONPHARM,Resumption News after Record Date,0,0,0,resumption news after record date
51,2015-05-20,ORIONPHARM,Suspension News for Record Date,1,0,0,suspension news for record date
52,2015-05-18,ORIONPHARM,Spot News for AGM,0,0,1,spot news for agm
53,2015-05-17,ORIONPHARM,Q1 Financials,1,0,0,q1 financials
54,2015-05-13,ORIONPHARM,Price Limit Open,1,0,0,price limit open
55,2015-05-13,ORIONPHARM,Dividend Declaration,1,0,0,dividend declaration
56,2015-05-06,ORIONPHARM,Board Meeting,1,1,0,board meeting
57,2015-01-11,ORIONPHARM,credit rating,1,1,1,credit rating
58,2014-10-30,ORIONPHARM,Q3 Earnings,0,0,0,q3 earnings
59,2014-09-21,ORIONPHARM,no undisclosed price sensitive information,0,0,0,no undisclosed price sensitive information
60,2014-08-03,ORIONPHARM,H/Y Earnings,1,1,0,hy earnings
61,2014-05-21,ORIONPHARM,trade resume,0,1,0,trade resume
62,2014-05-20,ORIONPHARM,trade suspension,1,0,1,trade suspension
63,2014-05-18,ORIONPHARM,Spot Market Transaction,0,0,1,spot market transaction
64,2014-05-15,ORIONPHARM,Q1 Earnings,1,0,0,q1 earnings
