,PublishDate,Scrip,Title,today,tomorrow,day_after_tomorrow,normalized_headline
0,2018-10-30,PADMALIFE,Q3 Financials,1,0,0,q3 financials
1,2018-10-28,PADMALIFE,Elected Chairman and Vice-Chairman,0,1,1,elected chairman and vice-chairman
5,2018-10-25,PADMALIFE,Sale confirmation of Sponsors and Directors,0,0,0,sale confirmation of sponsors and directors
6,2018-10-25,PADMALIFE,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
8,2018-10-22,PADMALIFE,Reconstitution of the Board of the company,0,0,0,reconstitution of the board of the company
9,2018-10-21,PADMALIFE,Revised sale declaration of a Sponsor,1,0,0,revised sale declaration of a sponsor
13,2018-10-21,PADMALIFE,Sale declaration of Sponsors and Directors,1,0,0,sale declaration of sponsors and directors
14,2018-09-26,PADMALIFE,Transfer/sale of Sponsors and Directors shares,1,0,0,transfersale of sponsors and directors shares
15,2018-09-10,PADMALIFE,Resumption after record date,0,1,1,resumption after record date
16,2018-09-09,PADMALIFE,Suspension for Record Date,0,0,1,suspension for record date
17,2018-08-26,PADMALIFE,Spot News,0,0,0,spot news
19,2018-08-14,PADMALIFE,Q2 Financials,0,0,1,q2 financials
20,2018-08-14,PADMALIFE,Q1 Financials,0,0,1,q1 financials
21,2018-08-13,PADMALIFE,Prohibition on providing loan facilities to purchase securities,0,0,0,prohibition on providing loan facilities to purchase securities
22,2018-08-13,PADMALIFE,Category Change,0,0,0,category change
23,2018-08-13,PADMALIFE,Price Limit Open,0,0,0,price limit open
24,2018-08-13,PADMALIFE,Dividend Declaration,0,0,0,dividend declaration
25,2018-08-07,PADMALIFE,Board Meeting schedules under LR 16(1),0,1,0,board meeting schedules under lr 161
26,2018-08-06,PADMALIFE,Board Meeting schedule under LR 19(1),0,0,1,board meeting schedule under lr 191
27,2018-07-25,PADMALIFE,Query Response (Repeat News),1,0,0,query response repeat news
28,2018-07-24,PADMALIFE,Query Response,1,1,0,query response
29,2017-12-14,PADMALIFE,Query Response,1,0,0,query response
30,2017-11-29,PADMALIFE,Sale confirmation of a Sponsor Director,1,0,0,sale confirmation of a sponsor director
31,2017-11-16,PADMALIFE,Prohibition on providing loan facilities to purchase securities,1,0,0,prohibition on providing loan facilities to purchase securities
32,2017-11-16,PADMALIFE,Category Change,1,0,0,category change
33,2017-11-15,PADMALIFE,Dividend Disbursement,1,1,0,dividend disbursement
34,2017-11-02,PADMALIFE,Confirmation of transfer by a Sponsor Director,0,0,0,confirmation of transfer by a sponsor director
35,2017-11-02,PADMALIFE,Confirmation of transfer by a Sponsor,0,0,0,confirmation of transfer by a sponsor
36,2017-11-02,PADMALIFE,Confirmation of transfer by a Sponsor Director,0,0,0,confirmation of transfer by a sponsor director
37,2017-11-02,PADMALIFE,Confirmation of transfer by a Sponsor Director,0,0,0,confirmation of transfer by a sponsor director
38,2017-11-02,PADMALIFE,Confirmation of transfer by a Sponsor Director,0,0,0,confirmation of transfer by a sponsor director
39,2017-11-02,PADMALIFE,Confirmation of transfer by a Sponsor,0,0,0,confirmation of transfer by a sponsor
40,2017-11-02,PADMALIFE,Sale confirmation of a Sponsor,0,0,0,sale confirmation of a sponsor
41,2017-11-02,PADMALIFE,Sale confirmation of a Sponsor Director,0,0,0,sale confirmation of a sponsor director
42,2017-11-02,PADMALIFE,Sale confirmation of a Sponsor,0,0,0,sale confirmation of a sponsor
43,2017-11-02,PADMALIFE,Sale confirmation of a Sponsor Director,0,0,0,sale confirmation of a sponsor director
44,2017-10-30,PADMALIFE,Q3 Financials,1,0,0,q3 financials
45,2017-10-30,PADMALIFE,Sale confirmation of a Sponsor Director,1,0,0,sale confirmation of a sponsor director
46,2017-10-30,PADMALIFE,Declaration of transfer by a Sponsor,1,0,0,declaration of transfer by a sponsor
47,2017-10-30,PADMALIFE,Declaration of transfer by a Sponsor,1,0,0,declaration of transfer by a sponsor
48,2017-10-30,PADMALIFE,Declaration of transfer by a Sponsor Director,1,0,0,declaration of transfer by a sponsor director
49,2017-10-30,PADMALIFE,Declaration of transfer by a Sponsor Director,1,0,0,declaration of transfer by a sponsor director
50,2017-10-29,PADMALIFE,Sale confirmation of a Sponsor Director,0,1,0,sale confirmation of a sponsor director
51,2017-10-29,PADMALIFE,Sale declaration of a Sponsor,0,1,0,sale declaration of a sponsor
52,2017-10-26,PADMALIFE,Sale confirmation of a Sponsor,1,0,0,sale confirmation of a sponsor
53,2017-10-26,PADMALIFE,Confirmation of transfer by a Sponsor Director,1,0,0,confirmation of transfer by a sponsor director
54,2017-10-26,PADMALIFE,Sale declaration of a Sponsor,1,0,0,sale declaration of a sponsor
55,2017-10-26,PADMALIFE,Declaration of transfer by a Sponsor Director,1,0,0,declaration of transfer by a sponsor director
56,2017-10-26,PADMALIFE,Declaration of transfer by a Sponsor Director,1,0,0,declaration of transfer by a sponsor director
57,2017-10-24,PADMALIFE,Declaration of transfer by a Sponsor Director,0,1,1,declaration of transfer by a sponsor director
58,2017-10-24,PADMALIFE,Sale confirmation of Sponsors Directors,0,1,1,sale confirmation of sponsors directors
59,2017-10-24,PADMALIFE,Board Meeting schedule under LR 16(1),0,1,1,board meeting schedule under lr 161
60,2017-10-23,PADMALIFE,Sale declaration of a Sponsor Director,0,0,1,sale declaration of a sponsor director
61,2017-10-23,PADMALIFE,Sale declaration of a Sponsor Director,0,0,1,sale declaration of a sponsor director
