,PublishDate,Scrip,Title,today,tomorrow,day_after_tomorrow,normalized_headline
0,2019-04-30,PADMAOIL,Q3 Financials,0,0,0,q3 financials
1,2019-04-21,PADMAOIL,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
2,2019-03-12,PADMAOIL,Dividend Disbursement,0,0,0,dividend disbursement
3,2019-01-30,PADMAOIL,Q2 Financials,0,0,0,q2 financials
4,2019-01-22,PADMAOIL,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
5,2018-12-19,PADMAOIL,Resumption after record date,0,0,0,resumption after record date
6,2018-12-18,PADMAOIL,Suspension for Record date,1,0,0,suspension for record date
7,2018-12-13,PADMAOIL,Spot News,1,0,0,spot news
8,2018-11-11,PADMAOIL,Q1 Financials,0,0,1,q1 financials
9,2018-11-11,PADMAOIL,Price Limit Open,0,0,1,price limit open
10,2018-11-11,PADMAOIL,Dividend Declaration,0,0,1,dividend declaration
11,2018-11-01,PADMAOIL,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
12,2018-11-01,PADMAOIL,Board Meeting schedule under LR 19(1),0,0,0,board meeting schedule under lr 191
13,2018-10-14,PADMAOIL,Appointment of Chairman,1,1,0,appointment of chairman
14,2018-05-20,PADMAOIL,Elected Chairman,1,1,1,elected chairman
15,2018-04-22,PADMAOIL,Q3 Financials,0,1,1,q3 financials
16,2018-04-11,PADMAOIL,Board Meeting schedule under LR 16(1),1,0,0,board meeting schedule under lr 161
17,2018-03-14,PADMAOIL,Dividend Disbursement,0,1,0,dividend disbursement
18,2018-03-14,PADMAOIL,Dividend Disbursement,0,1,0,dividend disbursement
19,2018-01-31,PADMAOIL,Q2 Financials,1,0,0,q2 financials
20,2018-01-21,PADMAOIL,Board Meeting schedule under LR 16(1),0,0,1,board meeting schedule under lr 161
21,2017-12-18,PADMAOIL,Resumption after record date,0,0,0,resumption after record date
22,2017-12-17,PADMAOIL,Suspension for Record Date,0,0,0,suspension for record date
23,2017-12-13,PADMAOIL,Spot News,1,0,0,spot news
24,2017-11-08,PADMAOIL,Q1 Financials,0,0,0,q1 financials
25,2017-11-08,PADMAOIL,Price Limit Open,0,0,0,price limit open
26,2017-11-08,PADMAOIL,Dividend Declaration,0,0,0,dividend declaration
27,2017-10-30,PADMAOIL,Board Meeting schedule under LR 16(1),0,0,1,board meeting schedule under lr 161
28,2017-10-30,PADMAOIL,Board Meeting schedule under LR 19(1),0,0,1,board meeting schedule under lr 191
29,2017-04-30,PADMAOIL,Q3 Financials,0,0,1,q3 financials
30,2017-04-20,PADMAOIL,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
31,2017-04-03,PADMAOIL,Appointment of Managing Director,1,0,1,appointment of managing director
32,2017-03-09,PADMAOIL,Cash Dividend,0,0,0,cash dividend
33,2017-01-31,PADMAOIL,Q2 Financials,0,0,0,q2 financials
34,2017-01-23,PADMAOIL,Reschedule of Board Meeting under LR 16(1),0,0,0,reschedule of board meeting under lr 161
35,2016-12-19,PADMAOIL,Resumption after record date,0,0,1,resumption after record date
36,2016-12-18,PADMAOIL,Suspension for Record,0,0,0,suspension for record
37,2016-12-14,PADMAOIL,Spot for AGM,1,0,0,spot for agm
38,2016-11-10,PADMAOIL,Q1,0,0,0,q1
39,2016-11-10,PADMAOIL,Price Limit Open,0,0,0,price limit open
40,2016-11-10,PADMAOIL,Dividend Declaration,0,0,0,dividend declaration
41,2016-11-01,PADMAOIL,Board Meeting,0,1,1,board meeting
42,2016-11-01,PADMAOIL,Board Meeting,0,1,1,board meeting
43,2016-04-27,PADMAOIL,Q3 Financials,1,0,0,q3 financials
44,2016-04-25,PADMAOIL,Re-fixation of Margin,0,1,1,re-fixation of margin
45,2016-04-20,PADMAOIL,Board Meeting,1,0,0,board meeting
46,2016-03-21,PADMAOIL,Cash Dividend Disbursement,0,0,1,cash dividend disbursement
47,2016-03-09,PADMAOIL,Cash Dividend Disbursement,0,1,0,cash dividend disbursement
48,2016-02-28,PADMAOIL,Updating of information (revised submission date),1,0,0,updating of information revised submission date
49,2016-02-24,PADMAOIL,Updating of information,0,1,0,updating of information
50,2016-02-15,PADMAOIL,Contract Signing for construction of Head Office Building,0,0,0,contract signing for construction of head office building
51,2016-01-24,PADMAOIL,Q2 Financials,0,0,1,q2 financials
52,2015-12-21,PADMAOIL,Resumption after Record date,0,0,1,resumption after record date
53,2015-12-20,PADMAOIL,Suspension for Record Date,0,0,0,suspension for record date
54,2015-12-15,PADMAOIL,Spot for AGM,1,0,1,spot for agm
55,2015-12-10,PADMAOIL,Special Resolution for AGM,0,0,0,special resolution for agm
56,2015-11-15,PADMAOIL,Q1 Financials,0,0,0,q1 financials
57,2015-11-11,PADMAOIL,Furnishing 12 digit e-TIN,0,0,0,furnishing 12 digit e-tin
58,2015-11-11,PADMAOIL,Price Limit Open,0,0,0,price limit open
59,2015-11-11,PADMAOIL,Dividend Declaration,0,0,0,dividend declaration
60,2015-11-02,PADMAOIL,Board Meeting,0,1,0,board meeting
61,2015-11-02,PADMAOIL,Board Meeting,0,1,0,board meeting
62,2015-05-26,PADMAOIL,Q3 Financials (Repeat),1,0,0,q3 financials repeat
63,2015-04-27,PADMAOIL,Q3,1,0,0,q3
64,2015-03-12,PADMAOIL,Dividend Disbursement,1,0,0,dividend disbursement
65,2015-01-26,PADMAOIL,Change of Venue of AGM,0,0,0,change of venue of agm
66,2015-01-26,PADMAOIL,Half Yearly Financials,0,0,0,half yearly financials
67,2015-01-14,PADMAOIL,new Chairman,0,1,0,new chairman
68,2014-12-22,PADMAOIL,will resume,0,0,1,will resume
69,2014-12-21,PADMAOIL,will remain suspended,0,0,0,will remain suspended
70,2014-12-17,PADMAOIL,Spot Market and Block/Odd lot transactions,1,0,0,spot market and blockodd lot transactions
71,2014-11-12,PADMAOIL,Q1,0,0,0,q1
72,2014-11-10,PADMAOIL,no price limit,0,0,0,no price limit
73,2014-11-10,PADMAOIL,100% Cash Dividend,0,0,0,100 cash dividend
74,2014-11-05,PADMAOIL,Board Meeting,0,0,0,board meeting
75,2014-04-28,PADMAOIL,Q3 Earning,1,0,0,q3 earning
76,2014-03-05,PADMAOIL,bonus shares credited,0,0,0,bonus shares credited
77,2014-01-29,PADMAOIL,H/Y Earnings,0,0,0,hy earnings
78,2013-12-23,PADMAOIL,trade resume,0,0,0,trade resume
79,2013-12-22,PADMAOIL,trade suspension,1,0,0,trade suspension
80,2013-12-17,PADMAOIL,spot market trade,1,0,0,spot market trade
81,2013-11-14,PADMAOIL,Q1 Earnings,1,0,0,q1 earnings
82,2013-11-13,PADMAOIL,no price limit,0,1,0,no price limit
83,2013-11-13,PADMAOIL,cash & stock dividend,0,1,0,cash  stock dividend
84,2013-11-07,PADMAOIL,board meeting,0,0,0,board meeting
85,2013-04-28,PADMAOIL,Q3 Earnings,0,0,1,q3 earnings
86,2013-03-04,PADMAOIL,Dividend notification,0,0,0,dividend notification
87,2013-02-25,PADMAOIL,Bonus share credited,0,1,0,bonus share credited
88,2013-01-28,PADMAOIL,HY Earnings 2012-13,1,1,0,hy earnings 2012-13
89,2012-12-19,PADMAOIL,spot market trading,1,0,0,spot market trading
90,2012-12-10,PADMAOIL,new Chairman,0,1,0,new chairman
91,2012-11-13,PADMAOIL,Q1 Earnings 2012,1,0,0,q1 earnings 2012
92,2012-11-12,PADMAOIL,corporate declaration,0,1,0,corporate declaration
93,2012-11-06,PADMAOIL,Board Meeting,1,0,0,board meeting
94,2012-06-11,PADMAOIL,- Normal trading of the shares...,0,1,0,normal trading of the shares
95,2012-05-28,PADMAOIL,- Trading of the shares...,0,1,1,trading of the shares
96,2012-05-24,PADMAOIL,- The Company has...,1,0,0,the company has
97,2012-04-16,PADMAOIL,- Referring to the price sensitive decision ...,0,0,0,referring to the price sensitive decision
100,2011-12-29,PADMAOIL,- The Company will be placed...,0,0,0,the company will be placed
101,2011-12-29,PADMAOIL,- DSE NEWS: The Stock Brokers...,0,0,0,dse news: the stock brokers
102,2011-12-20,PADMAOIL,-The Company has informed...,0,0,0,-the company has informed
103,2011-08-04,PADMAOIL,- SEC has issued show cause,0,0,0,sec has issued show cause
