,PublishDate,Scrip,Title,today,tomorrow,day_after_tomorrow,normalized_headline
0,2019-04-25,PENINSULA,Q3 Financials,1,0,0,q3 financials
1,2019-04-17,PENINSULA,Board Meeting schedule under LR 16(1),0,1,0,board meeting schedule under lr 161
2,2019-01-22,PENINSULA,Q2 Financials,0,0,0,q2 financials
3,2019-01-16,PENINSULA,Board Meeting schedule under LR 16(1),0,1,0,board meeting schedule under lr 161
4,2019-01-14,PENINSULA,Buy Confirmation of a Director,0,0,0,buy confirmation of a director
5,2018-12-09,PENINSULA,Buy Confirmation,0,0,0,buy confirmation
6,2018-12-09,PENINSULA,Buy Confirmation of Sponsors Directors,0,0,0,buy confirmation of sponsors directors
7,2018-11-29,PENINSULA,Buy Declaration of a Director (Correction News),0,0,0,buy declaration of a director correction news
8,2018-11-29,PENINSULA,Buy Declarations of  a Director,0,0,0,buy declarations of  a director
9,2018-11-15,PENINSULA,Cash Dividend Disbursement,0,0,0,cash dividend disbursement
10,2018-11-14,PENINSULA,Buy Intimation,0,0,0,buy intimation
11,2018-11-13,PENINSULA,Buy Declarations of Sponsors Director,1,0,0,buy declarations of sponsors director
12,2018-10-28,PENINSULA,Q1 Financials,0,1,0,q1 financials
13,2018-10-22,PENINSULA,Board Meeting schedule under LR 16(1),1,0,1,board meeting schedule under lr 161
14,2018-10-07,PENINSULA,Credit Rating Result,0,0,0,credit rating result
15,2018-10-01,PENINSULA,Resumption after Record Date,0,1,0,resumption after record date
16,2018-09-30,PENINSULA,Suspension for Record Date,0,0,1,suspension for record date
17,2018-09-26,PENINSULA,Spot  News for EGM & AGM,0,1,0,spot  news for egm  agm
18,2018-09-09,PENINSULA,Renovations and expansion of the Hotel building,1,0,0,renovations and expansion of the hotel building
19,2018-09-09,PENINSULA,Renovations and expansion of the Hotel building,1,0,0,renovations and expansion of the hotel building
20,2018-09-06,PENINSULA,Price Limit Open,0,0,0,price limit open
22,2018-09-06,PENINSULA,Dividend Declaration,0,0,0,dividend declaration
23,2018-08-29,PENINSULA,Board Meeting schedule under LR 19(1),0,1,0,board meeting schedule under lr 191
24,2018-07-12,PENINSULA,Query Response (Repeat News),0,0,0,query response repeat news
25,2018-07-11,PENINSULA,Query Response,0,0,0,query response
27,2018-04-16,PENINSULA,Q3 Financials,1,1,1,q3 financials
28,2018-04-09,PENINSULA,Board Meeting schedule under LR 16(1),1,0,0,board meeting schedule under lr 161
29,2018-01-23,PENINSULA,Q2 Financials,0,0,0,q2 financials
30,2018-01-15,PENINSULA,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
31,2018-01-02,PENINSULA,Dividend Disbursement,0,0,0,dividend disbursement
32,2018-01-02,PENINSULA,Buy Confirmation of a Sponsor,0,0,0,buy confirmation of a sponsor
33,2017-12-07,PENINSULA,Prohibition on providing loan facilities to purchase securities,0,0,0,prohibition on providing loan facilities to purchase securities
34,2017-12-07,PENINSULA,Category Change,0,0,0,category change
35,2017-12-06,PENINSULA,Buy Confirmation of a Sponsor Director,0,0,0,buy confirmation of a sponsor director
36,2017-12-03,PENINSULA,Receiving Land Lease Acceptance from BWDB,0,1,0,receiving land lease acceptance from bwdb
37,2017-11-22,PENINSULA,Buy Declaration of a Sponsor,1,0,0,buy declaration of a sponsor
38,2017-11-09,PENINSULA,Q1 Financials,0,0,0,q1 financials
39,2017-11-06,PENINSULA,Resumption after record date,0,0,0,resumption after record date
40,2017-11-05,PENINSULA,Suspension for Record Date,0,0,0,suspension for record date
41,2017-11-02,PENINSULA,Board Meeting schedule under LR 16(1),1,0,0,board meeting schedule under lr 161
42,2017-11-01,PENINSULA,Buy declaration of a Sponsor Director,1,1,0,buy declaration of a sponsor director
43,2017-11-01,PENINSULA,Spot News,1,1,0,spot news
44,2017-10-15,PENINSULA,Credit Rating Result,0,1,1,credit rating result
45,2017-10-08,PENINSULA,Price Limit Open,0,0,1,price limit open
46,2017-10-08,PENINSULA,Dividend Declaration,0,0,1,dividend declaration
47,2017-10-03,PENINSULA,Board Meeting schedule under LR 19(1),1,0,0,board meeting schedule under lr 191
48,2017-07-11,PENINSULA,Unit-3,0,0,1,unit-3
49,2017-07-10,PENINSULA,Query Response,1,0,0,query response
50,2017-04-24,PENINSULA,Q3 Financials,0,1,0,q3 financials
51,2017-04-19,PENINSULA,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
52,2017-02-02,PENINSULA,Buy Confirmation,0,0,0,buy confirmation
53,2017-01-30,PENINSULA,Q2 Financials,0,1,0,q2 financials
54,2017-01-23,PENINSULA,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
55,2017-01-04,PENINSULA,Buy Declaration,0,1,0,buy declaration
56,2017-01-04,PENINSULA,Buy Declaration,0,1,0,buy declaration
57,2017-01-03,PENINSULA,Query Response,1,0,1,query response
58,2016-12-28,PENINSULA,Dividend Disbursement,1,0,0,dividend disbursement
59,2016-11-10,PENINSULA,Resumption after Record date,0,0,0,resumption after record date
60,2016-11-09,PENINSULA,Suspension for record date,1,0,0,suspension for record date
61,2016-11-07,PENINSULA,Spot for AGM,0,0,1,spot for agm
62,2016-11-01,PENINSULA,Q1 Financials,1,1,1,q1 financials
63,2016-10-31,PENINSULA,Decision to build hotel,0,1,1,decision to build hotel
64,2016-10-27,PENINSULA,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
65,2016-10-23,PENINSULA,Price Limit Open,0,1,0,price limit open
66,2016-10-23,PENINSULA,Dividend Declaration & EGM for changing IPO proceeds utilization,0,1,0,dividend declaration  egm for changing ipo proceeds utilization
67,2016-10-16,PENINSULA,Board Meeting,0,0,1,board meeting
68,2016-10-16,PENINSULA,Query Response,0,0,1,query response
69,2016-08-24,PENINSULA,Credit Rating Result,0,0,0,credit rating result
70,2016-04-28,PENINSULA,Q3 Financials,0,0,0,q3 financials
71,2016-01-31,PENINSULA,Q2 Financials,0,1,0,q2 financials
72,2016-01-26,PENINSULA,Board Meeting,0,0,0,board meeting
73,2015-12-30,PENINSULA,Buy Confirmation of a Sponsor,0,0,0,buy confirmation of a sponsor
74,2015-12-30,PENINSULA,Buy Confirmation of a Sponsor,0,0,0,buy confirmation of a sponsor
75,2015-12-24,PENINSULA,Cash Dividend Disbursement,0,0,0,cash dividend disbursement
76,2015-12-13,PENINSULA,Dividend Disbursement,0,1,0,dividend disbursement
77,2015-11-18,PENINSULA,Buy Declaration of a Sponsor,1,1,0,buy declaration of a sponsor
78,2015-11-18,PENINSULA,Buy Declaration of a Director,1,1,0,buy declaration of a director
79,2015-11-09,PENINSULA,Q1 Financials,0,0,0,q1 financials
80,2015-11-02,PENINSULA,Board Meeting,1,0,0,board meeting
81,2015-10-28,PENINSULA,Resumption News after Record date,0,0,0,resumption news after record date
82,2015-10-27,PENINSULA,Suspension News for Record Date,0,0,0,suspension news for record date
83,2015-10-25,PENINSULA,Spot News,1,0,0,spot news
84,2015-10-21,PENINSULA,Credit Rating Result,0,0,0,credit rating result
