,PublishDate,Scrip,Title,today,tomorrow,day_after_tomorrow,normalized_headline
0,2019-04-30,PHARMAID,Q3 Financials,1,0,0,q3 financials
1,2019-04-24,PHARMAID,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
2,2019-02-05,PHARMAID,Cash Dividend Disbursement,0,0,1,cash dividend disbursement
3,2019-01-31,PHARMAID,Q2 Financials,0,0,0,q2 financials
4,2019-01-24,PHARMAID,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
5,2018-12-26,PHARMAID,Credit Rating Result,0,0,0,credit rating result
6,2018-12-02,PHARMAID,Resumption after record date,0,1,0,resumption after record date
7,2018-11-29,PHARMAID,Suspension for Record date,0,0,0,suspension for record date
8,2018-11-27,PHARMAID,Spot News,0,0,0,spot news
9,2018-11-15,PHARMAID,Q1 Financials,0,0,0,q1 financials
10,2018-11-11,PHARMAID,Board Meeting schedule under LR 16(1),0,1,0,board meeting schedule under lr 161
11,2018-11-06,PHARMAID,Price Limit Open,0,1,1,price limit open
12,2018-11-06,PHARMAID,Dividend Declaration,0,1,1,dividend declaration
13,2018-10-28,PHARMAID,Board Meeting schedule under LR 19(1),1,1,1,board meeting schedule under lr 191
14,2018-06-28,PHARMAID,Query Response,1,0,0,query response
15,2018-06-12,PHARMAID,Query Response,1,0,0,query response
16,2018-05-03,PHARMAID,Q3 Financials,0,0,0,q3 financials
17,2018-05-03,PHARMAID,Q3 Financials,0,0,0,q3 financials
18,2018-04-24,PHARMAID,Board Meeting schedule under LR 16(1),0,1,0,board meeting schedule under lr 161
19,2018-02-06,PHARMAID,Dividend Disbursement,1,0,1,dividend disbursement
20,2018-01-31,PHARMAID,Q2 Financials,0,1,0,q2 financials
21,2018-01-24,PHARMAID,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
22,2018-01-01,PHARMAID,Credit Rating Result,1,1,1,credit rating result
23,2017-12-07,PHARMAID,Query Response,1,0,0,query response
24,2017-12-04,PHARMAID,Resumption after record date,0,1,1,resumption after record date
25,2017-12-03,PHARMAID,Suspension for Record Date,1,0,1,suspension for record date
26,2017-11-29,PHARMAID,Spot News,1,1,0,spot news
27,2017-11-15,PHARMAID,Q1 Financials,1,0,0,q1 financials
28,2017-11-12,PHARMAID,Board Meeting schedule under LR 16(1),0,1,1,board meeting schedule under lr 161
29,2017-11-12,PHARMAID,Price Limit Open,0,1,1,price limit open
30,2017-11-12,PHARMAID,Dividend Declaration,0,1,1,dividend declaration
31,2017-11-01,PHARMAID,Board Meeting schedule under LR 19(1),1,1,0,board meeting schedule under lr 191
32,2017-10-08,PHARMAID,Decision for importing one Set of Brand New Machinery,0,0,0,decision for importing one set of brand new machinery
33,2017-05-02,PHARMAID,Q3 Financials,0,0,0,q3 financials
34,2017-04-25,PHARMAID,Board Meeting schedule under LR 16(1),1,0,1,board meeting schedule under lr 161
35,2017-01-31,PHARMAID,Q2 Financials,0,1,0,q2 financials
