,PublishDate,Scrip,Title,today,tomorrow,day_after_tomorrow,normalized_headline
0,2019-04-30,PHOENIXFIN,Q1 Financials,0,0,0,q1 financials
1,2019-04-30,PHOENIXFIN,Price Limit Open,0,0,0,price limit open
2,2019-04-30,PHOENIXFIN,Dividend Declaration,0,0,0,dividend declaration
3,2019-04-21,PHOENIXFIN,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
4,2019-04-21,PHOENIXFIN,Board Meeting schedule under LR 19(1),0,0,0,board meeting schedule under lr 191
5,2018-11-18,PHOENIXFIN,Credit Rating Result,0,0,0,credit rating result
6,2018-10-31,PHOENIXFIN,Q3 Financials,0,1,0,q3 financials
7,2018-10-24,PHOENIXFIN,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
8,2018-10-01,PHOENIXFIN,Revaluation of Fixed Assets,1,0,0,revaluation of fixed assets
9,2018-09-18,PHOENIXFIN,Sale Confirmation of a Director,1,0,0,sale confirmation of a director
10,2018-09-09,PHOENIXFIN,Sale Confirmation of a Director,0,1,0,sale confirmation of a director
11,2018-09-09,PHOENIXFIN,Sale Declaration of a Director,0,1,0,sale declaration of a director
12,2018-08-26,PHOENIXFIN,Sale Declaration of a Director,0,0,0,sale declaration of a director
13,2018-08-09,PHOENIXFIN,Sale Confirmation of a Director,0,0,0,sale confirmation of a director
14,2018-08-05,PHOENIXFIN,Sale Declaration of a Director,0,0,0,sale declaration of a director
15,2018-07-31,PHOENIXFIN,Q2 Financials,0,0,0,q2 financials
16,2018-07-24,PHOENIXFIN,Board Meeting schedule under LR 16(1),1,1,0,board meeting schedule under lr 161
17,2018-07-18,PHOENIXFIN,Dividend Disbursement,0,0,0,dividend disbursement
18,2018-07-12,PHOENIXFIN,Query Response,1,0,0,query response
19,2018-05-24,PHOENIXFIN,Resumption after record date,0,0,0,resumption after record date
20,2018-05-23,PHOENIXFIN,Suspension for Record Date,1,0,0,suspension for record date
21,2018-05-21,PHOENIXFIN,Spot News,0,0,1,spot news
22,2018-04-26,PHOENIXFIN,Q1 Financials,0,0,0,q1 financials
23,2018-04-26,PHOENIXFIN,Price Limit Open,0,0,0,price limit open
24,2018-04-26,PHOENIXFIN,Dividend Declaration,0,0,0,dividend declaration
25,2018-04-18,PHOENIXFIN,Board Meeting schedule under LR 19(1),0,0,0,board meeting schedule under lr 191
26,2018-04-18,PHOENIXFIN,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
27,2017-12-07,PHOENIXFIN,Credit Rating Result,1,0,0,credit rating result
28,2017-11-01,PHOENIXFIN,Q3 Financials,1,0,0,q3 financials
29,2017-10-25,PHOENIXFIN,Board Meeting schedule under LR 16(1),1,0,0,board meeting schedule under lr 161
30,2017-09-13,PHOENIXFIN,Issuance of Subordinated Bond,1,0,0,issuance of subordinated bond
31,2017-07-31,PHOENIXFIN,Q2 Financials,1,1,0,q2 financials
32,2017-07-27,PHOENIXFIN,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
33,2017-07-26,PHOENIXFIN,Dividend Disbursement,0,0,0,dividend disbursement
34,2017-06-18,PHOENIXFIN,Venue of the AGM,0,1,0,venue of the agm
35,2017-05-07,PHOENIXFIN,Q1 Financials,0,0,0,q1 financials
