,PublishDate,Scrip,Title,today,tomorrow,day_after_tomorrow,normalized_headline
0,2018-12-24,PLFSL,Credit Rating Result,1,0,1,credit rating result
10,2018-11-22,PLFSL,Basis for Qualified Opinion,0,0,0,basis for qualified opinion
11,2018-10-23,PLFSL,Q3 Financials,0,0,0,q3 financials
12,2018-10-16,PLFSL,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
13,2018-08-07,PLFSL,Resumption after record date,0,0,1,resumption after record date
14,2018-08-06,PLFSL,Suspension for Record Date,0,0,0,suspension for record date
15,2018-07-24,PLFSL,Spot News,0,0,0,spot news
16,2018-07-15,PLFSL,Q2 Financials,0,1,0,q2 financials
17,2018-07-08,PLFSL,Board Meeting schedule under LR 16(1),1,0,0,board meeting schedule under lr 161
18,2018-07-02,PLFSL,Q1 Financials,0,1,0,q1 financials
19,2018-07-02,PLFSL,Price Limit Open,0,1,0,price limit open
20,2018-07-02,PLFSL,Dividend Declaration,0,1,0,dividend declaration
21,2018-06-21,PLFSL,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
22,2018-06-21,PLFSL,Board Meeting schedule under LR 19(1),0,0,0,board meeting schedule under lr 191
23,2017-10-30,PLFSL,Q3 Financials,0,0,0,q3 financials
24,2017-10-23,PLFSL,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
25,2017-08-22,PLFSL,PLFSL Credit Rating Result,0,1,0,plfsl credit rating result
26,2017-08-07,PLFSL,Resumption after Record Date,0,0,0,resumption after record date
27,2017-08-06,PLFSL,Suspension for Record Date,1,0,0,suspension for record date
32,2017-07-27,PLFSL,Basis of Qualification,0,0,0,basis of qualification
33,2017-07-26,PLFSL,Q2 Financials,0,0,0,q2 financials
34,2017-07-26,PLFSL,Q1 Financials,0,0,0,q1 financials
35,2017-07-24,PLFSL,Spot News,0,1,0,spot news
36,2017-07-18,PLFSL,Board Meeting schedule under LR 16(1),0,0,1,board meeting schedule under lr 161
37,2017-07-17,PLFSL,Query Response,0,0,0,query response
38,2017-07-12,PLFSL,Price Limit Open,1,1,0,price limit open
39,2017-07-12,PLFSL,Dividend Declaration,1,1,0,dividend declaration
40,2017-07-04,PLFSL,Board Meeting schedule under LR 19(1),1,1,0,board meeting schedule under lr 191
41,2017-04-05,PLFSL,Address Change of Head Office,0,0,0,address change of head office
42,2016-12-15,PLFSL,Qualified Opinion,0,0,0,qualified opinion
43,2016-11-03,PLFSL,Credit Rating Result,1,0,0,credit rating result
44,2016-11-01,PLFSL,Q3 Financials,0,0,1,q3 financials
45,2016-10-24,PLFSL,Board Meeting schedule under LR 16(1),0,1,0,board meeting schedule under lr 161
46,2016-08-28,PLFSL,Resumption after record date,0,0,0,resumption after record date
47,2016-08-28,PLFSL,Resumption after record date,0,0,0,resumption after record date
48,2016-08-24,PLFSL,Suspension for record date,0,0,0,suspension for record date
49,2016-08-10,PLFSL,Spot for AGM,0,0,0,spot for agm
50,2016-08-04,PLFSL,Q2 Financials,0,0,0,q2 financials
