,PublishDate,Scrip,Title,today,tomorrow,day_after_tomorrow,normalized_headline
0,2018-12-02,POPULARLIF,Board Decision to Sell Land,0,0,0,board decision to sell land
1,2018-12-02,POPULARLIF,Board Decision to Sell Land,0,0,0,board decision to sell land
2,2018-10-29,POPULARLIF,Decision to purchase Land,1,0,1,decision to purchase land
3,2018-10-29,POPULARLIF,Q3 Financials,1,0,1,q3 financials
4,2018-10-18,POPULARLIF,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
5,2018-10-03,POPULARLIF,Dividend Disbursement,0,0,0,dividend disbursement
6,2018-10-01,POPULARLIF,Sale confirmation of a Sponsor,0,0,0,sale confirmation of a sponsor
7,2018-09-24,POPULARLIF,Sale Declaration of a Sponsor,0,0,1,sale declaration of a sponsor
8,2018-09-12,POPULARLIF,Query Response,1,0,0,query response
9,2018-09-04,POPULARLIF,Credit Rating Result,0,0,1,credit rating result
10,2018-08-19,POPULARLIF,Sale Confirmation of a Sponsor,0,0,0,sale confirmation of a sponsor
11,2018-08-07,POPULARLIF,Sale Declaration of a Sponsor,0,0,0,sale declaration of a sponsor
12,2018-07-30,POPULARLIF,Sale confirmation of a Sponsor,0,1,0,sale confirmation of a sponsor
13,2018-07-26,POPULARLIF,Q2 Financials,1,0,0,q2 financials
14,2018-07-24,POPULARLIF,Resumption after record date,0,1,1,resumption after record date
15,2018-07-23,POPULARLIF,Suspension for Record Date,1,0,1,suspension for record date
16,2018-07-23,POPULARLIF,Sale declaration of a Sponsor,1,0,1,sale declaration of a sponsor
17,2018-07-22,POPULARLIF,Board Meeting schedule under LR 16(1),0,1,0,board meeting schedule under lr 161
18,2018-07-19,POPULARLIF,Spot News,1,0,0,spot news
19,2018-06-28,POPULARLIF,Q1 Financials,0,0,0,q1 financials
20,2018-06-28,POPULARLIF,Price Limit Open,0,0,0,price limit open
21,2018-06-28,POPULARLIF,Dividend Declaration,0,0,0,dividend declaration
22,2018-06-20,POPULARLIF,Board Meeting schedule under LR 19(1),0,0,0,board meeting schedule under lr 191
23,2018-06-20,POPULARLIF,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
24,2018-06-18,POPULARLIF,Query Response (Repeat News),1,0,0,query response repeat news
25,2018-06-12,POPULARLIF,Query Response,1,0,0,query response
26,2018-04-24,POPULARLIF,Enquiry Committee formation by BSEC,0,0,0,enquiry committee formation by bsec
27,2018-04-12,POPULARLIF,Query Response,1,0,0,query response
28,2017-10-29,POPULARLIF,Q3 Financials,0,0,1,q3 financials
29,2017-10-19,POPULARLIF,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
30,2017-09-17,POPULARLIF,Dividend Disbursement,1,1,1,dividend disbursement
31,2017-08-22,POPULARLIF,Credit Rating Result,0,0,0,credit rating result
32,2017-07-30,POPULARLIF,Q2 Financials,1,0,0,q2 financials
33,2017-07-23,POPULARLIF,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
34,2017-07-13,POPULARLIF,Emphasis of Matter,0,0,0,emphasis of matter
35,2017-07-10,POPULARLIF,Resumption after Record Date,0,0,0,resumption after record date
36,2017-07-09,POPULARLIF,Suspension for Record Date,1,0,0,suspension for record date
37,2017-07-05,POPULARLIF,Spot News,1,0,0,spot news
38,2017-06-13,POPULARLIF,Q1 Financials,0,0,1,q1 financials
39,2017-06-13,POPULARLIF,Price Limit Open,0,0,1,price limit open
40,2017-06-13,POPULARLIF,Dividend Declaration,0,0,1,dividend declaration
41,2017-06-04,POPULARLIF,Board Meeting schedule under LR 19(1),1,1,0,board meeting schedule under lr 191
42,2017-04-23,POPULARLIF,Floor Space purchase,0,1,1,floor space purchase
43,2017-02-22,POPULARLIF,Floor Space Purchase,0,1,0,floor space purchase
44,2016-10-27,POPULARLIF,Q3 Financials,0,0,0,q3 financials
45,2016-10-23,POPULARLIF,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
46,2016-09-22,POPULARLIF,Dividend Disbursement,0,0,0,dividend disbursement
47,2016-07-31,POPULARLIF,Q2 Financials,0,1,1,q2 financials
48,2016-07-24,POPULARLIF,Board Meeting,1,1,1,board meeting
49,2016-07-10,POPULARLIF,Resumption after record date,1,0,0,resumption after record date
50,2016-07-10,POPULARLIF,Q1,1,0,0,q1
51,2016-06-29,POPULARLIF,Suspension news for record date,0,0,0,suspension news for record date
