,PublishDate,Scrip,Title,today,tomorrow,day_after_tomorrow,normalized_headline
0,2019-04-29,PRAGATIINS,Board Meeting schedule under LR 16(1),1,1,0,board meeting schedule under lr 161
1,2019-04-15,PRAGATIINS,Price Limit Open,0,1,1,price limit open
2,2019-04-15,PRAGATIINS,Dividend Declaration,0,1,1,dividend declaration
3,2019-04-04,PRAGATIINS,Board Meeting schedule under LR 19(1),0,0,0,board meeting schedule under lr 191
4,2019-01-27,PRAGATIINS,Query Response,1,0,0,query response
5,2018-10-22,PRAGATIINS,Q3 Financials,1,0,0,q3 financials
6,2018-10-21,PRAGATIINS,Sale Confirmation of a Sponsor,1,1,0,sale confirmation of a sponsor
7,2018-10-16,PRAGATIINS,Board Meeting schedule under LR 16(1),1,1,1,board meeting schedule under lr 161
8,2018-10-14,PRAGATIINS,Sale Declaration of a Sponsor,0,0,1,sale declaration of a sponsor
9,2018-09-03,PRAGATIINS,Dividend Disbursement,0,0,1,dividend disbursement
10,2018-07-29,PRAGATIINS,Q2 Financials,1,1,0,q2 financials
11,2018-07-22,PRAGATIINS,Reschedule of Board Meeting under LR 16(1),0,0,0,reschedule of board meeting under lr 161
12,2018-07-22,PRAGATIINS,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
13,2018-07-08,PRAGATIINS,Buy confirmation of a Shareholder Director,1,0,0,buy confirmation of a shareholder director
14,2018-06-28,PRAGATIINS,Credit Rating Result,0,0,0,credit rating result
15,2018-06-25,PRAGATIINS,Buy Declaration of a Shareholder Director,0,0,1,buy declaration of a shareholder director
16,2018-06-06,PRAGATIINS,Resumption after record date,0,1,0,resumption after record date
17,2018-06-05,PRAGATIINS,Suspension for Record Date,0,0,1,suspension for record date
18,2018-06-03,PRAGATIINS,Spot News,1,0,0,spot news
19,2018-05-14,PRAGATIINS,Q1 Financials,0,0,0,q1 financials
20,2018-05-08,PRAGATIINS,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
21,2018-05-03,PRAGATIINS,Price Limit Open,0,0,0,price limit open
22,2018-05-03,PRAGATIINS,Dividend Declaration,0,0,0,dividend declaration
23,2018-04-23,PRAGATIINS,Board Meeting schedule under LR 19(1),0,0,0,board meeting schedule under lr 191
24,2017-10-31,PRAGATIINS,Q3 Financials,1,1,0,q3 financials
25,2017-10-25,PRAGATIINS,Board Meeting schedule under LR 16(1),0,1,0,board meeting schedule under lr 161
26,2017-07-24,PRAGATIINS,Q2 Financials,1,0,1,q2 financials
27,2017-07-18,PRAGATIINS,Board Meeting schedule under LR 16(1),1,1,1,board meeting schedule under lr 161
28,2017-06-28,PRAGATIINS,Credit Rating Result,0,0,0,credit rating result
29,2017-05-18,PRAGATIINS,Resumption after Record Date,0,0,0,resumption after record date
30,2017-05-17,PRAGATIINS,Suspension for Record Date,0,0,0,suspension for record date
31,2017-05-15,PRAGATIINS,Spot News,1,0,0,spot news
32,2017-05-15,PRAGATIINS,Q1 Financials,1,0,0,q1 financials
33,2017-05-07,PRAGATIINS,Board Meeting schedule under LR 16(1),0,1,1,board meeting schedule under lr 161
34,2017-04-23,PRAGATIINS,Price Limit Open,0,1,1,price limit open
35,2017-04-23,PRAGATIINS,Dividend Declaration,0,1,1,dividend declaration
36,2017-04-16,PRAGATIINS,Board Meeting schedule under LR 19(1),0,0,0,board meeting schedule under lr 191
37,2016-10-30,PRAGATIINS,Q3 Financials,0,1,1,q3 financials
38,2016-10-23,PRAGATIINS,Board Meeting schedule under LR 16(1),0,1,1,board meeting schedule under lr 161
39,2016-07-28,PRAGATIINS,Q2 Financials,1,0,0,q2 financials
40,2016-07-20,PRAGATIINS,Board Meeting schedule under LR 16(1),0,1,0,board meeting schedule under lr 161
41,2016-06-30,PRAGATIINS,Credit Rating Result,0,0,0,credit rating result
42,2016-05-18,PRAGATIINS,Suspension for Record date,1,0,0,suspension for record date
43,2016-05-16,PRAGATIINS,Spot News,0,1,1,spot news
44,2016-05-15,PRAGATIINS,Q1 Financials,1,0,1,q1 financials
45,2016-05-09,PRAGATIINS,Board Meeting,0,1,0,board meeting
46,2016-04-27,PRAGATIINS,Price Limit Open,1,1,0,price limit open
47,2016-04-27,PRAGATIINS,Dividend Declaration,1,1,0,dividend declaration
48,2016-04-20,PRAGATIINS,Board Meeting,0,0,0,board meeting
49,2015-12-24,PRAGATIINS,Newly elected Chairman and Vice Chairman,0,0,0,newly elected chairman and vice chairman
50,2015-11-01,PRAGATIINS,Q3,0,0,1,q3
51,2015-07-30,PRAGATIINS,Q2 Financials,0,0,0,q2 financials
52,2015-07-02,PRAGATIINS,Credit Rating Result,1,0,0,credit rating result
53,2015-05-20,PRAGATIINS,Resumption News after Record Date,0,1,0,resumption news after record date
54,2015-05-19,PRAGATIINS,Suspension News for Record Date,1,0,1,suspension news for record date
55,2015-05-17,PRAGATIINS,Spot News for AGM,0,1,1,spot news for agm
56,2015-05-14,PRAGATIINS,Q1 Financials,1,0,0,q1 financials
57,2015-05-04,PRAGATIINS,Price Limit Open,1,0,1,price limit open
58,2015-05-04,PRAGATIINS,Dividend Declaration,1,0,1,dividend declaration
59,2015-04-23,PRAGATIINS,Board Meeting,0,0,0,board meeting
60,2014-10-30,PRAGATIINS,Q3 Earnings,1,0,0,q3 earnings
61,2014-09-30,PRAGATIINS,Sponsor/Director Share transfer,1,0,1,sponsordirector share transfer
62,2014-09-25,PRAGATIINS,Sponsors Buy/Sell/Transfer,1,0,0,sponsors buyselltransfer
63,2014-08-28,PRAGATIINS,informed no undisclosed price sensitive information,1,0,0,informed no undisclosed price sensitive information
64,2014-07-24,PRAGATIINS,H/Y Earnings,1,0,0,hy earnings
65,2014-07-02,PRAGATIINS,Credit Rating,0,1,0,credit rating
66,2014-05-11,PRAGATIINS,Q1 Earnings,0,0,0,q1 earnings
67,2014-04-24,PRAGATIINS,trade resume,0,0,0,trade resume
68,2014-04-21,PRAGATIINS,AGM rescheduled,0,1,0,agm rescheduled
