,PublishDate,Scrip,Title,today,tomorrow,day_after_tomorrow,normalized_headline
0,2019-01-27,PRAGATILIF,Query Response,0,0,0,query response
1,2018-10-31,PRAGATILIF,Q3 Financials,1,0,0,q3 financials
2,2018-10-25,PRAGATILIF,Dividend Disbursement,0,0,0,dividend disbursement
3,2018-10-24,PRAGATILIF,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
4,2018-09-20,PRAGATILIF,Query Response,0,0,0,query response
5,2018-08-27,PRAGATILIF,Resumption after record date,0,0,0,resumption after record date
6,2018-08-26,PRAGATILIF,Suspension for Record Date,1,0,0,suspension for record date
7,2018-08-19,PRAGATILIF,Spot News,1,0,0,spot news
8,2018-08-01,PRAGATILIF,Q2 Financials,1,0,0,q2 financials
9,2018-08-01,PRAGATILIF,Q1 Financials,1,0,0,q1 financials
10,2018-07-29,PRAGATILIF,Price Limit Open,0,0,0,price limit open
11,2018-07-29,PRAGATILIF,Dividend Declaration,0,0,0,dividend declaration
12,2018-07-17,PRAGATILIF,Board Meeting schedule under LR 16(1),0,1,0,board meeting schedule under lr 161
13,2018-07-17,PRAGATILIF,Board Meeting schedule under LR 16(1),0,1,0,board meeting schedule under lr 161
14,2018-07-17,PRAGATILIF,Board Meeting schedule under LR 19(1),0,1,0,board meeting schedule under lr 191
15,2018-01-15,PRAGATILIF,Credit Rating Result,1,1,0,credit rating result
16,2017-10-30,PRAGATILIF,Q3 Financials,0,1,0,q3 financials
17,2017-10-24,PRAGATILIF,Prohibition on providing loan facilities to purchase securities,1,0,0,prohibition on providing loan facilities to purchase securities
18,2017-10-24,PRAGATILIF,Category Change,1,0,0,category change
19,2017-10-24,PRAGATILIF,Cash Dividend Disbursement,1,0,0,cash dividend disbursement
20,2017-10-23,PRAGATILIF,Board Meeting schedule under LR 16(1),0,1,0,board meeting schedule under lr 161
21,2017-10-10,PRAGATILIF,Dividend Disbursement,1,0,0,dividend disbursement
22,2017-08-30,PRAGATILIF,Time and Venue of the AGM,0,0,0,time and venue of the agm
23,2017-07-31,PRAGATILIF,Sale confirmation of a Sponsor,0,1,1,sale confirmation of a sponsor
24,2017-07-27,PRAGATILIF,Resumption after Record Date,0,0,0,resumption after record date
25,2017-07-26,PRAGATILIF,Suspension for Record Date,1,0,0,suspension for record date
26,2017-07-26,PRAGATILIF,Q2 Financials,1,0,0,q2 financials
27,2017-07-23,PRAGATILIF,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
28,2017-07-13,PRAGATILIF,Spot News,1,0,0,spot news
29,2017-07-06,PRAGATILIF,Sale declaration of a Sponsor,1,0,0,sale declaration of a sponsor
30,2017-07-02,PRAGATILIF,Q1 Financials,1,0,0,q1 financials
31,2017-07-02,PRAGATILIF,Price Limit Open,1,0,0,price limit open
32,2017-07-02,PRAGATILIF,Dividend Declaration,1,0,0,dividend declaration
33,2017-06-21,PRAGATILIF,Reschedule of Board Meeting under LR 16(1),0,1,0,reschedule of board meeting under lr 161
34,2017-06-21,PRAGATILIF,Reschedule of Board Meeting under LR 19(1),0,1,0,reschedule of board meeting under lr 191
35,2017-06-18,PRAGATILIF,Postponement of Board Meeting schedule under LR 16(1),0,0,1,postponement of board meeting schedule under lr 161
36,2017-06-18,PRAGATILIF,Postponement of Board Meeting schedule under LR 19(1),0,0,1,postponement of board meeting schedule under lr 191
37,2017-06-08,PRAGATILIF,Reschedule of Board Meeting under LR 19(1),0,0,0,reschedule of board meeting under lr 191
