,PublishDate,Scrip,Title,today,tomorrow,day_after_tomorrow,normalized_headline
0,2019-04-23,PREMIERBAN,Resumption after record date,0,0,1,resumption after record date
1,2019-04-21,PREMIERBAN,Suspension for Record Date,1,0,0,suspension for record date
2,2019-04-17,PREMIERBAN,Spot News,1,1,0,spot news
3,2019-04-01,PREMIERBAN,Price Limit Open,0,0,0,price limit open
5,2019-04-01,PREMIERBAN,Dividend Declaration,0,0,0,dividend declaration
6,2019-03-24,PREMIERBAN,Board Meeting schedule under LR 19(1),0,0,0,board meeting schedule under lr 191
7,2018-10-25,PREMIERBAN,Q3 Financials,0,0,0,q3 financials
8,2018-10-21,PREMIERBAN,Board Meeting schedule under LR 16(1),0,0,1,board meeting schedule under lr 161
9,2018-07-31,PREMIERBAN,Q2 Financials,0,1,1,q2 financials
11,2018-07-25,PREMIERBAN,Emphasis of Matter,0,0,0,emphasis of matter
12,2018-07-25,PREMIERBAN,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
13,2018-06-18,PREMIERBAN,Credit Rating Result,0,0,1,credit rating result
14,2018-06-03,PREMIERBAN,Dividend Disbursement,0,0,0,dividend disbursement
15,2018-05-10,PREMIERBAN,Q1 Financials,0,0,0,q1 financials
16,2018-05-07,PREMIERBAN,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
17,2018-04-30,PREMIERBAN,Appointment of Managing Director and CEO,0,0,0,appointment of managing director and ceo
18,2018-04-30,PREMIERBAN,Appointment of Managing Director and CEO,0,0,0,appointment of managing director and ceo
19,2018-04-25,PREMIERBAN,Resumption after record date,0,0,0,resumption after record date
20,2018-04-24,PREMIERBAN,Suspension for Record Date,0,0,0,suspension for record date
21,2018-04-22,PREMIERBAN,Spot News,0,0,0,spot news
22,2018-04-05,PREMIERBAN,Price Limit Open,0,0,0,price limit open
24,2018-04-05,PREMIERBAN,Dividend Declaration,0,0,0,dividend declaration
25,2018-03-28,PREMIERBAN,Board Meeting schedule under LR 19(1),1,1,0,board meeting schedule under lr 191
26,2017-10-29,PREMIERBAN,Q3 Financials,1,0,0,q3 financials
27,2017-10-24,PREMIERBAN,Board Meeting schedule under LR 16(1),0,1,1,board meeting schedule under lr 161
28,2017-08-23,PREMIERBAN,Dividend Disbursement,0,1,0,dividend disbursement
29,2017-08-01,PREMIERBAN,Dividend Disbursement,1,1,0,dividend disbursement
30,2017-07-27,PREMIERBAN,Q2 Financials,1,0,0,q2 financials
31,2017-07-23,PREMIERBAN,Board Meeting schedule under LR 16(1),0,1,1,board meeting schedule under lr 161
32,2017-07-09,PREMIERBAN,Information for Margin Account Holder,1,1,0,information for margin account holder
33,2017-06-20,PREMIERBAN,Credit Rating Result,0,1,1,credit rating result
34,2017-05-25,PREMIERBAN,Resumption after Record Date,0,0,0,resumption after record date
35,2017-05-24,PREMIERBAN,Suspension for Record Date,0,0,0,suspension for record date
36,2017-05-23,PREMIERBAN,Buy confirmation of a Director,1,0,0,buy confirmation of a director
37,2017-05-22,PREMIERBAN,Spot News,1,1,0,spot news
38,2017-05-14,PREMIERBAN,Buy declaration of a Director,0,0,0,buy declaration of a director
39,2017-05-14,PREMIERBAN,Q1 Financials,0,0,0,q1 financials
40,2017-05-07,PREMIERBAN,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
41,2017-04-27,PREMIERBAN,Price Limit Open,0,0,0,price limit open
43,2017-04-27,PREMIERBAN,Dividend Declaration,0,0,0,dividend declaration
44,2017-04-19,PREMIERBAN,Board Meeting schedule under LR 19(1),0,0,0,board meeting schedule under lr 191
45,2016-12-22,PREMIERBAN,Consent from BSEC for issuance,0,0,0,consent from bsec for issuance
46,2016-11-06,PREMIERBAN,Buy Confirmatio,0,0,0,buy confirmatio
47,2016-11-02,PREMIERBAN,Confirmation of sale,1,1,0,confirmation of sale
48,2016-11-01,PREMIERBAN,Confirmation of sale by a Sponsor,0,1,1,confirmation of sale by a sponsor
49,2016-10-31,PREMIERBAN,Declaration of sale,1,0,1,declaration of sale
50,2016-10-31,PREMIERBAN,Buy Declaration,1,0,1,buy declaration
51,2016-10-31,PREMIERBAN,Q3 Financials,1,0,1,q3 financials
52,2016-10-27,PREMIERBAN,Confirmation of Transfer by a Sponsor,0,0,0,confirmation of transfer by a sponsor
53,2016-10-26,PREMIERBAN,Declaration of sale by a Sponsor,0,0,0,declaration of sale by a sponsor
54,2016-10-25,PREMIERBAN,Declaration of Transfer by a Sponsor,0,0,0,declaration of transfer by a sponsor
55,2016-10-25,PREMIERBAN,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
56,2016-09-06,PREMIERBAN,Issuance of additional Non-Convertible Subordinated Bond,0,0,1,issuance of additional non-convertible subordinated bond
57,2016-07-31,PREMIERBAN,Q2 Financials,0,0,0,q2 financials
58,2016-07-26,PREMIERBAN,Board Meeting,0,1,1,board meeting
59,2016-06-23,PREMIERBAN,Credit Rating Result,1,0,0,credit rating result
60,2016-06-20,PREMIERBAN, Increasing Paid up and Authorized Capital of Subsidiary Company,0,0,0,increasing paid up and authorized capital of subsidiary company
61,2016-06-20,PREMIERBAN,Dividend Disbursement,0,0,0,dividend disbursement
62,2016-05-18,PREMIERBAN,Suspension for Record date,1,0,0,suspension for record date
63,2016-05-16,PREMIERBAN,Spot News,0,0,1,spot news
64,2016-05-16,PREMIERBAN,Confirmation of sale by an Independent Director,0,0,1,confirmation of sale by an independent director
65,2016-05-12,PREMIERBAN,Q1,0,0,0,q1
66,2016-05-09,PREMIERBAN,Board Meeting,1,0,0,board meeting
67,2016-05-08,PREMIERBAN,Declaration of sale by an Independent Director,0,1,0,declaration of sale by an independent director
68,2016-04-28,PREMIERBAN,Price Limit Open,0,0,0,price limit open
69,2016-04-28,PREMIERBAN,Dividend Declaration,0,0,0,dividend declaration
