,PublishDate,Scrip,Title,today,tomorrow,day_after_tomorrow,normalized_headline
0,2019-03-06,PREMIERLEA,Address Change of Registered Office and Head Office,0,0,0,address change of registered office and head office
1,2019-01-17,PREMIERLEA,Query Response,1,0,0,query response
2,2018-11-13,PREMIERLEA,Credit Rating Result,0,0,1,credit rating result
3,2018-11-05,PREMIERLEA,Completion of share Transfer outside the Trading System of Exchange,0,0,0,completion of share transfer outside the trading system of exchange
4,2018-11-04,PREMIERLEA,Sale confirmation of a Sponsor,0,0,0,sale confirmation of a sponsor
5,2018-10-30,PREMIERLEA,Sale Declaration of a Sponsor,0,1,0,sale declaration of a sponsor
6,2018-10-30,PREMIERLEA,Q3 Financials,0,1,0,q3 financials
7,2018-10-23,PREMIERLEA,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
8,2018-10-16,PREMIERLEA,Transfer of shares outside the Trading System of the Exchange,0,0,0,transfer of shares outside the trading system of the exchange
9,2018-08-20,PREMIERLEA,Query Response,1,0,0,query response
10,2018-07-29,PREMIERLEA,Q2 Financials,0,0,1,q2 financials
11,2018-07-23,PREMIERLEA,Board Meeting schedule under LR 16(1),1,1,0,board meeting schedule under lr 161
12,2018-06-18,PREMIERLEA,Dividend Disbursement,0,0,0,dividend disbursement
13,2018-05-10,PREMIERLEA,Q1 Financials,0,0,0,q1 financials
14,2018-05-06,PREMIERLEA,Board Meeting schedule under LR 16(1),0,1,0,board meeting schedule under lr 161
15,2018-04-26,PREMIERLEA,Resumption after record date,0,0,0,resumption after record date
16,2018-04-25,PREMIERLEA,Suspension for Record Date,0,0,0,suspension for record date
17,2018-04-23,PREMIERLEA,Spot News,1,0,0,spot news
18,2018-04-08,PREMIERLEA,Price Limit Open,0,0,0,price limit open
20,2018-04-08,PREMIERLEA,Dividend Declaration,0,0,0,dividend declaration
21,2018-03-29,PREMIERLEA,Board Meeting schedule under LR 19(1),1,0,0,board meeting schedule under lr 191
23,2018-02-20,PREMIERLEA,Re-valuation of own Premises,0,0,0,re-valuation of own premises
24,2017-11-05,PREMIERLEA,Buy confirmation of a Sponsor,0,1,1,buy confirmation of a sponsor
25,2017-11-05,PREMIERLEA,Credit Rating Result,0,1,1,credit rating result
26,2017-10-25,PREMIERLEA,Q3 Financials,1,1,0,q3 financials
27,2017-10-24,PREMIERLEA,Buy Declaration of a Sponsor,1,1,1,buy declaration of a sponsor
28,2017-10-19,PREMIERLEA,Board Meeting schedule under LR 16(1),1,0,0,board meeting schedule under lr 161
29,2017-08-22,PREMIERLEA,Sale confirmation of a Sponsor,0,1,0,sale confirmation of a sponsor
30,2017-08-16,PREMIERLEA,Sale confirmation of a Sponsor,0,0,0,sale confirmation of a sponsor
31,2017-08-07,PREMIERLEA,Sale declaration of a Sponsor,0,0,0,sale declaration of a sponsor
32,2017-08-06,PREMIERLEA,Sale declaration of a Sponsor,0,0,0,sale declaration of a sponsor
33,2017-07-31,PREMIERLEA,Q2 Financials,1,0,0,q2 financials
34,2017-07-24,PREMIERLEA,Board Meeting schedule under LR 16(1),1,1,0,board meeting schedule under lr 161
