,PublishDate,Scrip,Title,today,tomorrow,day_after_tomorrow,normalized_headline
0,2019-04-29,PRIMEBANK,Declaration of share transfer by a Sponsor,0,0,0,declaration of share transfer by a sponsor
1,2019-04-28,PRIMEBANK,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
2,2019-04-28,PRIMEBANK,Resumption after record date,0,0,0,resumption after record date
3,2019-04-28,PRIMEBANK,Information regarding Margin Loan,0,0,0,information regarding margin loan
4,2019-04-25,PRIMEBANK,Suspension for Record Date,1,0,0,suspension for record date
5,2019-04-23,PRIMEBANK,Spot News,0,1,1,spot news
6,2019-04-11,PRIMEBANK,Sale Declaration of a Sponsor,1,0,0,sale declaration of a sponsor
7,2019-04-04,PRIMEBANK,Price Limit Open,0,0,0,price limit open
9,2019-04-04,PRIMEBANK,Dividend Declaration,0,0,0,dividend declaration
10,2019-03-27,PRIMEBANK,Reschedule of Board Meeting under LR 19(1),0,0,0,reschedule of board meeting under lr 191
11,2019-03-21,PRIMEBANK,Board Meeting schedule under LR 19(1),0,0,0,board meeting schedule under lr 191
12,2018-11-11,PRIMEBANK,Sale Confirmation of a Sponsor,0,1,0,sale confirmation of a sponsor
13,2018-11-05,PRIMEBANK,Sale confirmation of a Sponsor,1,1,1,sale confirmation of a sponsor
14,2018-10-28,PRIMEBANK,Q3 Financials,0,1,1,q3 financials
15,2018-10-28,PRIMEBANK,Sale Declaration of a Sponsor,0,1,1,sale declaration of a sponsor
16,2018-10-24,PRIMEBANK,Sale Declaration of a Sponsor,0,0,0,sale declaration of a sponsor
17,2018-10-17,PRIMEBANK,Board Meeting schedule under LR 16(1),1,1,0,board meeting schedule under lr 161
18,2018-10-11,PRIMEBANK,Sale Confirmation of a Sponsor,1,0,0,sale confirmation of a sponsor
19,2018-10-01,PRIMEBANK,Buy confirmation of a Sponsor Director,0,0,1,buy confirmation of a sponsor director
20,2018-09-27,PRIMEBANK,Sale Confirmation of a Sponsor,0,0,0,sale confirmation of a sponsor
21,2018-09-26,PRIMEBANK,Sale Declaration of a Sponsor,0,0,0,sale declaration of a sponsor
22,2018-09-16,PRIMEBANK,Sale Declaration of a Sponsor,0,0,1,sale declaration of a sponsor
23,2018-09-13,PRIMEBANK,Sale Declaration of a Sponsor,0,0,0,sale declaration of a sponsor
24,2018-08-27,PRIMEBANK,Sale Confirmation of a Sponsor,0,1,0,sale confirmation of a sponsor
25,2018-08-09,PRIMEBANK,Buy Declaration of a Sponsor Director,1,0,0,buy declaration of a sponsor director
