,PublishDate,Scrip,Title,today,tomorrow,day_after_tomorrow,normalized_headline
0,2019-01-21,PRIMELIFE,Dividend Disbursement,1,0,0,dividend disbursement
2,2018-12-19,PRIMELIFE,Updating information,1,0,0,updating information
3,2018-12-18,PRIMELIFE,Resumption after record date,0,1,0,resumption after record date
4,2018-12-17,PRIMELIFE,Query Response,0,0,1,query response
5,2018-12-17,PRIMELIFE,Suspension for Record date,0,0,1,suspension for record date
6,2018-12-12,PRIMELIFE,Spot News,1,0,0,spot news
7,2018-12-10,PRIMELIFE,Q3 Financials,0,0,1,q3 financials
8,2018-12-10,PRIMELIFE,Q2 Financials,0,0,1,q2 financials
9,2018-12-10,PRIMELIFE,Q1 Financials,0,0,1,q1 financials
10,2018-12-09,PRIMELIFE,Price Limit Open,1,0,0,price limit open
11,2018-12-09,PRIMELIFE,Dividend Declaration,1,0,0,dividend declaration
12,2018-12-05,PRIMELIFE,Board Meeting schedule under LR 16(1),1,1,0,board meeting schedule under lr 161
13,2018-12-05,PRIMELIFE,Board Meeting schedule under LR 19(1),1,1,0,board meeting schedule under lr 191
17,2018-12-04,PRIMELIFE,Qualified Opinion,0,1,1,qualified opinion
18,2018-04-16,PRIMELIFE,Query Response,0,1,1,query response
19,2017-11-16,PRIMELIFE,Dividend Disbursement,1,0,0,dividend disbursement
20,2017-10-29,PRIMELIFE,Q3 Financials,1,1,0,q3 financials
21,2017-10-22,PRIMELIFE,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
22,2017-08-30,PRIMELIFE,Resumption after Record Date,0,0,0,resumption after record date
23,2017-08-29,PRIMELIFE,Suspension for Record Date,0,0,0,suspension for record date
24,2017-08-27,PRIMELIFE,Spot News,0,0,0,spot news
25,2017-08-08,PRIMELIFE,Q2 Financials,0,0,0,q2 financials
26,2017-08-08,PRIMELIFE,Q1 Financials,0,0,0,q1 financials
27,2017-08-08,PRIMELIFE,Price Limit Open,0,0,0,price limit open
28,2017-08-08,PRIMELIFE,Dividend Declaration,0,0,0,dividend declaration
29,2017-07-30,PRIMELIFE,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
30,2017-07-30,PRIMELIFE,Board Meeting schedule under LR 19(1),0,0,0,board meeting schedule under lr 191
31,2017-04-30,PRIMELIFE,Land Purchase,0,0,0,land purchase
32,2016-10-30,PRIMELIFE,Completion of Transfer,1,1,1,completion of transfer
33,2016-10-25,PRIMELIFE,Declaration of Transfer by a Sponsor,1,1,0,declaration of transfer by a sponsor
34,2016-10-16,PRIMELIFE,Q3 Financials,0,0,1,q3 financials
35,2016-10-13,PRIMELIFE,Declaration of sale by a Sponsor/Director,0,0,0,declaration of sale by a sponsordirector
36,2016-10-09,PRIMELIFE, Board Meeting,1,1,0,board meeting
