,PublishDate,Scrip,Title,today,tomorrow,day_after_tomorrow,normalized_headline
0,2019-04-30,PRIMETEX,Q3 Financials,0,0,0,q3 financials
1,2019-04-23,PRIMETEX,Board Meeting schedule under LR 16(1),0,1,1,board meeting schedule under lr 161
2,2019-01-27,PRIMETEX,Q2 Financials,1,0,0,q2 financials
3,2019-01-22,PRIMETEX,Cash Dividend Disbursement,0,0,1,cash dividend disbursement
4,2019-01-21,PRIMETEX,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
5,2018-12-05,PRIMETEX,Date and Time Change of AGM,0,0,0,date and time change of agm
12,2018-12-05,PRIMETEX,Emphasis of Matter,0,0,0,emphasis of matter
13,2018-12-02,PRIMETEX,Credit Rating Result,0,0,1,credit rating result
14,2018-11-25,PRIMETEX,Resumption after record date,0,0,0,resumption after record date
15,2018-11-22,PRIMETEX,Suspension for Record date,1,0,0,suspension for record date
16,2018-11-19,PRIMETEX,Spot News,1,0,0,spot news
17,2018-11-11,PRIMETEX,Q1 Financials,1,0,0,q1 financials
18,2018-11-05,PRIMETEX,Board Meeting schedule under LR 16(1),1,0,1,board meeting schedule under lr 161
19,2018-10-31,PRIMETEX,Price Limit Open,0,0,0,price limit open
20,2018-10-31,PRIMETEX,Dividend Declaration,0,0,0,dividend declaration
21,2018-10-21,PRIMETEX,Board Meeting schedule under LR 19(1),1,0,1,board meeting schedule under lr 191
22,2018-08-30,PRIMETEX,Query Response,1,0,0,query response
23,2018-06-27,PRIMETEX,Query Response,1,1,0,query response
24,2018-04-30,PRIMETEX,Q3 Financials,0,0,0,q3 financials
25,2018-04-23,PRIMETEX,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
26,2018-01-28,PRIMETEX,Q2 Financials,0,0,1,q2 financials
27,2018-01-23,PRIMETEX,Board Meeting schedule under LR 16(1),1,0,0,board meeting schedule under lr 161
28,2018-01-23,PRIMETEX,Cash Dividend Disbursement,1,0,0,cash dividend disbursement
29,2017-12-06,PRIMETEX,Time Change of AGM,0,0,0,time change of agm
30,2017-11-22,PRIMETEX,Resumption after record date,0,1,0,resumption after record date
31,2017-11-21,PRIMETEX,Suspension for Record Date,1,0,1,suspension for record date
32,2017-11-19,PRIMETEX,Spot for AGM,0,0,1,spot for agm
33,2017-11-14,PRIMETEX,Q1 Financials,0,0,1,q1 financials
34,2017-11-07,PRIMETEX,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
35,2017-10-31,PRIMETEX,Price Limit Open,0,0,1,price limit open
36,2017-10-31,PRIMETEX,Dividend Declaration,0,0,1,dividend declaration
37,2017-10-23,PRIMETEX,Board Meeting schedule under LR 19(1),0,0,1,board meeting schedule under lr 191
38,2017-10-15,PRIMETEX,Credit Rating Result,0,1,1,credit rating result
39,2017-10-04,PRIMETEX,Fine Imposed upon the Directors of the Company,0,0,0,fine imposed upon the directors of the company
40,2017-04-30,PRIMETEX,Q3 Financials,0,0,1,q3 financials
41,2017-04-24,PRIMETEX,Board Meeting schedule under LR 16(1),1,1,0,board meeting schedule under lr 161
42,2017-01-30,PRIMETEX,Q2 Financials,0,1,0,q2 financials
43,2017-01-25,PRIMETEX,Cash Dividend Disbursement,1,1,0,cash dividend disbursement
44,2016-12-11,PRIMETEX,Emphasis of Matter,0,1,0,emphasis of matter
45,2016-11-20,PRIMETEX,Suspension for record date,1,1,0,suspension for record date
46,2016-11-16,PRIMETEX,Spot for AGM,1,1,0,spot for agm
47,2016-11-14,PRIMETEX,Q1 Financials,0,1,1,q1 financials
48,2016-11-08,PRIMETEX,Board Meeting,0,0,0,board meeting
49,2016-10-31,PRIMETEX,Price Limit Open,0,0,0,price limit open
50,2016-10-31,PRIMETEX,Dividend Declaration,0,0,0,dividend declaration
51,2016-10-23,PRIMETEX,Board Meeting schedule under LR 19(1),0,0,0,board meeting schedule under lr 191
52,2016-09-21,PRIMETEX,Credit Rating Result,1,0,0,credit rating result
53,2016-04-28,PRIMETEX,Q3 Financials,0,0,0,q3 financials
54,2016-04-24,PRIMETEX,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
55,2016-02-03,PRIMETEX,Cash Dividend Disbursement,1,1,0,cash dividend disbursement
56,2016-01-31,PRIMETEX,Q2 Financials,0,0,0,q2 financials
57,2016-01-24,PRIMETEX, Board Meeting,0,0,0,board meeting
58,2016-01-21,PRIMETEX,Cash Dividend Disbursement,0,0,0,cash dividend disbursement
59,2015-12-14,PRIMETEX,Qualified Opinion,0,1,0,qualified opinion
60,2015-11-19,PRIMETEX,Resumption News after Record date,0,0,0,resumption news after record date
61,2015-11-18,PRIMETEX,Suspension News for Record Date,0,0,0,suspension news for record date
62,2015-11-16,PRIMETEX,Spot News,1,0,0,spot news
63,2015-11-12,PRIMETEX,Q1 Financials,0,0,0,q1 financials
64,2015-11-05,PRIMETEX,Board Meeting,0,0,0,board meeting
65,2015-11-01,PRIMETEX,Price Limit Open,0,0,0,price limit open
66,2015-11-01,PRIMETEX,Dividend Declaration,0,0,0,dividend declaration
67,2015-10-21,PRIMETEX,Board Meeting schedule under LR 19(1),0,0,0,board meeting schedule under lr 191
68,2015-08-06,PRIMETEX,Credit Rating Result,0,0,0,credit rating result
69,2015-05-04,PRIMETEX,Q3,1,0,1,q3
70,2015-02-01,PRIMETEX,Half Yearly Financials,1,0,0,half yearly financials
71,2015-01-22,PRIMETEX,dividend warrants,0,0,0,dividend warrants
72,2014-11-16,PRIMETEX,Q1 Earning,0,0,0,q1 earning
73,2014-11-13,PRIMETEX,will remain suspended,0,0,0,will remain suspended
74,2014-11-12,PRIMETEX,will remain suspended,1,0,0,will remain suspended
75,2014-11-10,PRIMETEX,Spot Market,0,0,1,spot market
76,2014-11-02,PRIMETEX,no price limit,0,1,0,no price limit
77,2014-11-02,PRIMETEX,dividend declaration,0,1,0,dividend declaration
78,2014-10-28,PRIMETEX,Board Meeting,0,1,0,board meeting
79,2014-04-30,PRIMETEX,company info,0,0,0,company info
80,2014-04-30,PRIMETEX,Q3 Earning,0,0,0,q3 earning
81,2014-03-20,PRIMETEX,Sponsors share sell,0,0,0,sponsors share sell
82,2014-03-06,PRIMETEX,Sponsor Share sale,0,0,0,sponsor share sale
83,2014-03-02,PRIMETEX,Credit Ratings,0,0,1,credit ratings
84,2014-01-30,PRIMETEX,H/Y Earnings,0,0,0,hy earnings
85,2014-01-23,PRIMETEX,dividend warrants,0,0,0,dividend warrants
86,2014-01-23,PRIMETEX,dividend warrants,0,0,0,dividend warrants
87,2013-11-14,PRIMETEX,Q1 Earnings,0,0,0,q1 earnings
88,2013-11-12,PRIMETEX,trade resume after record date,0,1,0,trade resume after record date
89,2013-11-11,PRIMETEX,trade suspension on record date,0,0,1,trade suspension on record date
90,2013-11-06,PRIMETEX,trade suspension on record date,0,0,0,trade suspension on record date
91,2013-10-31,PRIMETEX,No Price limit,0,0,0,no price limit
92,2013-10-31,PRIMETEX,10% Cash Dividend,0,0,0,10 cash dividend
93,2013-04-30,PRIMETEX,Q3 Earnings,1,0,1,q3 earnings
94,2013-04-25,PRIMETEX,Sponsor Share Sale,1,0,0,sponsor share sale
95,2013-04-07,PRIMETEX,sponsor/director share sell,0,1,1,sponsordirector share sell
96,2012-11-13,PRIMETEX,Q1 Earnings 2012,1,1,1,q1 earnings 2012
97,2012-11-12,PRIMETEX,Director share transfer completed,0,1,1,director share transfer completed
98,2012-11-07,PRIMETEX,Director share transfer announcement,0,0,0,director share transfer announcement
99,2012-11-05,PRIMETEX,spot market trading,0,1,0,spot market trading
100,2012-10-31,PRIMETEX,corporate declaration,1,1,0,corporate declaration
101,2012-10-22,PRIMETEX,Board Meeting,1,0,0,board meeting
102,2012-05-31,PRIMETEX,- Mst. Fatema Khatun...,1,0,0,mst. fatema khatun
103,2012-05-30,PRIMETEX,- Mr. Abul Bashar...,0,1,0,mr. abul bashar
104,2012-04-29,PRIMETEX,- As per un-audited quarterly accounts...,0,0,0,as per un-audited quarterly accounts
105,2012-01-31,PRIMETEX,- As per un-audited...,0,0,1,as per un-audited
106,2011-11-15,PRIMETEX,- Normal trading of the shares...,0,1,1,normal trading of the shares
107,2011-11-14,PRIMETEX,- Trading of the shares...,0,0,1,trading of the shares
108,2011-11-14,PRIMETEX,-  As per un-audited...,0,0,1,as per un-audited
109,2011-11-02,PRIMETEX,- Trading of the shares...,0,1,0,trading of the shares
110,2011-10-27,PRIMETEX,- There will be no price...,0,0,0,there will be no price
111,2011-10-27,PRIMETEX,- The Board of Directors...,0,0,0,the board of directors
112,2011-07-11,PRIMETEX,- In response to a DSE query...,0,0,1,in response to a dse query
