,PublishDate,Scrip,Title,today,tomorrow,day_after_tomorrow,normalized_headline
0,2019-04-30,PROVATIINS,Q1 Financials,1,0,0,q1 financials
1,2019-04-30,PROVATIINS,Price Limit Open,1,0,0,price limit open
2,2019-04-30,PROVATIINS,Dividend Declaration,1,0,0,dividend declaration
3,2019-04-21,PROVATIINS,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
4,2019-04-21,PROVATIINS,Board Meeting schedule under LR 19(1),0,0,0,board meeting schedule under lr 191
5,2019-01-22,PROVATIINS,Query Response,0,1,1,query response
6,2018-10-30,PROVATIINS,Q3 Financials,1,0,0,q3 financials
7,2018-10-23,PROVATIINS,Board Meeting schedule under LR 16(1),1,0,0,board meeting schedule under lr 161
8,2018-09-16,PROVATIINS,Credit Rating Result,0,1,0,credit rating result
9,2018-08-19,PROVATIINS,Confirmation of share transfer by a Public Shareholder Director,0,0,0,confirmation of share transfer by a public shareholder director
10,2018-08-19,PROVATIINS,Dividend Disbursement,0,0,0,dividend disbursement
11,2018-08-13,PROVATIINS,Declaration of share transfer by a Public Shareholder Director,0,1,0,declaration of share transfer by a public shareholder director
12,2018-08-08,PROVATIINS,Query Response,1,0,0,query response
13,2018-07-24,PROVATIINS,Q2 Financials,1,0,0,q2 financials
14,2018-07-16,PROVATIINS,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
15,2018-07-05,PROVATIINS,Updating information of the Shareholders,1,0,0,updating information of the shareholders
16,2018-05-30,PROVATIINS,Resumption after record date,0,0,0,resumption after record date
17,2018-05-29,PROVATIINS,Suspension for Record Date,0,0,0,suspension for record date
18,2018-05-27,PROVATIINS,Spot News,1,0,0,spot news
19,2018-05-03,PROVATIINS,Price Limit Open,1,0,0,price limit open
20,2018-05-03,PROVATIINS,Dividend Declaration,1,0,0,dividend declaration
21,2018-04-30,PROVATIINS,Q1 Financials,1,0,0,q1 financials
22,2018-04-22,PROVATIINS,Board Meeting schedule under LR 16(1),0,1,0,board meeting schedule under lr 161
23,2018-04-22,PROVATIINS,Board Meeting schedule under LR 19(1),0,1,0,board meeting schedule under lr 191
24,2017-11-27,PROVATIINS,Query Response,1,1,0,query response
25,2017-11-07,PROVATIINS,PROVATIINS Sale confirmation of a Sponsor Director,0,0,0,provatiins sale confirmation of a sponsor director
26,2017-10-31,PROVATIINS,Confirmation of transfer by a Director,1,0,0,confirmation of transfer by a director
27,2017-10-31,PROVATIINS,Q3 Financials,1,0,0,q3 financials
28,2017-10-30,PROVATIINS,Sale confirmation of a Sponsor,0,1,0,sale confirmation of a sponsor
29,2017-10-29,PROVATIINS,Sale declaration of a Sponsor,1,0,1,sale declaration of a sponsor
30,2017-10-24,PROVATIINS,Declaration of transfer by a Director,0,0,0,declaration of transfer by a director
31,2017-10-24,PROVATIINS,Sale confirmation of a Public Director,0,0,0,sale confirmation of a public director
32,2017-10-19,PROVATIINS,Sale confirmation of a Sponsor,1,0,0,sale confirmation of a sponsor
33,2017-10-18,PROVATIINS,Board Meeting schedule under LR 16(1),0,1,0,board meeting schedule under lr 161
34,2017-10-17,PROVATIINS,Sale declaration of a Sponsor,0,0,1,sale declaration of a sponsor
35,2017-10-11,PROVATIINS,Sale declaration of a Public Director,0,1,0,sale declaration of a public director
36,2017-10-05,PROVATIINS,Sale declaration of a Sponsor,0,0,0,sale declaration of a sponsor
37,2017-09-17,PROVATIINS,Credit Rating Result,1,0,0,credit rating result
38,2017-09-13,PROVATIINS,Query Response,1,0,0,query response
39,2017-08-03,PROVATIINS,Dividend Disbursement,1,0,0,dividend disbursement
40,2017-08-03,PROVATIINS,Dividend Disbursement,1,0,0,dividend disbursement
41,2017-07-30,PROVATIINS,Q2 Financials,1,0,1,q2 financials
42,2017-07-20,PROVATIINS,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
43,2017-07-18,PROVATIINS,Dividend Disbursement,1,0,0,dividend disbursement
45,2017-07-10,PROVATIINS,Decision to set up a new subsidiary Company with an AMC license,1,0,0,decision to set up a new subsidiary company with an amc license
46,2017-05-28,PROVATIINS,Information for Margin Account Holders,0,0,1,information for margin account holders
47,2017-05-23,PROVATIINS,Resumption after Record Date,0,1,1,resumption after record date
48,2017-05-22,PROVATIINS,Suspension for Record Date,0,0,1,suspension for record date
49,2017-05-18,PROVATIINS,Spot News,1,0,0,spot news
50,2017-05-15,PROVATIINS,Q1 Financials,1,0,0,q1 financials
51,2017-05-03,PROVATIINS,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
52,2017-05-02,PROVATIINS,Price Limit Open,0,0,0,price limit open
