,PublishDate,Scrip,Title,today,tomorrow,day_after_tomorrow,normalized_headline
1,2019-04-30,PTL,Q3 Financials,0,0,0,q3 financials
2,2019-04-23,PTL,Board Meeting schedule under LR 16(1),0,1,1,board meeting schedule under lr 161
3,2019-03-31,PTL,Sale Confirmation,1,1,1,sale confirmation
4,2019-03-05,PTL,Sale Intimation,1,0,1,sale intimation
6,2019-02-20,PTL,Dependable Capacity Test (DCT) of 200 MW Heavy Speed Diesel (HSD),1,0,0,dependable capacity test dct of 200 mw heavy speed diesel hsd
7,2019-01-31,PTL,Q2 Financials,0,0,0,q2 financials
8,2019-01-22,PTL,Board Meeting schedule under LR 16(1),0,0,1,board meeting schedule under lr 161
9,2018-12-26,PTL,Dividend Disbursement,0,1,0,dividend disbursement
10,2018-11-15,PTL,Q1 Financials,1,0,0,q1 financials
11,2018-11-11,PTL,Resumption after Record Date,0,0,1,resumption after record date
12,2018-11-11,PTL,Board Meeting schedule under LR 16(1),0,0,1,board meeting schedule under lr 161
13,2018-11-08,PTL,Suspension for Record Date,0,0,0,suspension for record date
14,2018-11-06,PTL,Spot News,1,1,0,spot news
15,2018-11-05,PTL,Updating information,0,1,1,updating information
16,2018-10-22,PTL,Price Limit Open,0,1,1,price limit open
18,2018-10-22,PTL,Dividend Declaration,0,1,1,dividend declaration
19,2018-10-15,PTL,Board Meeting schedule under LR 19(1),1,1,1,board meeting schedule under lr 191
21,2018-09-19,PTL,Decision to purchase some brand new machineries,1,0,0,decision to purchase some brand new machineries
22,2018-06-27,PTL,Query Response,0,1,0,query response
23,2018-04-30,PTL,Q3 Financials,0,0,0,q3 financials
24,2018-04-22,PTL,Board Meeting schedule under LR 16(1),0,0,1,board meeting schedule under lr 161
25,2018-04-12,PTL,Credit Rating Result,0,0,0,credit rating result
27,2018-03-01,PTL,LOI received by Paramount BTrac Energy Consortium from BPDB to develop HSD,1,0,0,loi received by paramount btrac energy consortium from bpdb to develop hsd
28,2018-02-06,PTL,Buy Confirmation,1,0,0,buy confirmation
29,2018-01-31,PTL,Q2 Financials,0,0,0,q2 financials
30,2018-01-23,PTL,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
31,2018-01-15,PTL,Dividend Disbursement,0,1,0,dividend disbursement
33,2018-01-08,PTL,Changing name of the consortium and replacing its operating member,1,1,0,changing name of the consortium and replacing its operating member
36,2018-01-04,PTL,Formation of a new consortium for establishing Power Plant,0,0,0,formation of a new consortium for establishing power plant
38,2018-01-04,PTL,Formation of a new consortium for establishing Power Plant,0,0,0,formation of a new consortium for establishing power plant
39,2017-12-28,PTL,Buy Intimation,1,0,0,buy intimation
40,2017-11-28,PTL,Query Response,1,0,1,query response
41,2017-11-15,PTL,Resumption after record date,0,1,0,resumption after record date
42,2017-11-14,PTL,Q1 Financials,0,0,1,q1 financials
43,2017-11-14,PTL,Suspension for Record Date,0,0,1,suspension for record date
44,2017-11-12,PTL,Spot News,1,1,0,spot news
45,2017-11-09,PTL,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
46,2017-11-06,PTL,Updating information,0,1,0,updating information
47,2017-11-01,PTL,Issuance of Non Convertible Zero Coupon Bond,1,1,0,issuance of non convertible zero coupon bond
48,2017-10-26,PTL,Price Limit Open,1,0,0,price limit open
50,2017-10-26,PTL,Dividend Declaration,1,0,0,dividend declaration
51,2017-10-16,PTL,Board Meeting schedule under LR 19(1),1,1,0,board meeting schedule under lr 191
52,2017-07-02,PTL,Participation in development under Paramount-Aggretech Energy Consortium,0,0,1,participation in development under paramount-aggretech energy consortium
53,2017-07-02,PTL,Participation in development under Paramount-Aggretech Energy Consortium,0,0,1,participation in development under paramount-aggretech energy consortium
54,2017-07-02,PTL,Participation in development under Paramount-Aggretech Energy Consortium,0,0,1,participation in development under paramount-aggretech energy consortium
55,2017-05-31,PTL,Decision to enter into a Joint Venture Consortium Agreement,0,0,0,decision to enter into a joint venture consortium agreement
56,2017-05-31,PTL,Decision to enter into a Joint Venture Consortium Agreement,0,0,0,decision to enter into a joint venture consortium agreement
57,2017-04-30,PTL,Q3 Financials,0,0,0,q3 financials
58,2017-04-23,PTL,Board Meeting schedule under LR 16(1),1,0,0,board meeting schedule under lr 161
62,2017-04-17,PTL,Decision to purchase brand new capital machineries,0,0,0,decision to purchase brand new capital machineries
63,2017-03-20,PTL,Decision to purchase brand new capital machineries,1,0,0,decision to purchase brand new capital machineries
64,2017-03-20,PTL,Decision to purchase brand new capital machineries,1,0,0,decision to purchase brand new capital machineries
65,2017-03-09,PTL,Credit Rating Result,0,0,0,credit rating result
66,2017-02-05,PTL,Confirmation of sale by a Corporate Director,0,1,0,confirmation of sale by a corporate director
67,2017-01-31,PTL,Q2 Financials,0,1,0,q2 financials
68,2017-01-24,PTL,Query Response,0,0,0,query response
69,2017-01-09,PTL,Dividend Disbursement,1,1,0,dividend disbursement
70,2017-01-05,PTL,Sale Declaration,0,0,0,sale declaration
71,2016-12-26,PTL,Issuance of Non-Convertible Zero Coupon Bond,1,0,1,issuance of non-convertible zero coupon bond
72,2016-11-23,PTL,Purchasing brand new capital machineries,0,0,0,purchasing brand new capital machineries
73,2016-11-20,PTL,Suspension for record date,1,1,0,suspension for record date
74,2016-11-16,PTL,Spot for AGM,0,0,0,spot for agm
75,2016-11-15,PTL,Q1 Financials,1,0,0,q1 financials
76,2016-11-09,PTL,Board Meeting,1,0,0,board meeting
77,2016-10-30,PTL,Price Limit Open,0,0,0,price limit open
78,2016-10-30,PTL,Dividend Declaration,0,0,0,dividend declaration
79,2016-09-07,PTL,Purchasing some brand new capital machineries,0,0,0,purchasing some brand new capital machineries
80,2016-08-02,PTL,Purchasing brand new Capital Machinery,1,0,0,purchasing brand new capital machinery
81,2016-07-24,PTL,Purchasing a brand new capital machinery,1,0,0,purchasing a brand new capital machinery
82,2016-06-12,PTL,Purchasing a capital machinery,1,0,1,purchasing a capital machinery
83,2016-05-02,PTL,Q3 Financials,0,1,0,q3 financials
84,2016-04-28,PTL,Credit Rating Result,1,0,0,credit rating result
85,2016-04-25,PTL,Board Meeting,0,0,1,board meeting
86,2016-01-31,PTL,Q2 Financials,0,1,0,q2 financials
87,2016-01-25,PTL,Board Meeting,0,0,0,board meeting
88,2016-01-10,PTL,Purchasing brand,1,0,1,purchasing brand
89,2015-12-28,PTL,Cash Dividend Disbursement,0,0,1,cash dividend disbursement
90,2015-12-14,PTL,Purchasing brand new,0,0,0,purchasing brand new
91,2015-12-07,PTL, Purchasing brand new capital machineries,0,0,0,purchasing brand new capital machineries
92,2015-11-16,PTL,Q1,0,0,0,q1
93,2015-11-15,PTL,Resumption News,0,0,0,resumption news
94,2015-11-12,PTL,Suspension News,1,0,0,suspension news
95,2015-11-10,PTL,Spot News,0,0,1,spot news
96,2015-11-09,PTL,Board Meeting,0,0,0,board meeting
97,2015-11-09,PTL,Purchasing Capital Machinery,0,0,0,purchasing capital machinery
98,2015-11-03,PTL,Purchasing brand new capital machinery,0,0,0,purchasing brand new capital machinery
99,2015-10-26,PTL,Price Limit Open,1,0,1,price limit open
100,2015-10-26,PTL,Dividend Declaration,1,0,1,dividend declaration
101,2015-10-15,PTL,Board Meeting schedule under LR 19(1),0,0,0,board meeting schedule under lr 191
102,2015-10-06,PTL,Purchasing brand new Capital Machineries,0,0,0,purchasing brand new capital machineries
103,2015-09-03,PTL,Purchasing brand new Capital Machineries,1,0,0,purchasing brand new capital machineries
