,PublishDate,Scrip,Title,today,tomorrow,day_after_tomorrow,normalized_headline
0,2019-04-30,PUBALIBANK,Suspension for Record Date,0,0,0,suspension for record date
1,2019-04-28,PUBALIBANK,Spot News,1,0,0,spot news
2,2019-04-10,PUBALIBANK,Price Limit Open,1,1,0,price limit open
4,2019-04-10,PUBALIBANK,Dividend Declaration,1,1,0,dividend declaration
5,2019-04-03,PUBALIBANK,Board Meeting schedule under LR 19(1),0,1,0,board meeting schedule under lr 191
6,2019-03-18,PUBALIBANK,Decision to Issue Subordinated Bond,0,1,0,decision to issue subordinated bond
7,2018-10-31,PUBALIBANK,Q3 Financials,0,0,0,q3 financials
8,2018-10-30,PUBALIBANK,PUBALIBANK Confirmation of share receipt by a Director,1,0,0,pubalibank confirmation of share receipt by a director
9,2018-10-25,PUBALIBANK,Declaration of share receipt by a Director,1,0,0,declaration of share receipt by a director
10,2018-10-25,PUBALIBANK,Board Meeting schedule under LR 16(1),1,0,0,board meeting schedule under lr 161
11,2018-09-19,PUBALIBANK,Confirmation of share transfer of a Nominated Director,1,0,0,confirmation of share transfer of a nominated director
12,2018-09-10,PUBALIBANK,Declaration of share transfer of a Nominated Director,0,0,0,declaration of share transfer of a nominated director
13,2018-08-02,PUBALIBANK,Confirmation of share receipt by a Nominated Director,1,0,0,confirmation of share receipt by a nominated director
14,2018-07-30,PUBALIBANK,Declaration of share receipt by a Nominated Director,0,1,1,declaration of share receipt by a nominated director
15,2018-07-26,PUBALIBANK,Q2 Financials,0,0,0,q2 financials
16,2018-07-18,PUBALIBANK,Board Meeting schedule under LR 16(1),0,1,0,board meeting schedule under lr 161
17,2018-06-27,PUBALIBANK,Credit Rating Result,1,0,0,credit rating result
18,2018-06-10,PUBALIBANK,Dividend Disbursement,0,1,0,dividend disbursement
19,2018-05-31,PUBALIBANK,Q1 Financials,1,0,0,q1 financials
20,2018-05-23,PUBALIBANK,Reschedule of Board Meeting under LR 16(1),0,0,0,reschedule of board meeting under lr 161
21,2018-05-13,PUBALIBANK,Postponement of Board Meeting schedule under LR 16(1),0,1,1,postponement of board meeting schedule under lr 161
25,2018-05-10,PUBALIBANK,Approved revised audited accounts & mode change of dividend in AGM,0,0,0,approved revised audited accounts  mode change of dividend in agm
26,2018-05-08,PUBALIBANK,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
27,2018-04-19,PUBALIBANK,Resumption after record date,0,0,0,resumption after record date
28,2018-04-18,PUBALIBANK,Suspension for Record Date,1,0,0,suspension for record date
29,2018-04-16,PUBALIBANK,Spot News,0,0,1,spot news
30,2018-04-01,PUBALIBANK,Price Limit Open,1,1,0,price limit open
32,2018-04-01,PUBALIBANK,Dividend Declaration,1,1,0,dividend declaration
33,2018-03-25,PUBALIBANK,Board Meeting schedule under LR 19(1),0,0,0,board meeting schedule under lr 191
35,2017-11-15,PUBALIBANK,Approval of BSEC to issue Tier II Subordinated Bond,0,0,0,approval of bsec to issue tier ii subordinated bond
36,2017-10-31,PUBALIBANK,Q3 Financials,0,1,0,q3 financials
37,2017-10-24,PUBALIBANK,Board Meeting schedule under LR 16(1),0,1,1,board meeting schedule under lr 161
38,2017-09-19,PUBALIBANK,Sale/Buy Confirmations of Directors,1,0,1,salebuy confirmations of directors
39,2017-09-14,PUBALIBANK,Sale/Buy Declarations of Directors,0,0,0,salebuy declarations of directors
40,2017-09-13,PUBALIBANK,Buy Confirmation of a Corporate Director,1,0,0,buy confirmation of a corporate director
41,2017-09-11,PUBALIBANK,Buy Declaration of a Corporate Director,0,1,1,buy declaration of a corporate director
42,2017-08-17,PUBALIBANK,Query Response,0,0,0,query response
43,2017-07-27,PUBALIBANK,Q2 Financials,0,0,0,q2 financials
44,2017-07-20,PUBALIBANK,Board Meeting schedule under LR 16(1),1,0,0,board meeting schedule under lr 161
45,2017-06-20,PUBALIBANK,Credit Rating Result,1,0,0,credit rating result
46,2017-05-28,PUBALIBANK,Dividend Disbursement,1,1,1,dividend disbursement
47,2017-05-11,PUBALIBANK,Q1 Financials,0,0,0,q1 financials
48,2017-05-03,PUBALIBANK,Board Meeting schedule under LR 16(1),1,1,0,board meeting schedule under lr 161
49,2017-04-19,PUBALIBANK,Issuance of Subordinated Bond,1,0,0,issuance of subordinated bond
50,2017-04-05,PUBALIBANK,Resumption after record date,0,1,0,resumption after record date
51,2017-04-04,PUBALIBANK,Suspension for Record Date,1,0,1,suspension for record date
52,2017-04-02,PUBALIBANK,Spot News,1,1,1,spot news
53,2017-03-13,PUBALIBANK,Price Limit Open,0,1,0,price limit open
54,2017-03-13,PUBALIBANK,Dividend Declaration,0,1,0,dividend declaration
55,2017-03-02,PUBALIBANK,Board Meeting,0,0,0,board meeting
56,2016-10-27,PUBALIBANK,Q3 Financials,1,0,0,q3 financials
57,2016-10-20,PUBALIBANK,Board Meeting,0,0,0,board meeting
58,2016-09-27,PUBALIBANK, Consent given by BSEC to raise Paid-up Capital for its Subsidiary,1,1,0,consent given by bsec to raise paid-up capital for its subsidiary
59,2016-08-01,PUBALIBANK,Q2 Financials,0,1,1,q2 financials
60,2016-07-25,PUBALIBANK,Board Meeting,1,1,0,board meeting
61,2016-07-10,PUBALIBANK,Credit Rating Result,1,1,1,credit rating result
62,2016-06-27,PUBALIBANK,Confirmation of share receipt by a Director,1,1,1,confirmation of share receipt by a director
63,2016-06-23,PUBALIBANK,Declaration of receipt by a Director (Correction),0,0,0,declaration of receipt by a director correction
64,2016-06-23,PUBALIBANK,Declaration of receipt by a Director,0,0,0,declaration of receipt by a director
65,2016-06-01,PUBALIBANK,Cash Dividend Disbursement,1,1,0,cash dividend disbursement
66,2016-05-12,PUBALIBANK,Q1,0,0,0,q1
67,2016-05-08,PUBALIBANK,Board Meeting,1,1,1,board meeting
68,2016-04-03,PUBALIBANK,Resumption after Record date,0,1,1,resumption after record date
69,2016-03-31,PUBALIBANK,Suspension for Record date,1,0,0,suspension for record date
70,2016-03-29,PUBALIBANK,Spot for AGM,1,1,1,spot for agm
71,2016-03-13,PUBALIBANK,Price Limit Open,0,1,0,price limit open
72,2016-03-13,PUBALIBANK,Dividend Declaration,0,1,0,dividend declaration
73,2016-03-03,PUBALIBANK,Board Meeting schedule under LR 19(1),1,0,0,board meeting schedule under lr 191
74,2015-10-28,PUBALIBANK,Q3 Financials,0,0,0,q3 financials
75,2015-10-20,PUBALIBANK,Board Meeting schedule under LR 16(1),1,0,0,board meeting schedule under lr 161
76,2015-08-18,PUBALIBANK,Correction News on Credit Rating Result,1,1,1,correction news on credit rating result
77,2015-08-18,PUBALIBANK,Credit Rating Result,1,1,1,credit rating result
78,2015-07-29,PUBALIBANK,Q2 Financials,1,1,0,q2 financials
79,2015-07-02,PUBALIBANK,Credit Rating Result,0,0,0,credit rating result
80,2015-04-30,PUBALIBANK,Q1,1,0,0,q1
81,2015-04-21,PUBALIBANK,Dividend Disbursements,1,0,0,dividend disbursements
82,2015-03-09,PUBALIBANK,Suspension News for Record date,1,0,0,suspension news for record date
83,2015-03-05,PUBALIBANK,Spot News for AGM,1,0,0,spot news for agm
84,2015-03-01,PUBALIBANK,Price Limit Open,1,1,1,price limit open
85,2015-03-01,PUBALIBANK,Dividend Declaration,1,1,1,dividend declaration
86,2015-02-26,PUBALIBANK,Board Meeting schedule under LR 30,0,0,0,board meeting schedule under lr 30
87,2015-02-24,PUBALIBANK,Appointment of Managing Director,0,0,0,appointment of managing director
88,2014-10-30,PUBALIBANK,Q3 Earnings,0,0,0,q3 earnings
89,2014-07-23,PUBALIBANK,H/Y Earnings,0,1,0,hy earnings
90,2014-07-14,PUBALIBANK,Credit Rating,0,1,1,credit rating
91,2014-04-29,PUBALIBANK,Q1 Earning,0,1,0,q1 earning
92,2014-04-24,PUBALIBANK,credited the bonus shares,1,0,0,credited the bonus shares
93,2014-03-25,PUBALIBANK,5% Stock and 5% Cash Dividend,1,0,1,5 stock and 5 cash dividend
94,2014-03-10,PUBALIBANK,trade resume after record date,0,1,1,trade resume after record date
95,2014-03-09,PUBALIBANK,trade suspension on record date,0,0,1,trade suspension on record date
96,2014-03-04,PUBALIBANK,Spot Market and Block/Odd lot transactions,0,1,0,spot market and blockodd lot transactions
97,2014-03-02,PUBALIBANK,recommended 10% stock dividend,0,1,0,recommended 10 stock dividend
98,2014-02-27,PUBALIBANK,Board Meeting,0,0,0,board meeting
99,2013-10-31,PUBALIBANK,Q3 Earnings,1,0,0,q3 earnings
100,2013-09-04,PUBALIBANK,Sponsors Share Buy,0,0,0,sponsors share buy
