,PublishDate,Scrip,Title,today,tomorrow,day_after_tomorrow,normalized_headline
0,2019-04-30,QUASEMIND,Q3 Financials,0,0,0,q3 financials
1,2019-04-21,QUASEMIND,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
2,2019-04-09,QUASEMIND,Address Change of Share Office and Continuation of Production,0,0,0,address change of share office and continuation of production
3,2019-04-03,QUASEMIND,Temporarily Held-up Business Transactions of Head Office,1,0,0,temporarily held-up business transactions of head office
5,2019-01-30,QUASEMIND,Q2 Financials,0,0,0,q2 financials
6,2019-01-21,QUASEMIND,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
7,2019-01-17,QUASEMIND,Appointment of the Chairman,0,0,0,appointment of the chairman
8,2018-12-18,QUASEMIND,Dividend Disbursement,1,0,0,dividend disbursement
9,2018-12-06,QUASEMIND,Credit Rating Result,0,0,0,credit rating result
10,2018-11-13,QUASEMIND,Resumption after Record Date,0,1,0,resumption after record date
11,2018-11-12,QUASEMIND,Suspension for Record Date,0,0,1,suspension for record date
12,2018-11-08,QUASEMIND,Spot News,0,0,0,spot news
13,2018-11-07,QUASEMIND,Q1 Financials,0,0,0,q1 financials
14,2018-10-29,QUASEMIND,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
15,2018-10-24,QUASEMIND,Price Limit Open,0,1,0,price limit open
16,2018-10-24,QUASEMIND,Dividend Declaration,0,1,0,dividend declaration
17,2018-10-21,QUASEMIND,Board Meeting schedule under LR 19(1),0,0,0,board meeting schedule under lr 191
18,2018-04-30,QUASEMIND,Q3 Financials,0,0,0,q3 financials
19,2018-04-22,QUASEMIND,Board Meeting schedule under LR 16(1),0,1,0,board meeting schedule under lr 161
