,PublishDate,Scrip,Title,today,tomorrow,day_after_tomorrow,normalized_headline
0,2019-04-24,QUEENSOUTH,Board Meeting schedule under LR 16(1),0,1,0,board meeting schedule under lr 161
1,2019-02-03,QUEENSOUTH,Prohibition on providing loan facilities to purchase securities,0,1,0,prohibition on providing loan facilities to purchase securities
2,2019-02-03,QUEENSOUTH,Category Change,0,1,0,category change
3,2019-01-31,QUEENSOUTH,Q2 Financials (Revised Information),0,0,0,q2 financials revised information
4,2019-01-31,QUEENSOUTH,Q2 Financials,0,0,0,q2 financials
5,2019-01-27,QUEENSOUTH,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
6,2019-01-17,QUEENSOUTH,Dividend Disbursement,0,0,0,dividend disbursement
7,2018-12-17,QUEENSOUTH,Time and Venue of the AGM,0,0,1,time and venue of the agm
8,2018-11-28,QUEENSOUTH,Resumption after record date,0,1,0,resumption after record date
9,2018-11-27,QUEENSOUTH,Suspension for Record date,1,0,1,suspension for record date
10,2018-11-25,QUEENSOUTH,Spot News,0,0,1,spot news
11,2018-11-15,QUEENSOUTH,Q1 Financials,0,0,0,q1 financials
12,2018-11-08,QUEENSOUTH,Board Meeting schedule under LR 16(1),1,0,0,board meeting schedule under lr 161
13,2018-10-31,QUEENSOUTH,Price Limit Open,0,1,0,price limit open
15,2018-10-31,QUEENSOUTH,Dividend Declaration & Use of IPO proceeds,0,1,0,dividend declaration  use of ipo proceeds
16,2018-10-21,QUEENSOUTH,Board Meeting schedule under LR 19(1),0,0,0,board meeting schedule under lr 191
17,2018-06-28,QUEENSOUTH,Query Response,1,0,0,query response
18,2018-05-22,QUEENSOUTH,Query Response (Repeat News),1,0,0,query response repeat news
19,2018-05-21,QUEENSOUTH,Query Response,0,1,0,query response
20,2018-05-03,QUEENSOUTH,Query Response,1,0,0,query response
21,2018-04-30,QUEENSOUTH,Q3 Financials,1,0,0,q3 financials
22,2018-04-24,QUEENSOUTH,Board Meeting schedule under LR 16(1),1,1,0,board meeting schedule under lr 161
23,2018-04-10,QUEENSOUTH,Appointment of new CEO of the Company,0,0,1,appointment of new ceo of the company
26,2018-03-13,QUEENSOUTH,Q2 Financials,0,0,1,q2 financials
27,2018-03-13,QUEENSOUTH,Prohibition on providing loan facilities to purchase securities,0,0,1,prohibition on providing loan facilities to purchase securities
28,2018-03-13,QUEENSOUTH,Trading of New Security,0,0,1,trading of new security
