,PublishDate,Scrip,Title,today,tomorrow,day_after_tomorrow,normalized_headline
0,2018-04-30,RAHIMAFOOD,Query Response on current status of operation of the Company,0,0,0,query response on current status of operation of the company
1,2018-04-22,RAHIMAFOOD,Q3 Financials,0,0,0,q3 financials
2,2018-04-15,RAHIMAFOOD,Board Meeting schedule under LR 16(1),0,0,1,board meeting schedule under lr 161
3,2018-04-02,RAHIMAFOOD,Address Change of Registered Office,0,0,0,address change of registered office
4,2018-01-31,RAHIMAFOOD,Q2 Financials,0,0,0,q2 financials
8,2018-01-30,RAHIMAFOOD,Emphasis of Matter,0,0,0,emphasis of matter
9,2018-01-21,RAHIMAFOOD,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
10,2017-12-07,RAHIMAFOOD,Resumption after record date,0,0,0,resumption after record date
11,2017-12-06,RAHIMAFOOD,Suspension for Record Date,0,0,0,suspension for record date
12,2017-11-26,RAHIMAFOOD,Venue of EGM and AGM,0,0,1,venue of egm and agm
13,2017-11-23,RAHIMAFOOD,Spot News for EGM & AGM,0,0,0,spot news for egm  agm
14,2017-11-14,RAHIMAFOOD,Q1 Financials (additional information),0,0,0,q1 financials additional information
16,2017-11-14,RAHIMAFOOD,EGM to change the nature of business & to sell vacant land,0,0,0,egm to change the nature of business  to sell vacant land
17,2017-11-14,RAHIMAFOOD,Q1 Financials,0,0,0,q1 financials
18,2017-11-12,RAHIMAFOOD,Price Limit Open,1,1,0,price limit open
19,2017-11-12,RAHIMAFOOD,Dividend Declaration,1,1,0,dividend declaration
20,2017-11-08,RAHIMAFOOD,Board Meeting schedule under LR 16(1),1,0,0,board meeting schedule under lr 161
21,2017-10-30,RAHIMAFOOD,Board Meeting schedule under LR 19(1),0,1,1,board meeting schedule under lr 191
22,2017-10-05,RAHIMAFOOD,Query Response,0,0,0,query response
23,2017-07-18,RAHIMAFOOD,Query Response (Repeat News),1,0,0,query response repeat news
24,2017-07-17,RAHIMAFOOD,Query Response,0,1,0,query response
25,2017-07-16,RAHIMAFOOD,Q3 Financials (Repeat),1,0,1,q3 financials repeat
26,2017-06-14,RAHIMAFOOD,Query Response,1,0,0,query response
27,2017-05-02,RAHIMAFOOD,Q3 Financials,1,0,0,q3 financials
28,2017-04-30,RAHIMAFOOD,Board Meeting schedule under LR 16(1),0,0,1,board meeting schedule under lr 161
29,2017-01-31,RAHIMAFOOD,Q2 Financials,0,1,0,q2 financials
30,2017-01-26,RAHIMAFOOD,Reschedule of Board Meeting under LR 16(1),0,0,0,reschedule of board meeting under lr 161
31,2017-01-23,RAHIMAFOOD,Board Meeting schedule under LR 16(1),0,1,0,board meeting schedule under lr 161
32,2017-01-03,RAHIMAFOOD,Qualified Opinion,0,0,1,qualified opinion
33,2016-12-14,RAHIMAFOOD,Query Response,1,0,0,query response
34,2016-12-11,RAHIMAFOOD,Time Change of AGM,1,0,0,time change of agm
35,2016-11-13,RAHIMAFOOD,Q1 Financials,0,0,0,q1 financials
36,2016-11-06,RAHIMAFOOD,Board Meeting,0,0,0,board meeting
37,2016-11-02,RAHIMAFOOD,Resumption after record,1,0,0,resumption after record
38,2016-10-25,RAHIMAFOOD,Sponsors/Deposed Directors Share Transfer (Additional Information),0,1,1,sponsorsdeposed directors share transfer additional information
39,2016-10-20,RAHIMAFOOD,Enquiry Committee formation by BSEC,0,0,0,enquiry committee formation by bsec
40,2016-10-19,RAHIMAFOOD,Spot for AGM,0,0,0,spot for agm
41,2016-10-18,RAHIMAFOOD,Sponsors/Deposed Directors Share Transfer to M/S.City Sugar Indus.Ltd,0,0,0,sponsorsdeposed directors share transfer to ms.city sugar indus.ltd
42,2016-10-17,RAHIMAFOOD,Response to DSE's query,1,0,0,response to dse's query
43,2016-10-13,RAHIMAFOOD,Response to DSE's query,1,0,0,response to dse's query
44,2016-10-09,RAHIMAFOOD,Price Limit Open,1,0,0,price limit open
45,2016-10-09,RAHIMAFOOD,Dividend Declaration,1,0,0,dividend declaration
46,2016-10-02,RAHIMAFOOD,Board Meeting schedule under LR 19(1),0,0,0,board meeting schedule under lr 191
47,2016-08-11,RAHIMAFOOD,Query Response,0,0,0,query response
48,2016-05-12,RAHIMAFOOD,Query Response,0,0,0,query response
49,2016-05-02,RAHIMAFOOD,Q3 Financials,0,1,0,q3 financials
50,2016-04-24,RAHIMAFOOD,Board Meeting schedule under LR 16(1),0,1,0,board meeting schedule under lr 161
51,2015-12-14,RAHIMAFOOD,Audit Observation,0,0,0,audit observation
52,2015-12-06,RAHIMAFOOD,Resumption after Record date,0,0,1,resumption after record date
53,2015-12-03,RAHIMAFOOD,Suspension for Record Date,1,0,0,suspension for record date
54,2015-11-22,RAHIMAFOOD,Spot News for AGM,1,0,0,spot news for agm
55,2015-11-18,RAHIMAFOOD,Q1 Financials,1,1,0,q1 financials
56,2015-11-15,RAHIMAFOOD,Dividend Declaration,1,1,0,dividend declaration
57,2015-11-12,RAHIMAFOOD,Board Meeting,0,0,0,board meeting
58,2015-11-12,RAHIMAFOOD,Board Meeting,0,0,0,board meeting
59,2015-08-16,RAHIMAFOOD,Query Response,0,0,0,query response
60,2015-05-20,RAHIMAFOOD,Query Response,1,0,0,query response
61,2015-05-04,RAHIMAFOOD,Q3,0,0,0,q3
62,2015-02-01,RAHIMAFOOD,Half Yearly Financials,0,0,1,half yearly financials
63,2014-12-04,RAHIMAFOOD,trade resume,0,0,0,trade resume
64,2014-12-03,RAHIMAFOOD,trade suspension,0,0,0,trade suspension
65,2014-11-20,RAHIMAFOOD,audit report,1,0,0,audit report
66,2014-11-20,RAHIMAFOOD,Q1 Earnings,1,0,0,q1 earnings
67,2014-11-20,RAHIMAFOOD,Spot Market and Block/Odd lot transactions,1,0,0,spot market and blockodd lot transactions
68,2014-11-16,RAHIMAFOOD,no price limit,1,0,1,no price limit
69,2014-11-16,RAHIMAFOOD,no dividend,1,0,1,no dividend
70,2014-11-13,RAHIMAFOOD,Board Meeting,1,0,0,board meeting
71,2014-09-21,RAHIMAFOOD,resume its production activity,0,0,0,resume its production activity
72,2014-08-24,RAHIMAFOOD,no undisclosed price sensitive information,0,0,1,no undisclosed price sensitive information
73,2014-05-04,RAHIMAFOOD,Q3 Earning,0,1,1,q3 earning
74,2014-04-22,RAHIMAFOOD,CSE query,0,0,0,cse query
75,2014-02-02,RAHIMAFOOD,H/Y Earnings,1,0,0,hy earnings
76,2013-12-17,RAHIMAFOOD,category change,1,0,0,category change
77,2013-12-09,RAHIMAFOOD,Auditor's Observation,1,1,0,auditor's observation
78,2013-12-02,RAHIMAFOOD,Auditor observation,1,0,1,auditor observation
79,2013-11-28,RAHIMAFOOD,trade resume after record date,0,0,0,trade resume after record date
