,PublishDate,Scrip,Title,today,tomorrow,day_after_tomorrow,normalized_headline
0,2019-04-24,RAKCERAMIC,Q1 Financials,0,1,0,q1 financials
1,2019-04-17,RAKCERAMIC,Board Meeting schedule under LR 16(1),1,1,0,board meeting schedule under lr 161
2,2019-03-19,RAKCERAMIC,Decision to delay in resumption of operations of the plant # 1,0,0,0,decision to delay in resumption of operations of the plant  1
3,2019-03-07,RAKCERAMIC,Venue of AGM,0,0,0,venue of agm
4,2019-03-03,RAKCERAMIC,Resumption after record date,0,1,0,resumption after record date
5,2019-02-27,RAKCERAMIC,Suspension for Record date,0,0,0,suspension for record date
6,2019-02-25,RAKCERAMIC,Spot News,1,0,0,spot news
7,2019-02-07,RAKCERAMIC,Price Limit Open,1,0,0,price limit open
8,2019-02-07,RAKCERAMIC,Dividend Declaration,1,0,0,dividend declaration
9,2019-01-29,RAKCERAMIC,Board Meeting schedule under LR 19(1),0,0,0,board meeting schedule under lr 191
11,2019-01-27,RAKCERAMIC,Continuation of non-operation of tiles plant # 1 upto 15.02.2019,1,0,0,continuation of non-operation of tiles plant  1 upto 15.02.2019
12,2018-12-11,RAKCERAMIC,1 tiles plant out of 4 tiles plant will be stopped for 46 days,0,1,0,1 tiles plant out of 4 tiles plant will be stopped for 46 days
13,2018-10-23,RAKCERAMIC,Q3 Financials,0,0,1,q3 financials
14,2018-10-16,RAKCERAMIC,Board Meeting schedule under LR 16(1),1,0,0,board meeting schedule under lr 161
15,2018-10-16,RAKCERAMIC,Board Meeting schedule under LR 16(1),1,0,0,board meeting schedule under lr 161
16,2018-07-18,RAKCERAMIC,Q2 Financials,0,0,0,q2 financials
17,2018-07-11,RAKCERAMIC,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
18,2018-05-20,RAKCERAMIC,Dividend Disbursement,0,1,0,dividend disbursement
19,2018-05-20,RAKCERAMIC,Dividend Disbursement,0,1,0,dividend disbursement
20,2018-04-19,RAKCERAMIC,Q1 Financials,1,0,0,q1 financials
21,2018-04-12,RAKCERAMIC,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
22,2018-04-03,RAKCERAMIC,Buy confirmation of a Sponsor Director,0,0,1,buy confirmation of a sponsor director
