,PublishDate,Scrip,Title,today,tomorrow,day_after_tomorrow,normalized_headline
0,2019-04-30,RDFOOD,Q3 Financials,0,0,0,q3 financials
1,2019-04-25,RDFOOD,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
2,2019-04-18,RDFOOD,Sale & Buy Confirmations of Sponsor Director,1,0,0,sale  buy confirmations of sponsor director
3,2019-04-16,RDFOOD,Sale & Buy Confirmations of Sponsor Director,0,1,1,sale  buy confirmations of sponsor director
4,2019-04-15,RDFOOD,Sale & Buy Declarations of Sponsor Director,0,0,1,sale  buy declarations of sponsor director
5,2019-04-15,RDFOOD,Sale & Buy Confirmations of Sponsor Director,0,0,1,sale  buy confirmations of sponsor director
6,2019-04-11,RDFOOD,Sale & Buy Declarations of Sponsor Director,0,0,0,sale  buy declarations of sponsor director
7,2019-04-10,RDFOOD,Sale & Buy Confirmations of Sponsor Director,0,0,0,sale  buy confirmations of sponsor director
8,2019-04-09,RDFOOD,Sale & Buy Declarations of Sponsor Director,0,0,0,sale  buy declarations of sponsor director
9,2019-04-08,RDFOOD,Sale & Buy Confirmations of Sponsor Director,1,0,0,sale  buy confirmations of sponsor director
10,2019-04-07,RDFOOD,Sale & Buy Declarations of Sponsor Director,0,1,0,sale  buy declarations of sponsor director
11,2019-04-07,RDFOOD,Sale & Buy Confirmations of Sponsor Director,0,1,0,sale  buy confirmations of sponsor director
12,2019-04-04,RDFOOD,Sale & Buy Declarations of Sponsor Director,1,0,0,sale  buy declarations of sponsor director
13,2019-04-03,RDFOOD,Sale & Buy Confirmations of Sponsor Directors,0,1,0,sale  buy confirmations of sponsor directors
14,2019-04-02,RDFOOD,Sale & Buy Declarations of Sponsor Director,1,0,1,sale  buy declarations of sponsor director
15,2019-04-01,RDFOOD,Sale & Buy Confirmations of Sponsor Director,0,1,0,sale  buy confirmations of sponsor director
16,2019-03-31,RDFOOD,Sale & Buy Declarations of Sponsor Directors,0,0,1,sale  buy declarations of sponsor directors
17,2019-03-21,RDFOOD,Sale & Buy Declarations of Sponsor Director,0,0,0,sale  buy declarations of sponsor director
18,2019-02-25,RDFOOD,Buy Confirmation,0,0,0,buy confirmation
19,2019-01-30,RDFOOD,Q2 Financials,0,0,0,q2 financials
21,2019-01-28,RDFOOD,Buy Intimation,1,0,0,buy intimation
22,2019-01-28,RDFOOD,Board Meeting schedule under LR 16(1),1,0,0,board meeting schedule under lr 161
23,2018-12-27,RDFOOD,Dividend Disbursement,1,0,0,dividend disbursement
24,2018-12-09,RDFOOD,Prohibition on providing loan facilities to purchase securities,0,0,1,prohibition on providing loan facilities to purchase securities
25,2018-12-09,RDFOOD,Category Change,0,0,1,category change
26,2018-12-03,RDFOOD,Query Response,0,0,0,query response
27,2018-11-19,RDFOOD,Resumption after record date,0,0,0,resumption after record date
28,2018-11-18,RDFOOD,Suspension for Record date,1,0,0,suspension for record date
29,2018-11-14,RDFOOD,Q1 Financials,0,1,0,q1 financials
30,2018-11-14,RDFOOD,Spot News,0,1,0,spot news
31,2018-11-13,RDFOOD,Board Meeting schedule under LR 16(1),0,0,1,board meeting schedule under lr 161
32,2018-10-30,RDFOOD,Revised NOCFPS Figure for the Current Year,0,0,0,revised nocfps figure for the current year
