,PublishDate,Scrip,Title,today,tomorrow,day_after_tomorrow,normalized_headline
1,2019-04-16,RECKITTBEN,Q1 Financials,0,0,0,q1 financials
2,2019-04-16,RECKITTBEN,Price Limit Open,0,0,0,price limit open
4,2019-04-16,RECKITTBEN,Dividend Declaration,0,0,0,dividend declaration
5,2019-04-09,RECKITTBEN,Board Meeting schedule under LR 19(1),1,0,0,board meeting schedule under lr 191
6,2019-04-09,RECKITTBEN,Board Meeting schedule under LR 16(1),1,0,0,board meeting schedule under lr 161
7,2019-03-13,RECKITTBEN,Query Response,1,1,0,query response
8,2019-02-11,RECKITTBEN,Query Response,0,1,1,query response
9,2018-11-27,RECKITTBEN,Query Response,1,0,0,query response
10,2018-10-30,RECKITTBEN,Q3 Financials,0,1,1,q3 financials
11,2018-10-18,RECKITTBEN,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
13,2018-07-29,RECKITTBEN,Q2 Financials,0,1,0,q2 financials
14,2018-07-24,RECKITTBEN,Dividend Disbursement,0,0,0,dividend disbursement
15,2018-07-23,RECKITTBEN,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
16,2018-05-24,RECKITTBEN,Resumption after record date,0,0,0,resumption after record date
17,2018-05-23,RECKITTBEN,Suspension for Record Date,0,0,0,suspension for record date
18,2018-05-21,RECKITTBEN,Spot News,0,1,0,spot news
20,2018-05-03,RECKITTBEN,Q1 Financials,0,0,0,q1 financials
21,2018-05-03,RECKITTBEN,Price Limit Open,0,0,0,price limit open
23,2018-05-03,RECKITTBEN,Dividend Declaration,0,0,0,dividend declaration
24,2018-04-22,RECKITTBEN,Board Meeting schedule under LR 19(1),0,1,1,board meeting schedule under lr 191
25,2018-04-22,RECKITTBEN,Board Meeting schedule under LR 16(1),0,1,1,board meeting schedule under lr 161
26,2018-03-27,RECKITTBEN,Query Response,1,1,0,query response
27,2018-01-08,RECKITTBEN,Interim Dividend Disbursement,0,0,0,interim dividend disbursement
28,2017-12-20,RECKITTBEN,Resumption after record date,0,0,0,resumption after record date
29,2017-12-19,RECKITTBEN,Suspension for Record Date,1,0,0,suspension for record date
30,2017-12-17,RECKITTBEN,Spot for interim dividend entitlement,0,0,1,spot for interim dividend entitlement
31,2017-11-30,RECKITTBEN,Price Limit Open,0,0,0,price limit open
