,PublishDate,Scrip,Title,today,tomorrow,day_after_tomorrow,normalized_headline
0,2019-04-28,REGENTTEX,Board Meeting schedule under LR 16(1),0,0,1,board meeting schedule under lr 161
1,2019-01-31,REGENTTEX,Q2 Financials,0,0,0,q2 financials
2,2019-01-24,REGENTTEX,Board Meeting schedule under LR 16(1),1,0,0,board meeting schedule under lr 161
3,2019-01-23,REGENTTEX,Dividend Disbursement,0,1,0,dividend disbursement
4,2018-12-27,REGENTTEX,Prohibition on providing loan facilities to purchase securities,0,0,0,prohibition on providing loan facilities to purchase securities
5,2018-12-27,REGENTTEX,Category Change,0,0,0,category change
6,2018-12-10,REGENTTEX,Credit Rating Result,0,0,0,credit rating result
7,2018-12-02,REGENTTEX,Resumption after record date,0,0,1,resumption after record date
8,2018-11-29,REGENTTEX,Suspension for Record date,1,0,0,suspension for record date
9,2018-11-27,REGENTTEX,Spot News for EGM & AGM,1,0,1,spot news for egm  agm
10,2018-11-14,REGENTTEX,Q1 Financials,1,0,0,q1 financials
11,2018-11-11,REGENTTEX,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
12,2018-11-04,REGENTTEX,Price Limit Open,0,0,0,price limit open
14,2018-11-04,REGENTTEX,Dividend Declaration & extend IPO fund utilization time for BMRE,0,0,0,dividend declaration  extend ipo fund utilization time for bmre
15,2018-10-31,REGENTTEX,Reschedule of Board Meeting under LR 19(1),1,0,0,reschedule of board meeting under lr 191
16,2018-10-23,REGENTTEX,Reschedule of Board Meeting under LR 19(1),0,0,0,reschedule of board meeting under lr 191
17,2018-10-23,REGENTTEX,Board Meeting schedule under LR 19(1),0,0,0,board meeting schedule under lr 191
18,2018-08-13,REGENTTEX,Query Response,0,0,0,query response
19,2018-07-04,REGENTTEX,Query Response,1,0,0,query response
20,2018-05-13,REGENTTEX,Q3 Financials,0,0,1,q3 financials
21,2018-05-08,REGENTTEX,Query Response,0,1,0,query response
22,2018-05-07,REGENTTEX,Board Meeting schedule under LR 16(1),0,0,1,board meeting schedule under lr 161
23,2018-01-31,REGENTTEX,Q2 Financials,0,0,0,q2 financials
24,2018-01-29,REGENTTEX,Reschedule of Board Meeting under LR 16(1),1,0,0,reschedule of board meeting under lr 161
25,2018-01-24,REGENTTEX,Board Meeting schedule under LR 16(1),1,0,0,board meeting schedule under lr 161
26,2018-01-21,REGENTTEX,Dividend Disbursement,0,0,0,dividend disbursement
27,2017-12-19,REGENTTEX,Change of venue for EGM and AGM,0,0,0,change of venue for egm and agm
28,2017-11-28,REGENTTEX,Time and Venue of EGM and AGM,1,0,1,time and venue of egm and agm
29,2017-11-23,REGENTTEX,Resumption after record date,0,0,0,resumption after record date
30,2017-11-23,REGENTTEX,Credit Rating Result,0,0,0,credit rating result
31,2017-11-22,REGENTTEX,Suspension for Record Date,0,0,0,suspension for record date
32,2017-11-20,REGENTTEX,Spot for EGM & AGM,0,1,0,spot for egm  agm
33,2017-11-14,REGENTTEX,Q1 Financials,0,1,1,q1 financials
34,2017-11-09,REGENTTEX,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
35,2017-11-01,REGENTTEX,Price Limit Open,1,1,0,price limit open
38,2017-11-01,REGENTTEX,Dividend Declaration & extend IPO fund utilization time for BMRE,1,1,0,dividend declaration  extend ipo fund utilization time for bmre
39,2017-10-23,REGENTTEX,Board Meeting schedule under LR 19(1),1,0,1,board meeting schedule under lr 191
40,2017-09-19,REGENTTEX,Opening a Letter of Credit to import Capital Machineries,0,0,0,opening a letter of credit to import capital machineries
