,PublishDate,Scrip,Title,today,tomorrow,day_after_tomorrow,normalized_headline
0,2019-04-29,RENWICKJA,Q3 Financials,0,1,0,q3 financials
1,2019-04-28,RENWICKJA,Reschedule of Board Meeting under LR 16(1),0,0,1,reschedule of board meeting under lr 161
2,2019-04-28,RENWICKJA,Reschedule of Board Meeting under LR 16(1),0,0,1,reschedule of board meeting under lr 161
3,2019-04-21,RENWICKJA,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
4,2019-03-19,RENWICKJA,Query Response,0,1,1,query response
5,2019-01-30,RENWICKJA,Q2 Financials,1,0,0,q2 financials
6,2019-01-22,RENWICKJA,Board Meeting schedule under LR 16(1),0,0,1,board meeting schedule under lr 161
7,2019-01-15,RENWICKJA,Query Response,1,1,0,query response
8,2019-01-15,RENWICKJA,Dividend Disbursement,1,1,0,dividend disbursement
10,2018-12-03,RENWICKJA,Emphasis of Matter,0,1,1,emphasis of matter
11,2018-11-18,RENWICKJA,Resumption after record date,0,0,0,resumption after record date
12,2018-11-15,RENWICKJA,Suspension for Record Date,0,0,0,suspension for record date
13,2018-11-13,RENWICKJA,Spot News,1,0,0,spot news
14,2018-10-29,RENWICKJA,Q1 Financials,0,0,0,q1 financials
15,2018-10-29,RENWICKJA,Price Limit Open,0,0,0,price limit open
16,2018-10-29,RENWICKJA,Dividend Declaration,0,0,0,dividend declaration
17,2018-10-18,RENWICKJA,Board Meeting schedule under LR 19(1),0,0,0,board meeting schedule under lr 191
18,2018-07-23,RENWICKJA,Query Response,0,0,0,query response
19,2018-06-11,RENWICKJA,Query Response,0,1,0,query response
20,2018-04-25,RENWICKJA,Q3 Financials,0,0,0,q3 financials
21,2018-04-25,RENWICKJA,Launching a park in its own premises for public visit,0,0,0,launching a park in its own premises for public visit
22,2018-04-24,RENWICKJA,Enquiry Committee formation by BSEC,0,0,0,enquiry committee formation by bsec
23,2018-04-17,RENWICKJA,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
24,2018-04-10,RENWICKJA,Query Response (Repeat News),1,1,1,query response repeat news
25,2018-04-08,RENWICKJA,Query Response,0,0,1,query response
28,2018-02-18,RENWICKJA,Emphasis of Matter,0,1,1,emphasis of matter
29,2018-01-28,RENWICKJA,Q2 Financials,0,0,1,q2 financials
30,2018-01-23,RENWICKJA,Dividend Disbursement,0,0,0,dividend disbursement
31,2018-01-23,RENWICKJA,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
32,2017-12-11,RENWICKJA,Date and Time Change of AGM,0,0,0,date and time change of agm
33,2017-11-27,RENWICKJA,Query Response,0,0,0,query response
34,2017-11-16,RENWICKJA,Resumption after record date,0,0,0,resumption after record date
35,2017-11-15,RENWICKJA,Suspension for Record Date,1,0,0,suspension for record date
36,2017-11-13,RENWICKJA,Spot News,0,0,1,spot news
37,2017-10-26,RENWICKJA,Price Limit Open,1,0,0,price limit open
38,2017-10-26,RENWICKJA,Dividend Declaration,1,0,0,dividend declaration
39,2017-10-26,RENWICKJA,Q1 Financials,1,0,0,q1 financials
40,2017-10-22,RENWICKJA,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
41,2017-10-19,RENWICKJA,Board Meeting schedule under LR 19(1),1,0,0,board meeting schedule under lr 191
42,2017-04-26,RENWICKJA,Q3 Financials,1,1,0,q3 financials
43,2017-04-19,RENWICKJA,Board Meeting schedule under LR 16(1),0,1,0,board meeting schedule under lr 161
44,2017-01-30,RENWICKJA,Q2 Financials,0,0,1,q2 financials
45,2017-01-23,RENWICKJA,Board Meeting schedule under LR 16(1),0,0,1,board meeting schedule under lr 161
46,2017-01-09,RENWICKJA,Cash Dividend Disbursement,0,0,0,cash dividend disbursement
47,2016-12-15,RENWICKJA,Basis for Qualified Opinion,0,0,0,basis for qualified opinion
48,2016-11-17,RENWICKJA,Resumption after record date,1,0,0,resumption after record date
49,2016-11-16,RENWICKJA,Suspension for record date,1,1,0,suspension for record date
50,2016-11-14,RENWICKJA,Spot for AGM,0,0,1,spot for agm
51,2016-10-27,RENWICKJA,Q1 Financials,1,0,0,q1 financials
52,2016-10-27,RENWICKJA,Price Limit Open,1,0,0,price limit open
53,2016-10-27,RENWICKJA,Dividend Declaration,1,0,0,dividend declaration
54,2016-10-23,RENWICKJA,Board Meeting schedule under LR 16(1),1,0,0,board meeting schedule under lr 161
55,2016-10-19,RENWICKJA,Board Meeting,1,0,0,board meeting
56,2016-08-10,RENWICKJA,Response by the Company(Repeat),0,0,0,response by the companyrepeat
57,2016-08-08,RENWICKJA,Response by the Company of DSE Letter (Repeat),0,1,0,response by the company of dse letter repeat
58,2016-08-07,RENWICKJA,Response by the Company of DSE Letter,1,0,1,response by the company of dse letter
59,2016-07-25,RENWICKJA,Query Response (Repeat),1,1,1,query response repeat
60,2016-07-21,RENWICKJA,Query Response,1,0,0,query response
61,2016-05-02,RENWICKJA,Q3 Financials,1,0,0,q3 financials
62,2016-04-27,RENWICKJA,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
63,2016-01-31,RENWICKJA,Q2 Financials,0,1,0,q2 financials
64,2016-01-27,RENWICKJA,Cash Dividend Disbursement,0,1,0,cash dividend disbursement
65,2016-01-25,RENWICKJA,Board Meeting,0,1,0,board meeting
