,PublishDate,Scrip,Title,today,tomorrow,day_after_tomorrow,normalized_headline
0,2019-04-29,REPUBLIC,Price Limit Open,1,0,0,price limit open
1,2019-04-29,REPUBLIC,Dividend Declaration,1,0,0,dividend declaration
2,2019-04-18,REPUBLIC,Board Meeting schedule under LR 19(1),1,0,0,board meeting schedule under lr 191
3,2018-10-30,REPUBLIC,Sale Declaration of a Sponsor,1,1,0,sale declaration of a sponsor
4,2018-10-28,REPUBLIC,Q3 Financials,1,0,1,q3 financials
5,2018-10-18,REPUBLIC,Board Meeting schedule under LR 16(1),1,0,0,board meeting schedule under lr 161
6,2018-09-16,REPUBLIC,Query Response,1,0,1,query response
7,2018-07-30,REPUBLIC,Credit Rating Result,0,1,0,credit rating result
8,2018-07-25,REPUBLIC,Q2 Financials,1,0,0,q2 financials
9,2018-07-18,REPUBLIC,Board Meeting schedule under LR 16(1),1,0,0,board meeting schedule under lr 161
10,2018-06-18,REPUBLIC,Dividend Disbursement,1,0,0,dividend disbursement
11,2018-05-16,REPUBLIC,Buy Confirmation of a Public Shareholder Director,0,1,0,buy confirmation of a public shareholder director
12,2018-05-16,REPUBLIC,Q1 Financials,0,1,0,q1 financials
13,2018-05-10,REPUBLIC,Resumption after record date,0,0,0,resumption after record date
14,2018-05-09,REPUBLIC,Board Meeting schedule under LR 16(1),1,0,0,board meeting schedule under lr 161
15,2018-05-09,REPUBLIC,Suspension for Record Date,1,0,0,suspension for record date
16,2018-05-07,REPUBLIC,Spot News,1,0,1,spot news
17,2018-04-30,REPUBLIC,Buy declaration of a Director,0,0,0,buy declaration of a director
18,2018-04-19,REPUBLIC,Appointment of CEO of the Company,0,0,0,appointment of ceo of the company
19,2018-04-17,REPUBLIC,Price Limit Open,0,1,0,price limit open
20,2018-04-17,REPUBLIC,Dividend Declaration,0,1,0,dividend declaration
21,2018-04-09,REPUBLIC,Reschedule of Board Meeting under LR 19(1),0,0,1,reschedule of board meeting under lr 191
22,2018-04-08,REPUBLIC,Board Meeting schedule under LR 19(1),0,0,0,board meeting schedule under lr 191
23,2017-11-06,REPUBLIC,Confirmation of transfer by a Sponsor,0,0,1,confirmation of transfer by a sponsor
24,2017-10-31,REPUBLIC,Declaration of transfer by a Sponsor,0,1,0,declaration of transfer by a sponsor
25,2017-10-31,REPUBLIC,Q3 Financials,0,1,0,q3 financials
26,2017-10-31,REPUBLIC,Sale declaration of a Sponsor,0,1,0,sale declaration of a sponsor
27,2017-10-24,REPUBLIC,Board Meeting schedule under LR 16(1),1,0,1,board meeting schedule under lr 161
28,2017-10-24,REPUBLIC,Buy confirmation of a Public Director,1,0,1,buy confirmation of a public director
29,2017-10-12,REPUBLIC,Buy declaration of a Public Director,0,0,0,buy declaration of a public director
30,2017-08-24,REPUBLIC,Credit Rating Result,1,0,0,credit rating result
31,2017-07-30,REPUBLIC,Q2 Financials,1,1,1,q2 financials
32,2017-07-24,REPUBLIC,Board Meeting schedule under LR 16(1),1,0,0,board meeting schedule under lr 161
33,2017-07-17,REPUBLIC,Dividend Disbursement,0,1,0,dividend disbursement
34,2017-05-23,REPUBLIC,Resumption after Record Date,0,1,0,resumption after record date
35,2017-05-22,REPUBLIC,Suspension for Record Date,1,0,1,suspension for record date
36,2017-05-18,REPUBLIC,Spot News,0,0,0,spot news
37,2017-05-16,REPUBLIC,Q1 Financials,0,1,0,q1 financials
38,2017-05-09,REPUBLIC,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
39,2017-05-02,REPUBLIC,Price Limit Open,0,0,1,price limit open
40,2017-05-02,REPUBLIC,Dividend Declaration,0,0,1,dividend declaration
41,2017-04-24,REPUBLIC,Reschedule of Board Meeting under LR 19(1),0,0,0,reschedule of board meeting under lr 191
42,2017-04-19,REPUBLIC,Board Meeting schedule under LR 19(1),1,0,0,board meeting schedule under lr 191
43,2016-11-01,REPUBLIC,Q3 Financials,0,0,1,q3 financials
44,2016-10-27,REPUBLIC,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
45,2016-08-22,REPUBLIC,Credit Rating Result,0,1,1,credit rating result
46,2016-07-25,REPUBLIC,Q2 Financials,0,1,0,q2 financials
47,2016-07-19,REPUBLIC,Confirmation of sale/buy of Sponsors,0,0,0,confirmation of salebuy of sponsors
48,2016-07-19,REPUBLIC,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
49,2016-06-26,REPUBLIC,Buy Confirmation of a Director,1,0,1,buy confirmation of a director
50,2016-06-19,REPUBLIC,Buy Declaration of a Director,0,1,0,buy declaration of a director
51,2016-06-15,REPUBLIC,Declaration of sale/buy of Sponsors,0,1,0,declaration of salebuy of sponsors
52,2016-06-12,REPUBLIC,Dividend Disbursement,0,0,0,dividend disbursement
53,2016-05-12,REPUBLIC,Q1,1,0,0,q1
54,2016-05-11,REPUBLIC,Resumption after Record date,0,1,0,resumption after record date
